neutral_id	source	target	current_line	current_label	current_tuple_digest	current_line_digest	cohort	prior_disposition	decision_basis	authorization_status	under_review_context	primary_sort_digest	control_sort_digest
case-fa13dc1364da68	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	56	grounds	a510de678d966a0510d62dc268a1b5a65b81d44ea9f4218031fd7c6eda668340	e8518698a84ebf4f4e15d618b8b3b254f69d220b61fd4a8a05a9d41a72b99e02	primary	premised-on	grounds-baseline:P	candidate-new	the negative test (predict where it fails) is the boundary test this note applies to memory formation	0114817b08944bc4a0f8f53d427d44dc97efcc4d77a05537276cf8fc2e8590a5	c38c94f31443123b0187c8ceb58fdb38153278a3c9a29c4c627b783d03ff3331
case-15b46d34f5e07e	notes/directory-placement-is-total-frontmatter-classification-is-partial.md	notes/why-notes-have-types.md	52	grounds	5ae9dcbbfe50df45820a03657fae7c8f552efaa077489f1e477cca20c93e16ad	dd45935c22f23c80e42b5b87d59c3db137703b7bf2c20bebf3b07aa5cfbc0866	primary	premised-on	grounds-baseline:P	candidate-new	establishes that type is opt-in and free-form, the premise that makes type partial rather than total	01e31868541ba15361657e5f9108bf6197312fc4beaab62c568afb9f2103f0a9	66afdd6f8538df340f371289d7eb06490322a0f00fd79ad4a4456c845edc8ffa
case-93f1ff2073f163	notes/readable-artifact-loop-is-the-tractable-unit-for-continual-learning.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	49	grounds	afb3d92625bd8e5fcb7bd2e24bfde18bf5ba69471d2dabdc158bda831009cf94	179fb81958900b27dee637ddca2db1f243d72514fff35bf12b1aa4e7150a06e1	primary	premised-on	grounds-baseline:P	candidate-new	the shared scarce resource that makes natural-language and symbolic artifacts a structurally coupled optimization target	0226b4eb58de13ffbd5709d784113741a06c57e0bd899f836cb2e24ae1ebe08f	b21e47de55c3a68e0f0807822cd4e291ab5effcca172f5a113030a2acefed2d5
case-1b6d3c4df444c1	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/kb-goals-in-always-loaded-context-guide-inclusion-decisions.md	73	grounds	f47656aa7bfc24bb195d417538d6abf027484f04f997df4a2744484d8061b432	65f80a8b374816b760ed152ca6255593e4d5d9df9c37b2921b0bbd3a273a68e1	primary	premised-on	grounds-baseline:P	candidate-new	the global goals are the always-loaded top-level loss the hierarchy specializes	02c45e247f20b1f09ec0b0a0de05ef0ac7e27cfc8a836989d6ab2175bfb77aee	52b4c50d7be279241c02276189f5dfa69809de9c66036501049a75e0c8fecc3c
case-1a80e03a9cb978	notes/prose-has-no-dereference-reinforce-facts-at-point-of-use.md	notes/agentic-systems-interpret-underspecified-instructions.md	39	grounds	3de390735a03207049bdd1c619eece985424e22abbee87ca5196967b782109a0	f85a5b63fb13f0c97b4f3b8df6b69e396e7a6add318c58c409f18aa36e288556	primary	premised-on	grounds-baseline:P	candidate-new	"that applying a declared fact is an interpretive, unpredictable act — even a deterministic model picks an interpretation you can't read off the spec — is the premise behind ""no reliable dereference"""	02dd8521650ca1adc9bad707ee4dce2cec5aeb71d29aff3797874bc7d288cb67	6159adf8a3536f6dc7378ba407d25434aca0e2f8d122020d7bde4c0adfb1f643
case-8a530b0c39ba8e	notes/llm-generation-confidence-tracks-typicality-not-soundness.md	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	34	grounds	85d5511a5e8b2e0cd1378b66b7893c5a4c54378b11fa7caece1672ac94e549d8	c187514c2bf1e984053165430c50f327936bb757ef18381c4c841785d761968a	primary	premised-on	grounds-baseline:P	candidate-new	soundness needs a separate verifier precisely because confidence does not track it	047b61cffbfb4b9e89ee04e3e08ffaa16da784b717ea1cb88abe45049612235a	05c679fa3341c924816624dfabcfb1ea9ca701e38d17540f503b600d9e7b4a69
case-c34b3568d535fc	notes/goedel-machines-are-a-proof-governed-case-of-self-modification.md	notes/false-positive-generation-is-filtered-before-retention.md	67	grounds	53ddae210a497dbf6d27c7081338a730bc737d59befbebb063d5c2a1c368d86c	2531b80b04d74bc726651be706e9c64ad9cd1ca3d705d271e01496de04447558	primary	premised-on	grounds-baseline:P	candidate-new	why guaranteed retention concentrates the prompt-editing corner's risk entirely at the gate	08b2eb5d8469626dbe0e3a3114aa57c6b86a1069f6da591006e16405c850bd83	9f7c90f3b80960ccf52bcb813d8c649af105cf7d992b9d59d012dcf3ddddd814
case-65f16a15010b0b	notes/theory-mediated-learning-may-improve-sample-efficiency-under-shifts.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	107	grounds	a936fa152174b13f5569266757bf03cee678d44b342589e74414e6e4debfdba7	b8b0c31d492c642474bbf674609b0a13280d1c74eccfaa73ed82552f86858015	primary	premised-on	grounds-baseline:P	candidate-new	the search/evaluation split that keeps theory generation distinct from reach-assessment	09aebc48d9c19b2224814f45a09b401d002c7e9a6c30baa6f9b3ff45c55bccbe	54a763c8154127f03a82831ee9dff785f380a5aefe309a86ab3a53e4c36e92f7
case-ca2d686c8aa979	notes/an-accepted-edit-verifies-the-change-not-the-rule.md	notes/oracle-strength-spectrum.md	33	grounds	d075c9cb3222682c4b30b62fc3e7ed59cb3d23ab6dade5086a7795778a135fb1	341020dd7bef0fd8fede98b0ca80b5e923d36c85a33c2a19e104eb972faaa01c	primary	premised-on	grounds-baseline:P	candidate-new	the instance/rule asymmetry is a position change on the oracle-strength spectrum within one learning loop	0b215cc94eb1d44fda1a335029d899014b2261ac41346c807f6ccc5162581eda	036b6a0f07ab87fcbd54d20c65506f7e9f9127d92080437b2b4570314ddacb80
case-9197caeafa3a8b	notes/design-for-the-first-time-human-except-on-access-cost.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	24	grounds	816956609c5b32a6f4be7ab8d0e6fb20fd91f960ec05bf95fea081a937b9bda9	e685663647313aec32f6bbf8cf0bc64acf6c8c7d2a0364afebc63c9af53c0ef0	primary	premised-on	grounds-baseline:P	candidate-new	the agent's linear access cost is a context-window cost, and context is the binding scarce resource that makes the access-mode exception matter	0ce7aaf8127d550318b1812fa05410e78dbbb469b742a6e9734af863476b685a	837d4d379880524870478bf2f9a8e47d622fe0fef86550a4dc57001652be3e81
case-f88ac900b7b30e	notes/fix-what-the-executor-cant-determine-not-what-it-will.md	notes/solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking.md	29	grounds	7a8afeecef7ade7e0ab3d3f5d3ac204649c27f3a7af0df697f2c1faaffce8e57	9a3b98b047e2751e8c642740857156bb12b7af707b2e737eb8a2c57b32086ae5	primary	premised-on	grounds-baseline:P	candidate-new	the ordering rule behind the second cost; the author's slot is earliest, so its commitments must be the least flexible ones	0d4138ae3f83873965204ea499d537c21945568280f06a4ccffa73bba0f78d74	79c80dd9020fcc09cf291655c0c00dc05c9923a3b1b6c749d5f598e865cb35c8
case-6c0a42a4b717c0	notes/semantic-review-catches-content-errors-that-structural-validation.md	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	50	grounds	ef1fc0829240d2cdca45b360364af53f1a115e98507f5fcdee2bf8d9d04d5063	6b5af4b9589d0bde6ca9c0e41ce2a81152e68cd50af755827309688ac528891d	primary	premised-on	grounds-baseline:P	candidate-new	the four semantic checks are decorrelated weak oracles; combining them amplifies discriminative power	0e1db59977fec3cfb1b830daf5da98c3ad08b1ef48be2e9e916fd5bc4cc931ed	7e65851450d03a246bb18217a03682a46f920b7bc1e83efce7d27fb78b4e8aa9
case-5996d10a688230	notes/an-enforced-tag-readme-is-a-moc-with-a-machine-checked-contract.md	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	50	grounds	bec1fa7d0bc0b43f0b2244801b4468034098becc85675dde56702cc698dacbbc	8b7ed13f6a6fcc45c5180121a68517a5a9159c1a6392cabfc1fa1315af2906c8	primary	premised-on	grounds-baseline:P	candidate-new	the economics under which the completeness check is cheap enough for the agent maintainer to supply what the human maintainer couldn't	0f35435127a49d99ffc5c4877b15b54569856f2b6b0cb0239dd12e447eafb333	961615cde0cf30594d6fc7479ad10b34bf3e19c79b8e6c288f9a0563468afe00
case-d78c572ba49b95	notes/short-composable-notes-maximize-combinatorial-discovery.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	52	grounds	acb13cd739627b8b9c05aca91ef364a837b72272338b9e6d54e113d4b5ba4b35	cebf49b7824f930bc3b584e813ca1445791bbc2568c276f3b097adaac8dd86e1	primary	premised-on	grounds-baseline:P	candidate-new	bounded context makes co-loading capacity the scarce resource	10f52f954d1f5a37629c7ab7376fb1a458f68871c056d57035df175479fc1945	d7fc667edf445fd618e280a42d806c753a688f2df5f282eafa99f7cefd59d0fc
case-ad48aaedc0e182	notes/first-principles-are-inherited-constraints-not-design-choices.md	notes/short-composable-notes-maximize-combinatorial-discovery.md	59	grounds	46a8704ab0e0f7e224f88c776aaa0b1abb0bbff6023653844d1d6aa35ac2be68	565a9c68584701db01977a2a55e869b9dbc818bc5771e89d4326bd49bd3b6eb0	primary	premised-on	grounds-baseline:P	candidate-new	co-loading is why composability is inherited from how the consumer ingests artifacts	111fa8bc03547d1bfaf84e72165b447d4e2e5c9049594e8b2fd9973f72686951	c90efaf7789dc12902787cb3ada7cedab4817c3f00bceab545c20f1ed2a2d242
