note,review_type,level,note_warn_count,check_warn_count,check,finding
distillation.md,frontmatter-review,WARN,1,1,Title composability,"Title is a bare noun (""Distillation"") — ""since distillation..."" does not read as a complete clause. The note is definitional/term-pinning, which exempts it from the claim-strength check, but bare-noun titles still compose poorly as link targets. Other notes currently link to it with inline context (e.g., ""[constraining](./constraining.md) — co-equal mechanism""), which works but means every linker must supply its own gloss."
automated-tests-for-text.md,frontmatter-review,INFO,0,1,Title composability,"The title ""Automated tests for text"" is a bare topic noun phrase. ""since automated tests for text..."" does not read as a natural sentence fragment. As a reference link (""see [automated tests for text](...)"") it works fine, and the note is a framework note where topical titles are acceptable — but a claim-shaped title like ""text artifacts can be tested with the same pyramid as software"" would compose better and carry more information at link sites."
constraining.md,frontmatter-review,INFO,0,1,Title composability,"The title ""Constraining"" is a bare gerund — ""since constraining..."" does not read as a complete clause. This is a definitional/term-pinning note (description opens with ""Definition —""), where a bare concept name is the conventional pattern. Composability cost is real but justified here; linked references typically wrap it naturally (e.g., ""[constraining](./constraining.md) narrows the interpretation space"")."
agentic-systems-interpret-underspecified-instructions.md,frontmatter-review,INFO,0,0,Title-body alignment,"The title foregrounds semantic underspecification (""interpret underspecified instructions"") but the body's central argument is a two-phenomena distinction: underspecification vs. indeterminism, with the claim that indeterminism obscures the deeper difference. The two-phenomena separation, the obscuring dynamic, the spec-to-program projection model, and the constraining/relaxing framework are all major body contributions that the title doesn't signal. The title names the more important half accurately, so this is not a misalignment -- but the body establishes significantly more than the title promises, functioning as a theoretical framework note rather than a single-claim note. If the note were titled to signal the two-phenomena distinction (e.g., ""semantic underspecification is the deeper difference in agentic systems, not indeterminism""), the title would better predict the body's actual argument."
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,frontmatter-review,INFO,0,0,Title-body alignment,"The title focuses on the prescription ""should use Toulmin-derived sections."" The body delivers on this but also covers substantial type-system design territory: why `structured-claim` should be a base type rather than a trait, the naming choice over plain `claim`, the promotion path from `note`, the retirement of `has-claim`, and a full section template with deterministic/semantic check specifications. The body reads more like a design decision record for creating the `structured-claim` type than a note arguing that Toulmin sections are the right choice. The title's claim is the foundation for all of this, so the alignment is not broken -- but readers arriving for the Toulmin argument may be surprised by the scope of type-system machinery."
codification.md,frontmatter-review,INFO,0,0,title-composability,"The title ""Codification"" is a bare topic word — ""since codification"" does not read as a natural sentence fragment. However, this is a definitional note (description opens with ""Definition —"") that pins vocabulary for the KB. Bare topic titles are correct for term-pinning notes, so this does not rise to WARN."
document-types-should-be-verifiable.md,frontmatter-review,INFO,0,0,Description discrimination,"The first clause (""Document types should assert verifiable structural properties, not subject matter"") closely paraphrases the title, adding only ""structural properties, not subject matter."" The second clause (""with a base type + traits model inspired by gradual and structural typing"") does genuine discriminating work by naming the specific design approach. The description functions adequately for retrieval but could lead with mechanism or scope rather than a near-restatement. A tighter alternative might foreground the mechanism: e.g., ""A base-type-plus-traits model inspired by gradual and structural typing; types assert checkable structure so agents and scripts can act on them, while subject matter belongs in tags."""
document-types-should-be-verifiable.md,frontmatter-review,INFO,0,0,Title-body alignment,"The title asserts the principle ""document types should be verifiable,"" and the body supports it thoroughly. However, the body also delivers a complete design (base types + traits, the verifiability gradient, programming language parallels, tolerance of misclassification) that goes well beyond the principle claim. The title names the motivation; the body is really the design note for the type system. This is not a misalignment -- the principle is genuinely argued -- but an agent reading only the title would underestimate the note's scope as a design artifact."
files-not-database.md,frontmatter-review,INFO,0,0,title-body-alignment,"The title ""Files beat a database for agent-operated knowledge bases"" is an unqualified claim, but the body substantially qualifies it: ""This isn't a files-forever position"" and the entire Graphiti section identifies where the trade-off tips in favor of a database. The body's actual argument is closer to ""files beat a database early on, for authored agent-navigated knowledge"" — which the description captures better than the title does. The mismatch is minor (the title is a reasonable shorthand for the primary claim), but the body's qualified position is meaningfully different from the title's absolute framing."
learning-is-not-only-about-generality.md,frontmatter-review,INFO,0,0,claim-strength,"The title ""Learning is not only about generality"" uses a negation (""not only"") rather than asserting the positive claim. The body actually establishes a specific decomposition: capacity = generality + reliability/speed/cost compound, with accumulation/reach as a separate axis within generality. A sharper title might name what learning IS about rather than what it's not only about — e.g., ""capacity decomposes into generality and a reliability-speed-cost compound"" or ""learning improves generality and a reliability-speed-cost compound independently."" The current phrasing is not wrong, and the negation does contest a real default assumption, but it leaves the positive contribution implicit."
