check,warn_count,info_count,clean_count,sample_note,sample_finding
Description discrimination,9,10,119,backlinks.md,"The description ""Analysis of where backlinks (inbound link visibility) would concretely help agents working in the KB — use cases, trade-offs, and design options"" paraphrases the title ""Backlinks — use cases and design space"" with only minor expansion. The parenthetical ""(inbound link visibility)"" adds a gloss, but ""use cases, trade-offs, and design options"" restates the title's ""use cases and design space."" The description adds no mechanism, scope, or implication beyond what the title already conveys. An agent seeing five results for ""backlinks"" would not be able to distinguish this note from its title alone."
Title-body alignment,8,13,113,a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,"The title promises ""contextual competence through discoverable, composable, trustworthy knowledge"" — the three-properties framing — but the body delivers a substantially broader theory. Roughly the first third of the note (sections ""What is a good agentic knowledge base?"" and ""Three properties"") supports the title. The remaining two-thirds introduces accumulation as the basic learning operation, four transformation operations (constraining, distillation, discovery, pruning), Deutsch's reach criterion as a quality measure, the reach-vs-action-value tension, and an argument that authored knowledge produces more reach than extracted knowledge. The description captures this broader scope accurately; the title does not."
Title composability,3,24,107,context-engineering.md,"Title ""Context engineering"" is a bare topic noun phrase. ""since context engineering..."" does not complete as a sentence fragment. However, this is a definitional/term-pinning note (description opens with ""Definition --"", status is seedling), which is an accepted exception for topical titles per claim-strength exceptions. Escalating to WARN rather than CLEAN because the composability test itself does not list definitional notes as an exception -- only the claim-strength check does."
Claim strength,1,7,126,programming-practices-apply-to-prompting.md,"The title ""Programming practices apply to prompting"" is close to conventional wisdom — few practitioners in the LLM space would argue the opposite. The note's actual analytical contribution is sharper: it identifies two distinct phenomena (semantic underspecification and execution indeterminism) that create qualitatively different challenges when each practice transfers, and argues that agent statelessness turns what is pedagogical convenience for humans into architectural necessity. A title that captures the distinctive insight — e.g., ""programming practices transfer to prompting but underspecification and indeterminism create distinct failure modes"" — would be more contestable and more informative as a link fragment."
claim-strength,1,3,15,traversal-improves-the-graph.md,"Title ""Traversal improves the graph"" is broad enough that most KB practitioners would nod along without pushback. The note's actual non-obvious insight is that improvement should be *deferred via logging* rather than done in-place — that is the contestable claim (someone could reasonably argue agents should fix issues on the spot, as Luhmann did). The current title captures the easy half (traversal helps) and omits the hard half (defer, don't fix now). Note status is `seedling`, so this is expected to sharpen over time, but flagging because the body already has a sharp claim that the title could adopt."
title-body alignment,1,0,0,storing-llm-outputs-is-constraining.md,"The title ""Storing LLM outputs is constraining"" scopes to a single insight — that saving an LLM artifact is a constraining decision. The body establishes this in the first two paragraphs and the ""applies broadly"" list, but then extends into three additional sections (""Testing implications,"" ""Generator/verifier: an alternative to constraining prompts,"" ""Verbatim risk: the hardest verification failure"") that argue distinct points about testing strategy, the generator/verifier tradeoff, and a specific verification failure mode. These sections use the core claim as a premise but each develops its own argument well beyond the title's scope."
title-body-alignment,0,4,15,,
title-composability,0,1,18,,
claim strength,0,0,1,,
description discrimination,0,0,1,,
description-discrimination,0,0,19,,
title composability,0,0,1,,
