check,warn_count,info_count,clean_count,sample_note,sample_finding
anthropomorphic-framing,0,0,1,,
orphan-references,0,0,1,,
pseudo-formalism,0,0,1,,
unbridged-cross-domain-evidence,0,0,1,,
redundant-restatement,0,1,0,,
source-residue,0,1,0,,
confidence-miscalibration,1,0,0,first-principles-reasoning-selects-for-explanatory-reach-over-adaptive-fit.md,"The note presents Deutsch's two-category distinction (adaptive vs. explanatory) as a settled binary taxonomy with the assertive framing ""David Deutsch distinguishes two kinds of knowledge."" In Deutsch's own work (primarily *The Beginning of Infinity*), this is a philosophical argument, not an empirically validated classification — yet the note treats it as established ground truth throughout. More importantly, the three-part ""negative test"" in the eponymous section (""Can you vary the explanation?"" / ""Does it reach?"" / ""Can it be criticized?"") is the note's own construction, attributed implicitly to Deutsch by proximity but never flagged as proposed. The phrase ""Deutsch's distinction provides a quality check"" presents this constructed test as if Deutsch himself supplied it."
proportion-mismatch,1,0,0,first-principles-reasoning-selects-for-explanatory-reach-over-adaptive-fit.md,"The core claim is in the title: first-principles reasoning selects for explanatory reach over adaptive fit. The section that most directly carries this claim is ""Why this matters for the KB"" (roughly one paragraph plus an example). The ""negative test"" section and ""programming fast-pass"" section together are longer and are supporting/derivative material. The load-bearing argument — *why* first-principles filtering is equivalent to selecting for reach — gets compressed into a single sentence: ""the derivation is explanatory — it says *why* the pattern works, which means it predicts where the pattern will fail."" That sentence is doing almost all of the work for the title claim, and it is underdeveloped relative to the downstream test and application sections."
Anthropomorphic framing,3,39,110,agents-navigate-by-deciding-what-to-read-next.md,"The note consistently uses ""she/her"" pronouns and human-like agency language for agents: ""An agent has a task and needs information she doesn't yet have,"" ""lets her judge without paying that cost,"" ""the agent knows both what's there and why it matters before deciding."" While the note's title uses ""agents"" generically, the body reads as if describing a human researcher rather than an LLM-based agent. Verbs like ""knows,"" ""decides,"" and ""judge"" attribute cognitive capacities without qualification."
Redundant restatement,4,31,117,execution-indeterminism-is-a-property-of-the-sampling-process.md,"The ""Why this matters as a distinct claim"" section opens with ""Indeterminism is **engineering noise** — variation in how a chosen interpretation is executed, not variation in which interpretation is chosen"" and then restates the temperature=0 point (""At temperature=0, the LLM still picks one interpretation from the space the spec admits; you just get the same one every time"") which closely echoes the opening paragraph's ""theoretically eliminable via deterministic decoding (temperature=0)."" The second paragraph of the section then restates the ""obscures"" argument that appears in the parent note. Almost every sentence in this section re-derives rather than extends."
Pseudo-formalism,6,12,134,bounded-context-orchestration-model.md,"The formal notation in ""The select/call loop"" section (`K`, `t`, `M`, `||P||_t`) introduces variable names and a cost measure `||·||` that cannot support quantitative prediction or derivation. The pseudocode `while not satisfied(K): P = select(K); r = call(P); K = K + r` is clear, but the surrounding notation — particularly the norm `||P||_t <= M` with ""normalized effective-cost units"" — dresses up a qualitative argument (prompts should fit in context and be tuned to task difficulty) in formal clothing. Deleting the notation and keeping only the pseudocode and prose leaves the argument equally precise. The two-paragraph explanation of what `K` ""can be read as"" (minimal vs. materialized) is itself evidence that the formalism is not pinning anything down — it accommodates both readings, which means it constrains neither."
Unbridged cross-domain evidence,7,13,133,ad-hoc-prompts-extend-the-system-without-schema-changes.md,"The homoiconicity section claims: ""This is the same property that makes Lisp, Emacs, and Smalltalk extensible from within — and carries the same discoverability costs."" Homoiconicity in Lisp (code as data, same list structure) and homoiconicity in LLM context (instructions and content as natural language tokens) operate through different mechanisms. The note names the shared concept but doesn't explain why the analogy holds or where it breaks. Asserting ""the same property"" is stronger than the bridging supports."
Orphan references,9,8,135,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"""Context windows have grown roughly 30x per year since mid-2023"" — this is a specific empirical claim with no source citation. It appears mid-paragraph as if it were common knowledge, but the growth rate is precise enough to need attribution. If the number is approximate, the precision of ""30x per year"" overstates the confidence; if it's sourced, the source should be cited."
Source residue,21,74,79,agentic-systems-interpret-underspecified-instructions.md,"The note claims broad generality (""A theoretical framing for LLM-based agentic systems"") but several examples are narrowly from software engineering without being framed as illustrative: ""Refactor for Readability"" (a coding assistant task), ""sanitize_filename()"" (a file-renaming agent), ""is '2024-03' a date or a version?"" These read as the natural examples of the author's domain rather than chosen illustrations. The ""Refactor for Readability"" section heading and walkthrough (extract helper functions, rename variables, restructure control flow, add comments) are all code-specific. A reader outside software engineering could miss that the framework applies to their domain."
Proportion mismatch,84,52,20,a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,"The title foregrounds three properties (discoverable, composable, trustworthy) as the central claim, but the ""Three properties"" section (lines 18-28) gives roughly equal treatment to all three in compact paragraph form, while the ""Accumulation and four operations"" section (lines 30-56) and ""Reach"" section (lines 58-81) are each substantially longer and more developed. The operations and reach concepts receive more analytical depth — worked examples, asymmetric analysis, a summary table, a tension subsection — than the three properties that the title claims are the core idea. The properties section establishes each in one dense paragraph; the operations and reach sections develop their ideas across multiple paragraphs with illustrative contrasts. The result is that a reader expecting a note primarily about the three properties finds a note primarily about operations and reach."
Confidence miscalibration,129,29,3,a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,"The bridge taxonomy is asserted rather than proposed: ""This means there are two kinds of bridges needed: **Extraction bridges** ... **Composition bridges**"". This decomposition is the note's own construction — it could be three kinds, or one kind with variants — but the language presents it as the necessary structure. Contrast with the temporal-types section, which correctly hedges: ""A knowledge base that supports real workflows would likely need:""."
