note,review_type,level,note_warn_count,check_warn_count,check,finding
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,4,53,Completeness,"The failure mode mapping table claims four ML failure modes map to codification equivalents ""with mitigations that weight-based systems can't match."" But the table omits at least two standard ML failure modes Chollet could plausibly predict: (1) **distribution shift** (the agentic coding environment changes in ways the spec/test harness doesn't capture — analogous to deploying a model on out-of-distribution data), which is adjacent to concept drift but distinct (drift is gradual; distribution shift can be sudden), and (2) **reward hacking / specification gaming** (the agent satisfies the formal spec in unintended ways, a superset of Clever Hans shortcuts). The note collapses specification gaming into ""Clever Hans shortcuts"" but specification gaming is broader — it includes cases where the generated code is technically correct by the spec but achieves correctness via unintended means that diff review would not catch (e.g., caching test inputs). The claim ""every mitigation relies on the same property: the artifact is inspectable"" becomes weaker if some ML failure modes have codification equivalents where inspectability alone is insufficient."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,4,53,Completeness,"The note claims ""None of this is possible with weight updates — not because LLMs lack judgment, but because weights lack structure."" This is stated as an absolute. Boundary case: **mechanistic interpretability** is an active research program that extracts structure from weights — identifying circuits, features, and causal pathways. While current interpretability tools are far less mature than diff review, the claim that inspection is categorically impossible for weights overstates the binary. A more precise claim would be that weights resist the kind of routine, scalable inspection that repo artifacts afford. The note's rhetorical force depends on this binary (""You can write a test for a function. You can't write a test for a weight""), but the boundary is softer than presented."
stale-indexes-are-worse-than-no-indexes.md,semantic-review,WARN,4,53,Completeness,"The note claims the mechanism ""generalises beyond indexes to any authoritative artifact — specs, documentation, plans, curated lists."" The grounding definition is implicit: any artifact an agent treats as exhaustive will suppress fallback discovery when stale. Boundary case: **a non-exhaustive but authoritative artifact** — e.g., a style guide that is clearly partial (""here are some conventions"") rather than exhaustive. Does a stale style guide suppress search in the same way? The note's mechanism depends on the agent treating the artifact as exhaustive, but ""authoritative"" and ""exhaustive"" are conflated. A spec can be authoritative without being treated as a complete enumeration. The note says ""any artifact that an agent treats as exhaustive"" but then lists ""specs, documentation, plans, curated lists"" — not all of which are typically treated as exhaustive enumerations. A plan that goes stale might mislead about direction without suppressing search for additional tasks. The suppression mechanism is strongest for navigational artifacts (indexes, curated lists) and weakest for directional artifacts (plans, specs). The generalization may overextend."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,4,16,Grounding,"The note claims ""The verifiability gradient is a candidate answer"" to Chollet's ""Keras of agentic coding"" question. The deploy-time-learning note defines the verifiability gradient as a spectrum from prompt tweaks to deterministic code, describing *what to harden and how much*. But Chollet's question asks for ""the optimal high-level abstractions for steering this process"" — an API/framework question, not a taxonomy question. The verifiability gradient is a conceptual lens for choosing hardness levels, not a set of abstractions that a developer would import and use. The note silently shifts the question from ""what will be the Keras"" (a usable framework) to ""what conceptual model organizes the space"" (a taxonomy). These are different kinds of answers. The gradient may inform the design of such a Keras, but equating the two is a scope mismatch."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,4,16,Grounding,"The Chollet tweet (https://x.com/fchollet/status/2024519439140737442) is not captured as a source snapshot in `kb/sources/`. The note paraphrases Chollet's argument — ""deployed without ever inspecting its internal logic, just as we ignore individual weights in a neural network"" is presented as a quote — but without the source available for verification, attribution accuracy cannot be fully checked. This is a process gap rather than an identified error."
stale-indexes-are-worse-than-no-indexes.md,semantic-review,WARN,4,16,Grounding,"Claim 6: ""`docs/indexes.md` serves this purpose — a single file listing all indexes with descriptions."" No `docs/indexes.md` file exists in the repository. The note presents this as a current, operational defense mechanism using present tense (""serves this purpose""), but the file has never existed at this path (or has been removed without trace). The /connect skill (SKILL.md) does not reference `docs/indexes.md` in its Phase 5 — Phase 5 is a reflection step that logs observations to `kb/log.md`, not an index-checking step. Claim 7 (""The /connect skill's Phase 5 reads `docs/indexes.md`"") is therefore doubly incorrect: Phase 5 does not check indexes, and the file it supposedly reads does not exist."
stale-indexes-are-worse-than-no-indexes.md,semantic-review,WARN,4,16,Grounding,"Claim 5: ""The `areas:` frontmatter field is the first defense."" The `areas:` field no longer exists anywhere in the KB. ADR 004 (status: proposed) replaced `areas:` with `tags:`. Every note in `kb/notes/` now uses `tags:`, not `areas:`. The defense mechanism described here is a historical artifact. Additionally, claim 8's deterministic check (""For every note with `areas: [X]`, verify it appears in the X index"") references the same superseded field. The entire Defenses section describes infrastructure that does not match the current system."
stale-indexes-are-worse-than-no-indexes.md,semantic-review,WARN,4,16,Grounding,"Claim 9 attributes the core observation to ""arscontexta methodology research"" with the quoted phrase ""stale navigation actively misleads because agents trust curated maps completely."" The arscontexta directory no longer exists in the repository (acknowledged as stale in `kb/notes/related-systems/arscontexta.md`). The arscontexta related-system note does not contain the quoted phrase or a paraphrase of it. The closest related concept found in the KB is the ""confidence trap"" mechanism identified in `kb/sources/what-spec-driven-development-gets-wrong-2025993446633492725.ingest.md`, which describes ""authoritative artifacts suppress fallback discovery when stale"" — but that ingest report was written *after* this note and cites this note, not the other way around. The attribution to arscontexta methodology research is unverifiable from within the current KB. The quoted claim may be accurate to a source that once existed locally but is no longer available."
agent-statelessness-makes-routing-architectural-not-learned.md,semantic-review,WARN,3,53,Completeness,"The five-level loading hierarchy (CLAUDE.md -> skill descriptions -> skill bodies -> type templates -> methodology notes) omits conversation history / chat context as a loading layer. In practice, the agent's context includes prior turns, tool outputs, and user-provided instructions within the session. These are not routed through the hierarchy but occupy context and influence behavior. The hierarchy claims to be ""our concrete progressive disclosure system"" but describes only pre-authored layers, not runtime-accumulated context. This is a boundary case that sits between the enumerated items."
agent-statelessness-makes-routing-architectural-not-learned.md,semantic-review,WARN,3,53,Completeness,"The degradation model claims a binary cliff: ""KB-augmented -> generic."" This understates the real degradation landscape. An agent with partial routing loaded (e.g., CLAUDE.md present but a specific skill body missing) degrades into a partially-augmented agent, not a fully generic one. The note acknowledges partial routing produces ""confident execution with systematic errors"" (Design consequences, item 3), which is a third degradation state — neither fully KB-augmented nor fully generic. The cliff metaphor and the ""worse than no routing at all"" observation are in tension: the cliff implies two states, but the partial-routing failure mode implies a continuum (albeit a steep, hard-to-navigate one)."
