check,warn_count,info_count,clean_count,sample_note,sample_finding
Completeness — FlashAttention and tokenizer examples,0,0,1,,
Completeness — Toulmin component coverage,0,0,1,,
Completeness — spec mining framing,0,0,1,,
Grounding alignment — Thalo comparison,0,0,1,,
Grounding alignment — arscontexta,0,0,1,,
Grounding alignment — bitter lesson boundary,0,0,1,,
Grounding alignment — codification,0,0,1,,
Grounding alignment — codification contrast,0,0,1,,
Grounding alignment — constraining pattern,0,0,1,,
Grounding alignment — cybernetics source,0,0,1,,
Grounding alignment — error correction,0,0,1,,
Grounding alignment — inspectable substrate,0,0,1,,
Grounding alignment — instruction specificity,0,0,1,,
Grounding alignment — link contracts framework,0,0,1,,
Grounding alignment — oracle strength spectrum,0,0,1,,
Grounding alignment — tool-use as different path,0,0,1,,
Grounding — AgeMem,0,0,1,,
Grounding — Simon,0,0,1,,
Grounding — bitter-lesson-boundary note,0,0,1,,
Grounding — codification,0,0,1,,
Grounding — constraining trade-off note,0,0,1,,
Grounding — discovery,0,0,1,,
Internal consistency — Evidence/Reasoning separation,0,0,1,,
Internal consistency — cost claim,0,0,1,,
Internal consistency — definition stability,0,0,1,,
Internal consistency — definitions,0,0,1,,
Internal consistency — naming rationale,0,0,1,,
Internal consistency — open questions,0,0,1,,
Internal consistency — pairwise consistency,0,0,1,,
Internal consistency — pairwise contradiction,0,0,1,,
Internal consistency — relationship to scheduler note,0,0,1,,
Internal consistency — risks vs. pattern,0,0,1,,
Internal consistency — section alignment,0,0,1,,
Internal consistency — three-level taxonomy vs. body,0,0,1,,
Internal consistency — title and body,0,0,1,,
internal consistency,0,1,6,,
Internal consistency — definition drift,0,1,1,,
"Completeness / boundary case — ""every codification is a bet""",0,1,0,,
Completeness / boundary case — the simplest possible instance,0,1,0,,
Completeness — boundary case: notes with mixed argument shapes,0,1,0,,
Completeness — boundary case: resumability,0,1,0,,
Completeness — boundary case: the reviewed note itself,0,1,0,,
Consistency/definition-drift,0,1,0,,
Grounding / Domain,0,1,0,,
Grounding / Vocabulary,0,1,0,,
Grounding / vocabulary — Finzi et al.,0,1,0,,
"Grounding alignment — ""named but not hardened""",0,1,0,,
Grounding alignment — Toulmin source coverage,0,1,0,,
Grounding alignment — oracle-strength-spectrum,0,1,0,,
Grounding alignment — vocabulary,0,1,0,,
Grounding – inference validity,0,1,0,,
Grounding – vocabulary mismatch,0,1,0,,
Grounding — attribution,0,1,0,,
Grounding — vocabulary,0,1,0,,
Grounding — vocabulary mismatch,0,1,0,,
Grounding/domain-coverage,0,1,0,,
"Internal consistency — ""feel substantially better""",0,1,0,,
"Internal consistency — ""trajectory, not a law"" vs. ""persist under scaling""",0,1,0,,
Internal consistency — Caveats tension,0,1,0,,
Consistency,0,2,6,,
internal-consistency,0,2,4,,
Internal consistency,0,26,57,,
Completeness / boundary case — relaxing,1,0,0,codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,"The note defines relaxing as ""replacing a codified component with a learned or general-purpose one when scale makes that viable."" The examples given (edge detection relaxed to learned features, FlashAttention as re-codification) all involve replacement at the same level of abstraction. But a common real-world pattern is partial relaxing: loosening a strict spec into a softer constraint rather than wholesale replacement. For example, a rigid three-stage pipeline might not be entirely replaced by a learned system but instead have its stage boundaries made fuzzy or optional. The note frames codify/relax as a binary toggle (""replacing a codified component""), but the constraining note it links to describes a spectrum. The binary framing obscures the gradual relaxation that is probably more common in practice than wholesale replacement."
Completeness — boundary case: implicit-warrant notes,1,0,0,claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,"The note advocates for an Evidence section that separates ""checkable fact"" from reasoning. Boundary case: many KB notes derive their claims from architectural reasoning or conceptual analysis rather than checkable observations (e.g., ""If the type were called `claim`, an LLM reading 'titles should be claims' would infer every note needs `type: claim`"" — this note's own reasoning is a thought experiment, not checkable evidence). When Evidence sections are filled with reasoning-from-principles rather than verifiable observations, the Evidence/Reasoning split collapses. The note's own Caveats section partly acknowledges this with the ""flow problems"" caveat, but does not address the more specific issue that the Evidence/Reasoning distinction may not carve nature at its joints for conceptual-argument notes."
Grounding -- domain coverage,1,0,0,memory-management-policy-is-learnable-but-oracle-dependent.md,"The note uses the bitter-lesson boundary to frame AgeMem's architecture: ""the operations are the calculator part (specifiable, deterministic), while the composition policy is the vision-feature part (learnable, benefits from scale)."" The bitter-lesson note's core distinction is whether ""the specification fully captures the problem."" The note applies this by saying memory operations are fully specified (calculator) while the policy is not (vision feature). But AgeMem's operations are not fully specified in the bitter-lesson sense -- they are hand-crafted tools with designed interfaces, which is different from specifications that ARE the problem (like multiplication). ""Add a key-value pair"" is a human-designed interface to memory, not a formal specification of what memory storage IS. The operations are closer to the vision-feature side than the note acknowledges -- they are a theory of what memory operations look like, not a definition. The bitter-lesson note's own chess example is instructive: the rules of chess are the arithmetic part because they define legal play, not because they are hand-crafted tools. AgeMem's six tools define an API, not the problem."
Grounding / Scope mismatch,1,0,0,capability-placement-should-follow-autonomy-readiness.md,"The note claims ""Capability placement is a separate decision from AGENTS.md control-plane design,"" but the parent note (agents-md-should-be-organized-as-a-control-plane.md) already includes capability inventories in its exclusion rules (line 93: ""capability inventories (injected or non-injected)"") and discusses lifecycle guidance (section ""Lifecycle of guidance,"" lines 98-108) that covers the same progression this note formalizes. The parent note treats capability placement as a consequence of the control-plane model, not a separate decision. This note reframes it as independent, but the linked source treats it as derived. The relationship annotation says ""isolates the separate decision rule,"" but the source material suggests the rule was already embedded, not separate."
Grounding / domain coverage,1,0,0,document-classification.md,"The note claims that `note` ""defines the shared fields (description, status, traits, areas)"" but when checking types/note.md, the global fields listed there are: `description`, `type`, `traits`, `tags`, and `status`. The note says ""areas"" but the actual spec says ""tags."" This is a vocabulary mismatch — `areas` was likely the old name for what is now `tags`. The attribution does not match the source."
