id	batch	pass	choice	confidence	reader_need	revision_consequence	boundary_test	auth_status	justification
F006	1	A	exemplifies	medium	See the general selection-loop pattern that makes a retained bad rationale operative rather than merely wasted.	If that filter asymmetry were rejected, recheck the source's framing of an unfaithful retained rationale as false-positive acceptance; its intervention-based faithfulness claim could still stand.	The source supplies the concrete unfaithful-rationale case while the target states the broader filter asymmetry, so this is instance-to-general rather than target-to-source explanation.	authorized	The source shows a legible but causally wrong rationale directing revision at the wrong premise; the target generalizes that an erroneous acceptance becomes operative and can compound after retention.
F006	1	B	exemplifies	high	See the general false-positive-acceptance pattern instantiated by revision through an unassessed rationale.	If accepted bad artifacts no longer became operative as the target claims, recheck the source's characterization of the unfaithful-rationale case, though its intervention argument could remain.	The target classifies the source's specific failure as an accepted bad change; it does not explain why an unfaithful rationale directs revision to the wrong premise.	authorized	The source shows a legible but unfaithful rationale being acted on and retained as a confidently wrong repair, while the target generalizes that accepted false positives acquire consumers and force whereas rejected generated candidates do not.
F006	1	C	exemplifies	high	The general proposal-selection asymmetry that classifies an unassessed rationale as operative false-positive acceptance.	If the target stopped treating accepted bad artifacts as operative retained changes, recheck this classification of the rationale failure; the source's intervention argument could remain.	The source gives its own causal account by showing revision edit the premise named by an unfaithful rationale, so the target generalizes that case rather than explaining the repair failure.	authorized	The source's bad rationale survives because revision acts on it while leaving the actually load-bearing premise untouched; the target describes the broader pattern in which a bad candidate passes evaluation, becomes operative through retention, and can compound.
F013	2	A	extends	medium	See the concrete four-field artifact ontology whose consumption-path and authority distinctions make heterogeneous verification targets classifiable.	If the target dropped or materially changed those distinctions, recheck the source's heterogeneity example and its claim that artifact classes imply different review evidence.	The source develops a verification consequence of the target's ontology; the target does not explain the prior oracle-domain necessity, so this is extends rather than explained-by.	authorized	The source argues reusable checks require declared classes and invokes mixed consumption and authority paths; the target supplies storage, form, lineage, and behavioral-authority fields for classifying those paths.
F013	2	B	explained-by	medium	Follow the target for the four-axis account of operative parts, consumption paths, authority, and form that makes heterogeneous artifacts demand different review evidence.	If the target stopped tying consumption path, representational form, or authority to the evidence that can review an artifact, recheck the source's heterogeneity explanation for why classification precedes an oracle.	explained-by over operates-through: the target accounts for the differing review regimes, but the source does not show an artifact-analysis record actually being used by a verifier.	candidate-new	The source argues that reusable checks need a declared class and identifies mixed consumption paths as the hard case; the target explains that the same stored object can act through different paths and that form and authority determine review evidence, supplying the account for that hard case.
F013	2	C	explained-by	high	Understand why consumption-path and authority heterogeneity makes a declared verification domain necessary.	If artifact analysis stopped separating operative parts and authority paths or stopped assigning them different review evidence, recheck the source's heterogeneity argument and concrete ontology example.	Explanation rather than operation: the four-field account explains why one Markdown layer needs typed classes, but the source does not show a verifier actually consuming that record.	candidate-new	The source argues that reusable verification is unwarranted until artifacts belong to a declared class and invokes mixed consumption paths; the target shows that identical stored bytes can have different forms, authority paths, and review evidence, supplying the account of why classification must precede reusable checking.
F015	3	A	explained-by	medium	Understand why framework recap can be omitted while the case-specific recognition remains durable.	If generic heuristic guidance proved non-reconstructible at read time, recheck the source's minimal-plus-linked default and its exceptions.	Explained-by beats premised-on because the target gives a write-time crystallization and read-time re-derivation account, not merely an assumed reader capacity.	candidate-new	The source separates reconstructible framework scaffolding from the durable cue, mapping, and local fact; the target explains that heuristic guidance is reasoning fixed early under context scarcity and can otherwise be re-derived, while authority-bearing constraints remain explicit.
F015	3	B	explained-by	medium	Understand why a task-specific recognition and anchor can persist while familiar framework exposition is reconstructed at read time.	If heuristic guidance is not prior reasoning that capable readers can re-derive under adequate context, recheck the source's minimal-plus-linked retention rationale.	Unlike extends, the target is invoked as the account for the source's retention asymmetry, not as an argument the source primarily develops.	candidate-new	The source argues that the durable contribution is usually the recognition, cue, and local fact rather than a reproduced familiar framework; the target accounts for heuristic system-definition artifacts as write-time crystallized reasoning whose generic guidance can be re-derived while the task-ready result stays fixed.
F015	3	C	explained-by	high	Understand why a familiar framework can be reconstructed at read time while only the case-specific recognition must persist.	If heuristic system-definition artifacts were not re-derivable crystallized reasoning under scarce context, recheck the source's minimal-plus-link retention rationale.	Explained-by, not operates-through: the target gives the read-time-reconstruction account but is not an artifact or control path used by the source's retention practice.	candidate-new	The source argues that active framework detail should usually be omitted when consumers can reconstruct it; the target explains heuristic guidance as prior reasoning fixed because context is scarce and recoverable through read-time reasoning.
F026	4	A	is-evidence-for	high	See the broader coordination-guarantee claim that classifies the observed below-refusal drift as contamination from flat context without isolation.	If the target withdrew the no-isolation-to-contamination claim, recheck whether this controlled case still bears on that generalization.	is-evidence-for rather than exemplifies because the source reports a controlled directional observation that materially corroborates the target claim, not merely an illustrative instance.	candidate-delta	The source reports stance drift after a contaminating verdict entered flat context despite explicit detection and refusal; the target identifies contamination as the failure produced when flat context composition lacks scoping or isolation.
F026	4	B	exemplifies	high	Place the controlled below-compliance stance drift inside the target's broader flat-context contamination and coordination-guarantee failure schema.	If the target stopped treating unisolated flat context as a contamination failure, recheck whether this experiment is a worked instance of that schema; its measured drift would remain.	The target classifies the source case but does not supply the fine-grained causal account for drift despite refusal, so this is instance-to-general rather than explained-by.	authorized	The source reports a blind controlled case where contaminated writers showed directional fine-grained drift despite detection and refusal; the target states the general claim that composition without scoping or isolation produces contamination.
F026	4	C	exemplifies	medium	See the broader coordination-guarantee taxonomy in which fine-grained stance drift in flat context is a contamination instance.	If the target stopped treating unscoped flat context as a contamination failure, recheck the source's placement as an instance; its controlled observation could remain.	This is exemplification rather than explained-by because the source supplies the concrete drift case and its own causal account, while the target generalizes the failure class.	authorized	The source reports directional stance drift despite detection and refusal; the target classifies information left live in a flat unisolated substrate as the contamination mode of uncoordinated composition.
F027	1	A	exemplifies	high	Place Tendril's durable generated capabilities within the general deploy-time adaptation timescale.	If the target's category were rejected or narrowed, recheck the source's characterization of Tendril and the proposed combined system as cross-session learning; the observed persistence differences would remain.	The source provides a concrete system comparison containing the Tendril case, while the target states the general timing category; the target does not cause the compared persistence behavior.	authorized	The source describes Tendril registering executable capabilities that survive sessions, and the target defines deploy-time learning as durable system-definition artifacts updated across sessions during deployment.
F027	1	B	exemplifies	high	Place Tendril's retained generated capabilities inside the target's general deploy-time-learning category.	If deploy-time learning ceased to require durable system-definition artifacts updated across sessions during deployment, recheck the source's classification of Tendril, while leaving its inspected persistence facts intact.	The source supplies a concrete system placement satisfying the target's category; the target does not describe Tendril's implementation or literally operate its capability registry.	authorized	The source reports that Tendril writes executable workspace capabilities that persist across sessions, exactly instantiating the target's durable, inspectable system-definition adaptation during deployment.
F027	1	C	exemplifies	medium	The general deploy-time-learning category under which Tendril's cross-session generated capability falls.	If the target changed its timing or medium boundary to exclude workspace-local tool promotion, recheck the Tendril classification and combined-system framing; the factual persistence comparison would remain.	Tendril's implementation supplies the persistence facts, while the target supplies the broader category; this is instance-to-general rather than the causal explanation of Tendril's implementation.	authorized	The source describes Tendril registering executable capabilities that persist across sessions, while the target characterizes durable system-definition artifacts updated during deployment as deploy-time learning; Tendril is a concrete case of that general pattern.
F028	2	A	exemplifies	medium	See the general deploy-time-learning category for turning rejected interpretations into durable instruction tests across sessions.	If the target stopped treating cross-session system-definition-artifact edits as deploy-time learning, recheck the source's categorization and compounding claim, though the proposed practice would remain.	The rejected-interpretation practice is a concrete instance of the target's durable cross-session artifact update; the target neither causes the correction nor serves as its operating component, so this is exemplifies rather than explained-by or operates-through.	authorized	The source proposes encoding user-rejected interpretations as durable instruction tests; the target defines cross-session updates to inspectable system-definition artifacts as deploy-time learning.
F028	2	B	exemplifies	high	Follow the target to place a rejected-interpretation instruction test in the general class of durable behavior-changing artifact updates made across deployment sessions.	If the target excluded instruction or test refinements from deploy-time learning, or denied that such durable updates compound behavior across sessions, recheck the source's persistence claim for rejected interpretations.	exemplifies over operates-through: turning a correction into a durable instruction test is a concrete instance of the target's timing category, not a separate deploy-time-learning component through which the whole Popperian argument operates.	authorized	The source proposes capturing a user's rejected interpretation as a durable instruction test so the correction compounds across sessions; the target defines exactly that cross-session updating of inspectable system-definition artifacts as deploy-time learning.
F028	2	C	exemplifies	medium	See the general deploy-time-learning category under which rejection-driven durable instruction tests fall.	If cross-session updates to durable natural-language or symbolic system-definition artifacts no longer counted as deploy-time learning, revise the source's classification of the rejected-interpretation practice, while its Popperian rationale could remain.	Instance rather than explanation: turning a rejected interpretation into a durable instruction test is a concrete cross-session update, while the target does not explain why structural criticism or capture-on-rejection is needed.	authorized	The source proposes retaining rejected runtime interpretations as instruction tests so correction compounds across sessions; the target defines deploy-time learning as exactly such during-deployment, cross-session behavior change through durable system-definition artifacts.
F030	3	A	operates-through	high	See the codify-and-relax process by which transferable operational resolutions are persisted.	If codification no longer committed stable regularities to durable artifacts, or relaxing were required even for the claimed zone, recheck the source's high-reach persistence prescription.	Operates-through beats explained-by because codification is the persistence process the source invokes; it does not explain why cross-context transfer creates durability pressure.	candidate-new	The source locates unsafe ephemerality where resolutions must survive across contexts and says codification commits them; the target describes codification as extracting and fixing regularities in artifacts, with relaxing when that commitment encodes a proxy theory.
