note,review_type,level,note_warn_count,check_warn_count,check,finding
three-space-agent-memory-echoes-tulvings-taxonomy-but-the-analogy-may-be-decorative.md,frontmatter-review,WARN,2,9,Description discrimination,"The description ""Agent memory split into knowledge, self, and operational spaces mirrors Tulving's semantic/episodic/procedural distinction"" restates the title's mapping claim with slightly more detail (naming the specific types) but adds no mechanism, scope, or implication. The body's key insight is that the three spaces have different *lifecycles* — knowledge accumulates, self-knowledge evolves slowly, operational artifacts churn — and that the Tulving analogy ""may be decorative."" A discriminating description would surface the lifecycle argument or the speculative status, e.g.: ""The value of the three-space split is that knowledge, self, and operational content have different lifecycles and retention policies; whether the Tulving analogy adds explanatory power beyond that is open."""
three-space-agent-memory-echoes-tulvings-taxonomy-but-the-analogy-may-be-decorative.md,frontmatter-review,WARN,2,8,Title-body alignment,"The title asserts the mapping as fact: ""Three-space agent memory maps to Tulving's taxonomy."" The body hedges significantly: ""The mapping to Tulving is suggestive but may be decorative"" and ""Whether the cognitive science analogy adds explanatory power beyond that remains to be seen."" The title presents a settled correspondence; the body's conclusion undercuts it. This is claim drift — the body actually argues the mapping is plausible but unproven, while the title states it flatly."
backlinks.md,frontmatter-review,WARN,1,9,Description discrimination,"The description ""Analysis of where backlinks (inbound link visibility) would concretely help agents working in the KB — use cases, trade-offs, and design options"" paraphrases the title ""Backlinks — use cases and design space"" with only minor expansion. The parenthetical ""(inbound link visibility)"" adds a gloss, but ""use cases, trade-offs, and design options"" restates the title's ""use cases and design space."" The description adds no mechanism, scope, or implication beyond what the title already conveys. An agent seeing five results for ""backlinks"" would not be able to distinguish this note from its title alone."
brainstorming-how-to-test-whether-pairwise-comparison-can-harden-soft-oracles.md,frontmatter-review,WARN,1,9,Description discrimination,"The description opens with ""Brainstorming note that turns..."" which is a ""this note does X"" summary frame. The procedure flags these as weak because they waste retrieval-facing characters on meta-labeling. The useful discriminating content is ""staged test plan for open-ended LLM evaluation loops"" -- that adds mechanism and scope beyond the title. Dropping the ""Brainstorming note that turns"" prefix and leading directly with the discriminating content would improve retrieval value."
commonplace-architecture.md,frontmatter-review,WARN,1,9,Description discrimination,"Description ""The commonplace repo's own internal layout — what exists, what's missing, and the decision to put global types in CLAUDE.md instead of kb/types/"" is structured as a table-of-contents summary (""what exists, what's missing, and the decision to...""). The third element (global types placement) adds a concrete discriminator, but the first two are generic content labels. An agent searching for ""commonplace layout"" among several architecture notes would get limited help from ""what exists, what's missing."""
ephemerality-is-safe-where-embedded-operational-knowledge-has-low-reach.md,frontmatter-review,WARN,1,9,Description discrimination,"The description's second clause — ""ephemerality is safe only when that knowledge stays local"" — restates the title's claim (""low reach"" = ""stays local"") rather than adding new retrieval value. The first clause does useful work by naming the mechanism (Kirsch's barriers as cases where software carries decisions that must survive across runs, users, and audits), but the second half spends its budget paraphrasing the title. A stronger description would use that space to add scope or implication — for example, noting that reach (not code complexity or business importance) is the proposed predictor, or that the note reinterprets Kirsch's four barriers through a single unifying concept."
generate-instructions-at-build-time.md,frontmatter-review,WARN,1,9,Description discrimination,"The description ""KB skills should be generated from templates at setup time, not parameterised with runtime variables — applying the general principle that indirection is costly in LLM instructions"" largely restates the title with a grounding reference appended. The first clause (""generated from templates at setup time, not parameterised with runtime variables"") is a paraphrase of the title. The appended principle (""indirection is costly"") names the grounding note but doesn't add mechanism or scope. The body contains a stronger discriminator: ""You pay the flexibility cost once at setup time, not on every use"" — this explains WHY build-time generation wins (one-time cost vs. per-use cost). A description built around that mechanism, or around the constraining framing (""template is soft, generated output is hard""), would help an agent distinguish this note from the more general indirection-is-costly note in search results."
instructions-are-typed-callables.md,frontmatter-review,WARN,1,9,Description discrimination,"The description ""Skills and tasks are typed callables — they accept document types as input and produce types as output, and should declare their signatures like functions declare parameter types"" closely paraphrases the title ""Instructions are typed callables with document type signatures."" The second clause (""should declare their signatures like functions declare parameter types"") restates the title's ""typed callables with document type signatures"" nearly verbatim. The body's actual discriminating insight is the early-validation benefit: type annotations on instructions enable catching type mismatches before execution (""this document is an `index`, but this workflow operates on `structured-claim` — wrong type""). Leading with that mechanism would separate the description from the title."
mcp-bundles-stateless-tools-with-stateful-runtime.md,frontmatter-review,WARN,1,9,Description discrimination,"The first clause of the description (""MCP forces stateless tool operations through a persistent server process"") closely paraphrases the title (""MCP bundles stateless tools with a stateful runtime"") — it restates the same bundling claim with slightly different words. The second clause (""most tools are pure functions that don't need session state, connections, or lifecycle management, but pay the complexity tax anyway"") adds scope by naming the specific costs, but the overall description front-loads a restatement before reaching discriminating content."
three-space-memory-separation-predicts-measurable-failure-modes.md,frontmatter-review,WARN,1,9,Description discrimination,"Description ""The three-space memory claim is testable because flat memory predicts specific cross-contamination failures"" partially overlaps the title's ""predicts measurable failure modes"" with ""predicts specific cross-contamination failures."" The added value is the ""flat memory"" framing and ""cross-contamination"" specificity, but ""testable"" restates ""measurable."" A stronger description would lead with scope or implication — e.g., what the observation protocol targets (search pollution, identity scatter, insight trapping) or the scale threshold question, rather than re-asserting testability."
