note,warn_count,info_count,top_warning_checks,sample_warning
three-space-agent-memory-echoes-tulvings-taxonomy-but-the-analogy-may-be-decorative.md,2,1,"Description discrimination, Title-body alignment","The description ""Agent memory split into knowledge, self, and operational spaces mirrors Tulving's semantic/episodic/procedural distinction"" restates the title's mapping claim with slightly more detail (naming the specific types) but adds no mechanism, scope, or implication. The body's key insight is that the three spaces have different *lifecycles* — knowledge accumulates, self-knowledge evolves slowly, operational artifacts churn — and that the Tulving analogy ""may be decorative."" A discriminating description would surface the lifecycle argument or the speculative status, e.g.: ""The value of the three-space split is that knowledge, self, and operational content have different lifecycles and retention policies; whether the Tulving analogy adds explanatory power beyond that is open."""
design-methodology-borrow-widely-filter-by-first-principles.md,1,2,Title-body alignment,"The title ""Design methodology — borrow widely, filter by first principles"" implies a uniform first-principles filter, but the body's actual thesis is a tiered adoption system: programming patterns get an explicit fast pass that bypasses first-principles justification, empirical observation is called ""the second strongest source"" with its own path (not borrowed, so not filtered), and legal drafting is flagged as a separate untested candidate category. The title undersells the body's nuanced hierarchy by suggesting a single filter where the body establishes at least four distinct adoption tiers."
backlinks.md,1,1,Description discrimination,"The description ""Analysis of where backlinks (inbound link visibility) would concretely help agents working in the KB — use cases, trade-offs, and design options"" paraphrases the title ""Backlinks — use cases and design space"" with only minor expansion. The parenthetical ""(inbound link visibility)"" adds a gloss, but ""use cases, trade-offs, and design options"" restates the title's ""use cases and design space."" The description adds no mechanism, scope, or implication beyond what the title already conveys. An agent seeing five results for ""backlinks"" would not be able to distinguish this note from its title alone."
brainstorming-how-to-test-whether-pairwise-comparison-can-harden-soft-oracles.md,1,1,Description discrimination,"The description opens with ""Brainstorming note that turns..."" which is a ""this note does X"" summary frame. The procedure flags these as weak because they waste retrieval-facing characters on meta-labeling. The useful discriminating content is ""staged test plan for open-ended LLM evaluation loops"" -- that adds mechanism and scope beyond the title. Dropping the ""Brainstorming note that turns"" prefix and leading directly with the discriminating content would improve retrieval value."
commonplace-architecture.md,1,1,Description discrimination,"Description ""The commonplace repo's own internal layout — what exists, what's missing, and the decision to put global types in CLAUDE.md instead of kb/types/"" is structured as a table-of-contents summary (""what exists, what's missing, and the decision to...""). The third element (global types placement) adds a concrete discriminator, but the first two are generic content labels. An agent searching for ""commonplace layout"" among several architecture notes would get limited help from ""what exists, what's missing."""
context-engineering.md,1,1,Title composability,"Title ""Context engineering"" is a bare topic noun phrase. ""since context engineering..."" does not complete as a sentence fragment. However, this is a definitional/term-pinning note (description opens with ""Definition --"", status is seedling), which is an accepted exception for topical titles per claim-strength exceptions. Escalating to WARN rather than CLEAN because the composability test itself does not list definitional notes as an exception -- only the claim-strength check does."
conversation-vs-prompt-refinement-in-agent-to-agent-coordination.md,1,1,Title-body alignment,"The title frames a binary comparison (""conversation vs prompt refinement"") but the body establishes a three-way taxonomy: conversation, prompt refinement, and context cloning/forking. The forking pattern gets its own section (""Onboarding and forking"") and its own open question, and is explicitly called out as ""a third pattern"" that is ""neither pure conversation... nor pure refinement."" The title understates the note's actual scope."
deploy-time-learning-the-missing-middle.md,1,1,Title composability,"Title ""Deploy-time learning: The Missing Middle"" uses a colon-subtitle format that does not compose as a prose fragment. ""since deploy-time learning: the missing middle"" is grammatically broken. The subtitle ""The Missing Middle"" is an editorial flourish rather than a composable phrase. A claim-form title like ""deploy-time learning fills the gap between training and in-context adaptation"" would link naturally into sentences in other notes."
error-messages-that-teach-are-a-constraining-technique.md,1,1,Title-body alignment,"The title claims ""error messages that teach are a constraining technique"" — a classification statement. But the body's central contribution is the orthogonal inform axis: ""moving right on this axis is cheap constraining — it requires no change in trigger mechanism or enforcement strength, only better error messages."" The title captures the category membership but not the insight that the inform dimension is orthogonal to enforcement strength and cheap to add, which is what the body actually argues."
generate-instructions-at-build-time.md,1,1,Description discrimination,"The description ""KB skills should be generated from templates at setup time, not parameterised with runtime variables — applying the general principle that indirection is costly in LLM instructions"" largely restates the title with a grounding reference appended. The first clause (""generated from templates at setup time, not parameterised with runtime variables"") is a paraphrase of the title. The appended principle (""indirection is costly"") names the grounding note but doesn't add mechanism or scope. The body contains a stronger discriminator: ""You pay the flexibility cost once at setup time, not on every use"" — this explains WHY build-time generation wins (one-time cost vs. per-use cost). A description built around that mechanism, or around the constraining framing (""template is soft, generated output is hard""), would help an agent distinguish this note from the more general indirection-is-costly note in search results."
programming-practices-apply-to-prompting.md,1,1,Claim strength,"The title ""Programming practices apply to prompting"" is close to conventional wisdom — few practitioners in the LLM space would argue the opposite. The note's actual analytical contribution is sharper: it identifies two distinct phenomena (semantic underspecification and execution indeterminism) that create qualitatively different challenges when each practice transfers, and argues that agent statelessness turns what is pedagogical convenience for humans into architectural necessity. A title that captures the distinctive insight — e.g., ""programming practices transfer to prompting but underspecification and indeterminism create distinct failure modes"" — would be more contestable and more informative as a link fragment."
three-space-memory-separation-predicts-measurable-failure-modes.md,1,1,Description discrimination,"Description ""The three-space memory claim is testable because flat memory predicts specific cross-contamination failures"" partially overlaps the title's ""predicts measurable failure modes"" with ""predicts specific cross-contamination failures."" The added value is the ""flat memory"" framing and ""cross-contamination"" specificity, but ""testable"" restates ""measurable."" A stronger description would lead with scope or implication — e.g., what the observation protocol targets (search pollution, identity scatter, insight trapping) or the scale threshold question, rather than re-asserting testability."
traversal-improves-the-graph.md,1,1,claim-strength,"Title ""Traversal improves the graph"" is broad enough that most KB practitioners would nod along without pushback. The note's actual non-obvious insight is that improvement should be *deferred via logging* rather than done in-place — that is the contestable claim (someone could reasonably argue agents should fix issues on the spot, as Luhmann did). The current title captures the easy half (traversal helps) and omits the hard half (defer, don't fix now). Note status is `seedling`, so this is expected to sharpen over time, but flagging because the body already has a sharp claim that the title could adopt."
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,1,0,Title-body alignment,"The title promises ""contextual competence through discoverable, composable, trustworthy knowledge"" — the three-properties framing — but the body delivers a substantially broader theory. Roughly the first third of the note (sections ""What is a good agentic knowledge base?"" and ""Three properties"") supports the title. The remaining two-thirds introduces accumulation as the basic learning operation, four transformation operations (constraining, distillation, discovery, pruning), Deutsch's reach criterion as a quality measure, the reach-vs-action-value tension, and an argument that authored knowledge produces more reach than extracted knowledge. The description captures this broader scope accurately; the title does not."
agent-statelessness-means-the-context-engine-should-inject-context-automatically.md,1,0,Title-body alignment,"The title claims the *need* for automatic injection, and the body explicitly states ""The claim here is about the *need* for injection, not the mechanism."" Yet the body devotes two full sections to a specific mechanism: a proposed `definition` type with concrete structural properties (""has examples, has negative examples, links to sibling definitions, bounded length"") and an injection-strategy table covering definitions, area indexes, ADRs, and specs. This is mild scope drift -- the title promises a necessity argument but the body delivers both necessity and a substantial design proposal for how to fulfill it."
distillation.md,1,0,Title composability,"Title is a bare noun (""Distillation"") — ""since distillation..."" does not read as a complete clause. The note is definitional/term-pinning, which exempts it from the claim-strength check, but bare-noun titles still compose poorly as link targets. Other notes currently link to it with inline context (e.g., ""[constraining](./constraining.md) — co-equal mechanism""), which works but means every linker must supply its own gloss."
ephemerality-is-safe-where-embedded-operational-knowledge-has-low-reach.md,1,0,Description discrimination,"The description's second clause — ""ephemerality is safe only when that knowledge stays local"" — restates the title's claim (""low reach"" = ""stays local"") rather than adding new retrieval value. The first clause does useful work by naming the mechanism (Kirsch's barriers as cases where software carries decisions that must survive across runs, users, and audits), but the second half spends its budget paraphrasing the title. A stronger description would use that space to add scope or implication — for example, noting that reach (not code complexity or business importance) is the proposed predictor, or that the note reinterprets Kirsch's four barriers through a single unifying concept."
instructions-are-typed-callables.md,1,0,Description discrimination,"The description ""Skills and tasks are typed callables — they accept document types as input and produce types as output, and should declare their signatures like functions declare parameter types"" closely paraphrases the title ""Instructions are typed callables with document type signatures."" The second clause (""should declare their signatures like functions declare parameter types"") restates the title's ""typed callables with document type signatures"" nearly verbatim. The body's actual discriminating insight is the early-validation benefit: type annotations on instructions enable catching type mismatches before execution (""this document is an `index`, but this workflow operates on `structured-claim` — wrong type""). Leading with that mechanism would separate the description from the title."
mcp-bundles-stateless-tools-with-stateful-runtime.md,1,0,Description discrimination,"The first clause of the description (""MCP forces stateless tool operations through a persistent server process"") closely paraphrases the title (""MCP bundles stateless tools with a stateful runtime"") — it restates the same bundling claim with slightly different words. The second clause (""most tools are pure functions that don't need session state, connections, or lifecycle management, but pay the complexity tax anyway"") adds scope by naming the specific costs, but the overall description front-loads a restatement before reaching discriminating content."
reliability-dimensions-map-to-oracle-hardening-stages.md,1,0,Title-body alignment,"The title says ""map to oracle-hardening stages,"" implying a sequential ordering (stage 1, stage 2, ...). The body presents the four dimensions as independent oracles that ""can be hardened independently"" and explicitly states ""You don't need to solve all four at once."" The mapping is dimension-to-oracle-question, not dimension-to-sequential-stage. The body also notes safety ""is the only dimension that's already a hard oracle by design,"" which further breaks any stage metaphor."
storing-llm-outputs-is-constraining.md,1,0,title-body alignment,"The title ""Storing LLM outputs is constraining"" scopes to a single insight — that saving an LLM artifact is a constraining decision. The body establishes this in the first two paragraphs and the ""applies broadly"" list, but then extends into three additional sections (""Testing implications,"" ""Generator/verifier: an alternative to constraining prompts,"" ""Verbatim risk: the hardest verification failure"") that argue distinct points about testing strategy, the generator/verifier tradeoff, and a specific verification failure mode. These sections use the core claim as a premise but each develops its own argument well beyond the title's scope."
structure-activates-higher-quality-training-distributions.md,1,0,Title-body alignment,"The title asserts ""Structure activates higher-quality training distributions"" — presenting the distribution-selection mechanism as established. But the body's own conclusion states: ""The evidence supports 'structure helps, and the need for it doesn't dissolve with scale' but not the stronger thesis that it works specifically via activating higher-quality training subsets."" The title commits to the stronger causal claim that the body explicitly says is unconfirmed."
document-types-should-be-verifiable.md,0,2,,
vibe-noting.md,0,2,,
ad-hoc-prompts-extend-the-system-without-schema-changes.md,0,1,,
agentic-systems-interpret-underspecified-instructions.md,0,1,,
alexander-patterns-and-knowledge-system-design.md,0,1,,
always-loaded-context-mechanisms-in-agent-harnesses.md,0,1,,
automated-tests-for-text.md,0,1,,
brainstorming-how-reach-informs-kb-design.md,0,1,,
brainstorming-how-to-enrich-web-search.md,0,1,,
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,0,1,,
codification.md,0,1,,
constraining.md,0,1,,
decomposition-heuristics-for-bounded-context-scheduling.md,0,1,,
discovery-is-seeing-the-particular-as-an-instance-of-the-general.md,0,1,,
elicitation-requires-maintained-question-generation-systems.md,0,1,,
execution-indeterminism-is-a-property-of-the-sampling-process.md,0,1,,
files-not-database.md,0,1,,
human-llm-differences-are-load-bearing-for-knowledge-system-design.md,0,1,,
interpretation-errors-are-failures-of-the-interpreter.md,0,1,,
learning-is-not-only-about-generality.md,0,1,,
link-following-and-search-impose-different-metadata-requirements.md,0,1,,
linking-theory.md,0,1,,
llm-context-is-composed-without-scoping.md,0,1,,
llm-learning-phases-fall-between-human-learning-modes.md,0,1,,
llm-mediated-schedulers-are-a-degraded-variant-of-the-clean-model.md,0,1,,
minimum-viable-vocabulary-is-the-set-of-names-that-maximally-reduces-extraction-cost-for-a-bounded-observer.md,0,1,,
notes-need-quality-scores-to-scale-curation.md,0,1,,
operational-signals-that-a-component-is-a-relaxing-candidate.md,0,1,,
oracle-strength-spectrum.md,0,1,,
pointer-design-tradeoffs-in-progressive-disclosure.md,0,1,,
quality-signals-for-kb-evaluation.md,0,1,,
reverse-compression-is-the-failure-mode-where-llm-output-expands-without-adding-information.md,0,1,,
scenario-decomposition-drives-architecture.md,0,1,,
semantic-sub-goals-that-exceed-one-context-window-become-scheduling-problems.md,0,1,,
session-history-should-not-be-the-default-next-context.md,0,1,,
short-composable-notes-maximize-combinatorial-discovery.md,0,1,,
soft-bound-traditions-as-sources-for-context-engineering-strategies.md,0,1,,
solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking-better-designs.md,0,1,,
structured-output-is-easier-for-humans-to-review.md,0,1,,
subtasks-that-need-different-tools-force-loop-exposure-in-agent-frameworks.md,0,1,,
the-boundary-of-automation-is-the-boundary-of-verification.md,0,1,,
title-as-claim-makes-overlap-between-notes-visible.md,0,1,,
trace-derived-learning-techniques-in-related-systems.md,0,1,,
why-directories-despite-their-costs.md,0,1,,
why-notes-have-types.md,0,1,,
wikiwiki-principle-lowest-friction-capture-then-progressive-refinement.md,0,1,,
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,0,0,,
a-knowledge-base-should-support-fluid-resolution-switching.md,0,0,,
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,0,0,,
agent-is-a-tool-loop.md,0,0,,
agent-orchestration-needs-coordination-guarantees-not-just-coordination-channels.md,0,0,,
agent-orchestration-occupies-a-multi-dimensional-design-space.md,0,0,,
agent-runtimes-decompose-into-scheduler-context-engine-and-execution-substrate.md,0,0,,
agent-statelessness-makes-routing-architectural-not-learned.md,0,0,,
agents-md-should-be-organized-as-a-control-plane.md,0,0,,
agents-navigate-by-deciding-what-to-read-next.md,0,0,,
apparent-success-is-an-unreliable-health-signal-in-framework-owned-tool-loops.md,0,0,,
areas-exist-because-useful-operations-require-reading-notes-together.md,0,0,,
automated-synthesis-is-missing-good-oracles.md,0,0,,
automating-kb-learning-is-an-open-problem.md,0,0,,
bitter-lesson-boundary.md,0,0,,
bounded-context-orchestration-model.md,0,0,,
capability-placement-should-follow-autonomy-readiness.md,0,0,,
changing-requirements-conflate-genuine-change-with-disambiguation-failure.md,0,0,,
claw-learning-is-broader-than-retrieval.md,0,0,,
claw-learning-loops-must-improve-action-capacity-not-just-retrieval.md,0,0,,
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,0,0,,
codified-scheduling-patterns-can-turn-tools-into-hidden-schedulers.md,0,0,,
