note,warn_count,info_count,clean_count
001-generate-topic-links-from-frontmatter.md,1,1,6
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,4,7,11
a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,5,7,10
a-knowledge-base-should-support-fluid-resolution-switching.md,4,6,10
active-campaign-understanding-needs-a-single-coherent-narrative-not-composed-notes.md,2,2,4
ad-hoc-prompts-extend-the-system-without-schema-changes.md,5,6,11
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,5,5,11
agent-is-a-tool-loop.md,3,5,10
agent-orchestration-needs-coordination-guarantees-not-just-coordination-channels.md,5,6,11
agent-orchestration-occupies-a-multi-dimensional-design-space.md,5,6,9
agent-runtimes-decompose-into-scheduler-context-engine-and-execution-substrate.md,5,6,11
agent-statelessness-makes-routing-architectural-not-learned.md,5,6,9
agent-statelessness-means-the-context-engine-should-inject-context-automatically.md,5,7,9
agentic-systems-interpret-underspecified-instructions.md,5,6,9
agents-md-should-be-organized-as-a-control-plane.md,4,5,11
agents-navigate-by-deciding-what-to-read-next.md,2,6,10
alexander-patterns-and-knowledge-system-design.md,4,7,9
always-loaded-context-has-two-surfaces-with-different-affordances.md,3,4,9
apparent-success-is-an-unreliable-health-signal-in-framework-owned-tool-loops.md,5,6,9
areas-exist-because-useful-operations-require-reading-notes-together.md,4,6,14
automated-synthesis-is-missing-good-oracles.md,5,6,12
automated-tests-for-text.md,5,6,9
automating-kb-learning-is-an-open-problem.md,6,8,10
backlinks.md,8,4,9
bitter-lesson-boundary.md,4,7,13
bounded-context-orchestration-model.md,5,7,10
brainstorming-how-reach-informs-kb-design.md,5,6,9
capability-placement-should-follow-autonomy-readiness.md,4,5,10
changing-requirements-conflate-genuine-change-with-disambiguation-failure.md,4,5,10
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,5,5,10
claw-learning-is-broader-than-retrieval.md,6,6,10
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,5,6,11
codification.md,3,5,12
codified-scheduling-patterns-can-turn-tools-into-hidden-schedulers.md,3,6,9
commonplace-architecture.md,5,7,9
commonplace-installation-architecture.md,7,7,9
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,5,5,12
constraining-during-deployment-is-continuous-learning.md,5,6,9
constraining.md,5,6,10
context-efficiency-is-the-central-design-concern-in-agent-systems.md,7,7,9
context-engineering.md,4,7,11
continuous-learning-requires-durability-not-weight-updates.md,4,4,12
conversation-vs-prompt-refinement-in-agent-to-agent-coordination.md,5,6,9
convert-still-requires-semantic-description.md,1,1,6
decomposition-rules-for-bounded-context-scheduling.md,6,14,17
deep-search-is-connection-methodology-applied-to-temporarily-expanded-corpus.md,6,7,10
deploy-time-learning-is-agile-for-human-ai-systems.md,5,7,8
deploy-time-learning-the-missing-middle.md,6,6,9
design-methodology-borrow-widely-filter-by-first-principles.md,5,7,9
deterministic-validation-should-be-a-script.md,3,4,11
directory-scoped-types-are-cheaper-than-global-types.md,5,6,10
discovery-is-seeing-the-particular-as-an-instance-of-the-general.md,5,7,9
distillation-status-determines-directory-placement.md,3,6,10
distillation.md,2,7,12
distilled-artifacts-need-source-tracking-at-the-source.md,3,5,11
document-classification.md,3,6,12
document-types-should-be-verifiable.md,5,6,10
effective-context-is-task-relative-and-complexity-relative-not-a-fixed-model-constant.md,4,7,10
elicitation-requires-maintained-question-generation-systems.md,6,6,9
enforcement-without-structured-recovery-is-incomplete.md,4,6,11
entropy-management-must-scale-with-generation-throughput.md,5,6,8
ephemeral-computation-prevents-accumulation.md,5,5,10
ephemerality-is-safe-where-embedded-operational-knowledge-has-low-reach.md,5,6,10
epiplexity-eli5.md,5,6,10
error-correction-works-above-chance-oracles-with-decorrelated-checks.md,5,6,9
error-messages-that-teach-are-a-constraining-technique.md,4,5,10
evaluation-automation-is-phase-gated-by-comprehension.md,5,5,11
evolving-understanding-needs-re-distillation-not-composition.md,2,2,7
execution-indeterminism-is-a-property-of-the-sampling-process.md,3,6,10
files-not-database.md,5,5,11
first-principles-reasoning-selects-for-explanatory-reach-over-adaptive-fit.md,5,5,9
frontloading-spares-execution-context.md,4,6,11
generate-instructions-at-build-time.md,3,5,9
human-llm-differences-are-load-bearing-for-knowledge-system-design.md,5,4,11
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,5,5,10
in-context-learning-presupposes-context-engineering.md,5,5,10
indirection-is-costly-in-llm-instructions.md,3,6,10
information-value-is-observer-relative.md,5,6,10
injectable-configuration-extends-frontloading-to-installation-specific-values.md,5,5,11
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,6,5,9
instruction-specificity-should-match-loading-frequency.md,3,4,12
instructions-are-skills-without-automatic-routing.md,4,5,10
instructions-are-typed-callables.md,5,4,10
interpretation-errors-are-failures-of-the-interpreter.md,5,6,10
kb-goals-in-always-loaded-context-guide-inclusion-decisions.md,5,6,10
knowledge-storage-does-not-imply-contextual-activation.md,5,6,9
learning-is-not-only-about-generality.md,5,7,10
learning-substrates-backends-and-artifact-forms.md,4,5,11
legal-drafting-solves-the-same-problem-as-context-engineering.md,7,6,8
link-contracts-framework.md,5,6,9
link-graph-plus-timestamps-enables-make-like-staleness-detection.md,4,5,10
link-strength-is-encoded-in-position-and-prose.md,5,7,8
llm-context-is-a-homoiconic-medium.md,4,4,11
llm-context-is-composed-without-scoping.md,5,6,10
llm-learning-phases-fall-between-human-learning-modes.md,5,6,9
llm-mediated-schedulers-are-a-degraded-variant-of-the-clean-model.md,4,5,11
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,2,4,12
mcp-bundles-stateless-tools-with-stateful-runtime.md,5,6,9
mechanistic-constraints-make-popperian-kb-recommendations-actionable.md,5,5,11
memory-management-policy-is-learnable-but-oracle-dependent.md,5,7,10
methodology-enforcement-is-constraining.md,5,7,10
minimum-viable-vocabulary-is-the-set-of-names-that-maximally-reduces-extraction-cost-for-a-bounded-observer.md,5,6,10
needs-testing.md,3,6,7
notes-need-quality-scores-to-scale-curation.md,4,8,9
operational-signals-that-a-component-is-a-relaxing-candidate.md,5,6,11
oracle-strength-spectrum.md,6,10,10
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,2,4,11
pointer-design-tradeoffs-in-progressive-disclosure.md,3,7,11
process-structure-and-output-structure-are-independent-levers.md,5,6,9
programming-practices-apply-to-prompting.md,5,6,9
prompt-ablation-converts-human-insight-to-deployable-framing.md,5,7,9
quality-signals-for-kb-evaluation.md,4,12,8
reliability-dimensions-map-to-oracle-hardening-stages.md,6,6,9
reverse-compression-is-the-failure-mode-where-llm-output-expands-without-adding-information.md,3,7,9
rlm-has-the-model-write-ephemeral-orchestrators-over-sub-agents.md,5,6,9
scenario-decomposition-drives-architecture.md,5,6,11
scenarios.md,4,5,9
scheduler-llm-separation-exploits-an-error-correction-asymmetry.md,5,6,10
semantic-review-catches-content-errors-that-structural-validation-cannot.md,5,5,9
semantic-sub-goals-that-exceed-one-context-window-become-scheduling-problems.md,4,4,10
session-history-should-not-be-the-default-next-context.md,5,6,10
short-composable-notes-maximize-combinatorial-discovery.md,5,7,9
silent-disambiguation-is-the-semantic-analogue-of-tool-fallback.md,3,4,11
skills-derive-from-methodology-through-distillation.md,3,6,12
soft-bound-traditions-as-sources-for-context-engineering-strategies.md,6,6,10
solve-low-degree-of-freedom-subproblems-first-to-avoid-blocking-better-designs.md,3,5,11
spec-mining-as-codification.md,5,5,12
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,4,6,9
specification-strategy-should-follow-where-understanding-lives.md,5,6,10
stale-indexes-are-worse-than-no-indexes.md,6,4,10
stateful-tools-recover-control-by-becoming-hidden-schedulers.md,3,5,10
storing-llm-outputs-is-constraining.md,5,7,10
structure-activates-higher-quality-training-distributions.md,6,5,11
structured-output-is-easier-for-humans-to-review.md,4,4,10
subtasks-that-need-different-tools-force-loop-exposure-in-agent-frameworks.md,4,5,8
synthesis-is-not-error-correction.md,5,6,10
systematic-prompt-variation-serves-verification-and-diagnosis-not-explanatory-reach-testing.md,4,6,12
text-testing-framework.md,6,7,9
the-augmentation-automation-boundary-is-discrimination-not-accuracy.md,4,6,11
the-boundary-of-automation-is-the-boundary-of-verification.md,5,7,10
the-chat-history-model-trades-context-efficiency-for-implementation-simplicity.md,3,4,13
three-space-agent-memory-maps-to-tulving-taxonomy.md,4,4,10
three-space-memory-separation-predicts-measurable-failure-modes.md,5,6,10
title-as-claim-enables-traversal-as-reasoning.md,4,7,10
title-as-claim-exposes-commitments-enabling-popperian-maintenance.md,3,4,10
title-as-claim-makes-overlap-between-notes-visible.md,3,5,9
trace-derived-learning-techniques-in-related-systems.md,6,7,11
traditional-debugging-intuitions-break-when-tool-loops-can-recover-semantically.md,3,5,12
traversal-improves-the-graph.md,5,6,8
two-context-boundaries-govern-collection-operations.md,5,7,10
two-kinds-of-navigation.md,4,4,9
type-system-enforces-metadata-that-navigation-depends-on.md,3,5,11
types-give-agents-structural-hints-before-opening-documents.md,5,6,10
unified-calling-conventions-enable-bidirectional-refactoring.md,5,6,10
unit-testing-llm-instructions-requires-mocking-the-tool-boundary.md,5,6,9
vibe-noting.md,5,5,10
what-cludebot-teaches-us.md,5,7,9
what-doesnt-work.md,4,6,9
what-works.md,4,6,9
why-directories-despite-their-costs.md,4,5,10
why-notes-have-types.md,4,4,12
wikiwiki-principle-lowest-friction-capture-then-progressive-refinement.md,4,6,10
writing-styles-are-strategies-for-managing-underspecification.md,5,5,10
