note,review_type,level,check,finding
001-generate-topic-links-from-frontmatter.md,prose-review,WARN,Source residue,"The Consequences section states ""Works across directories — `docs/notes/` and `docs/claw-design/` both supported."" Neither `docs/notes/` nor `docs/claw-design/` exists in this repo; the actual directory structure uses `kb/notes/`. The script itself (`scripts/sync_topic_links.py`) references `kb/notes/` and `kb/claw-design/` in its usage examples. These `docs/` paths are residue from a prior directory layout that was not updated when the note was brought into this KB."
001-generate-topic-links-from-frontmatter.md,prose-review,INFO,Orphan references,"The note cites specific counts — ""6 notes had `areas:` but no Topics section"" and ""5 notes had Topics linking to the wrong index"" — without naming when or how the audit was performed. These are plausible first-party observations in an ADR context section, but a reader has no way to reproduce or verify them. Worth noting; not necessarily a problem for a decision record."
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Pseudo-formalism,No formal notation present. Nothing to check.
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Confidence miscalibration,"The note is an accepted ADR. It uses direct assertion to describe the decision and its consequences, which is the correct register for a decision record. No speculative frameworks are presented as established, and no established findings are hedged."
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Proportion mismatch,"The core claim is the decision to replace LLM-generated Topics footers with a deterministic script. Context (the ""why"") gets 2 paragraphs with concrete examples of drift. Decision (the ""what"") gets a clear numbered list. Consequences (the ""so what"") gets 5 bullets. Proportions match the load each section carries."
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Unbridged cross-domain evidence,"No cross-domain evidence is cited. The one external reference — ""storing LLM outputs is constraining"" — is an internal KB note used to name a general pattern, not empirical evidence from a different domain."
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Redundant restatement,The note is concise (46 lines). No section opens by re-explaining what a prior section established. Each section begins with its own contribution.
001-generate-topic-links-from-frontmatter.md,prose-review,CLEAN,Anthropomorphic framing,"No language attributing human-like properties to models. The note refers to LLM behavior as ""semantic judgment"" and ""stochastic LLM step,"" both precise and appropriate."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,WARN,Confidence miscalibration,"The bridge taxonomy is asserted rather than proposed: ""This means there are two kinds of bridges needed: **Extraction bridges** ... **Composition bridges**"". This decomposition is the note's own construction — it could be three kinds, or one kind with variants — but the language presents it as the necessary structure. Contrast with the temporal-types section, which correctly hedges: ""A knowledge base that supports real workflows would likely need:""."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,INFO,Confidence miscalibration,"The title and opening claim (""a functioning knowledge base also needs to support work in motion"") frame the workshop layer as a universal requirement of functioning knowledge bases rather than a design proposal for this specific KB. The argument is built from observation of one system (this KB's task subsystem not fitting the type hierarchy). The closing paragraph partly corrects this (""when we want to build a knowledge base that supports real workflows""), grounding it as forward-looking design rather than universal law. The title carries the stronger framing, though, and titles are what propagate through indexes and link text."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,INFO,Orphan references,"""Indexed by qmd for search, but that's the only integration"" — ""qmd"" appears without introduction or explanation. A reader unfamiliar with the codebase's tooling would not know what this refers to. The term is used elsewhere in the KB but is not a self-evident acronym."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Source residue,"The note operates entirely within its native domain (knowledge-base design). Vocabulary — types, frontmatter, state machines, lifecycle, extraction, composition — is consistent with the claimed scope. No leaked framing from an external source domain."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Pseudo-formalism,"The Library/Workshop comparison table is structured prose, not formal notation. It aids scanability of the contrast without claiming mathematical precision. No equations, variables, or formal decompositions that overstate rigor."
a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,prose-review,CLEAN,Proportion mismatch,The core claim (library vs. workshop distinction) is established concisely via the table and surrounding prose. The bridges section elaborates design implications at proportionate length. Open questions are substantial but appropriate for a seedling note exploring design space. No section starves the core claim of attention.
