id	batch	pass	choice	confidence	reader_need	revision_consequence	boundary_test	auth_status	justification
G001	1	A	premised-on	high	Establish that a symbolic scheduler is itself a revisable learning target and that codification supplies its write path.	If the target no longer supports that conclusion, recheck the source's claim that reflective machinery is already inside the loop rather than merely hand-maintained.	Premised-on rather than evidenced-by: the source imports the target's general learning-target conclusion, not its empirical cases as corroboration.	candidate-new	The source argues that reflective machinery cannot be exempt by position and cites the symbolic layer as revisable content; the target concludes that schedulers, schemas, and invariants are learned and rewritten through codification even though symbolic execution remains separate.
G001	1	B	evidenced-by	medium	Check the concrete symbolic-runtime case in which schedulers, schemas, and invariants remain revisable learning targets with codification as their write path	If the target withdrew that learning-target conclusion, replace or qualify one corroborating case for machinery already lying inside the reflective loop; the no-outside argument would remain	Evidenced-by beats premised-on because the reflective source derives its core from loop geometry and cites the target as one bounded case among several, rather than requiring the scheduler thesis for truth	authorized	The source claims all loop machinery is revisable and must earn persistence; the target independently shows symbolic scheduling is justified yet non-static, with operational evidence moving constraints into validator code and codification revising the layer
G001	1	C	premised-on	medium	Verify that the symbolic scheduler layer is itself revisable machinery and that codification is its update path	If the target retracts either its learning-target conclusion or the codification write path, the source must recheck and rewrite that support for its no-outside claim	Premised-on rather than extends: the source imports one target conclusion as support but does not develop the target's error-correction argument	candidate-new	The source argues that reflective machinery is in loop scope and cites the symbolic layer as a learning target; the target argues for scheduler separation and concludes that this symbolic layer is revisable through codification
G002	2	A	premised-on	medium	Verify the objective premise that lets a reflective-loop analysis treat objective-setting as externally supplied even when loop machinery is revisable.	If objectives need not be declared and antecedently identifiable, revise the source's claim that the objective function stays outside the reflective loop.	Not extends: the source does not develop objective indexing or antecedence; it uses them as a premise inside a separate argument about reflective machinery.	candidate-new	The source places the objective among functions no reflective loop can supply for itself; the target makes an objective a declared analysis parameter and requires its independent, antecedent specification rather than a post-hoc fit to the change.
G002	2	B	premised-on	medium	Verify why the improvement objective must be declared and antecedently specifiable rather than licensed by the artifact change under judgment.	If independent antecedence ceased to constrain an improvement objective, recheck the claim that the objective function remains categorically outside artifact-level revision.	Premised-on rather than explained-by: the target supplies a condition assumed by the external-function claim but does not explain why machinery survives selection or how governance replaces the fixed point.	candidate-new	The source places the objective among functions that remain outside a reflective loop's revisable artifact classes; the target establishes objective indexing and independent antecedence while explicitly allowing internal representation.
G002	2	C	premised-on	medium	Verify why the objective remains an external function even when reflective machinery is revisable.	If objectives cease to require antecedent independent specification, revise the source's external-function-class substitution, though its persistence-by-warrant thesis may remain.	Premised-on rather than explained-by: the target establishes the objective's independent analytical status but does not explain why reflective machinery persists.	candidate-new	The source names the objective as a function that stays external by category; the target makes an objective a declared, antecedent, independently specifiable parameter that need not be represented inside the system.
G003	1	A	operates-through	high	Understand how retained checks give learned localized artifacts an accumulating selection channel across later candidates.	If check accumulation does not improve later selection or cannot be maintained, recheck the source's claim that accumulated evaluation supplies a discrete credit-assignment component for the localized loop.	Operates-through rather than explained-by: maintained checks are evaluation machinery applied to later candidates, not merely an account of why localized forms may persist.	candidate-new	The source names accumulated evaluation checks as one discrete substitute for credit assignment in learned localized forms; the target describes the process that retains failure-derived checks and applies them exhaustively to later in-scope candidates, with explicit domain and maintenance limits.
G003	1	B	explained-by	medium	Understand how retained enforced checks give localized symbolic state a compounding selection role and one discrete substitute for cross-artifact credit assignment	If accumulated checks did not improve later-candidate selection or their exhaustive wire failed, remove this compounding function and reassess one proposed credit-assignment substitute while retaining the production/form distinction	Explained-by beats operates-through because the source presents oracle accumulation as an account of one localized-form advantage in a still-uncomposed hypothesized loop, not as the actual control path implementing its overall claim	candidate-new	The source argues mixed deployments can retain localized forms and names accumulated evaluations among missing-loop fragments; the target explains lesson-versus-check channels, exhaustive enforcement, domain-limited reuse, and costs that produce and bound that advantage
G003	1	C	explained-by	medium	Understand why maintained checks let the localized symbolic layer compound by improving later candidate selection	If maintained checks no longer improve later selection within their domain, the source must revise its account of the symbolic layer's compounding role in the localized learning loop	Explained-by rather than operates-through: the source invokes the target's account of compounding without specifying an implemented loop component whose alteration would require an operational change	candidate-new	The source needs a reason localized state can contribute cumulatively to its proposed learning loop; the target explains that codified checks run exhaustively, prevent recurrent failures, and improve the selection environment within a maintained domain
G004	2	A	extends	high	See the general diagnostic-richness claim whose Meta-Harness evidence the source accepts and then bounds.	If the target's raw-trace versus thin-feedback claim or evidence changes, revise the source's accepted finding and burden-of-proof constraint; its unrun-treatment identification critique can remain.	Not premised-on: the non-identification result follows from treatment differences even if the broader richness claim weakens, so the source specializes and limits the target rather than depending on it for that result.	authorized	The target generalizes Meta-Harness's trace advantage into a diagnostic-richness principle; the source preserves that result while distinguishing replacement summaries from retained-episode, post-attribution, reviewed theory formation.
