note,warn_count,info_count,clean_count
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,4,4,4
stale-indexes-are-worse-than-no-indexes.md,4,3,4
agent-statelessness-makes-routing-architectural-not-learned.md,3,5,4
bitter-lesson-boundary.md,3,5,7
files-not-database.md,3,5,6
memory-management-policy-is-learnable-but-oracle-dependent.md,3,5,6
what-cludebot-teaches-us.md,3,5,5
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,3,4,6
agentic-systems-interpret-underspecified-instructions.md,3,4,5
agents-md-should-be-organized-as-a-control-plane.md,3,4,5
automated-tests-for-text.md,3,4,5
capability-placement-should-follow-autonomy-readiness.md,3,4,4
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,3,4,5
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,3,4,6
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,3,4,7
constraining-during-deployment-is-continuous-learning.md,3,4,5
constraining.md,3,4,6
document-types-should-be-verifiable.md,3,4,5
ephemeral-computation-prevents-accumulation.md,3,4,5
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,3,4,5
learning-is-not-only-about-generality.md,3,4,6
learning-substrates-backends-and-artifact-forms.md,3,4,5
link-contracts-framework.md,3,4,5
unified-calling-conventions-enable-bidirectional-refactoring.md,3,4,5
continuous-learning-requires-durability-not-weight-updates.md,3,3,6
spec-mining-as-codification.md,3,3,8
two-kinds-of-navigation.md,3,3,3
context-efficiency-is-the-central-design-concern-in-agent-systems.md,2,5,8
codification.md,2,4,6
document-classification.md,2,4,7
scenarios.md,2,4,4
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,2,4,5
title-as-claim-enables-traversal-as-reasoning.md,2,4,6
instruction-specificity-should-match-loading-frequency.md,2,3,5
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,2,3,5
needs-testing.md,2,3,3
agents-navigate-by-deciding-what-to-read-next.md,1,4,5
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,1,3,5
distillation.md,0,5,7
