note,warn_count,info_count,top_warning_checks,sample_warning
context-efficiency-is-the-central-design-concern-in-agent-systems.md,3,2,"Confidence miscalibration, Proportion mismatch, Unbridged cross-domain evidence","""Context is the scarce resource in agent systems — not compute, memory, or storage"" and ""context is the lowest-degree-of-freedom resource in agent systems"" are presented as established facts, but this is the note's own framing, not a cited finding. The Anthropic source calls context ""a critical but finite resource,"" which is weaker than ""the only fundamental scarce resource."" The note escalates a practitioner heuristic to a universal claim without flagging the gap. The closing sentence — ""If context is the only fundamental scarce resource"" — at least uses a conditional, but the opening paragraph and description assert it unconditionally."
learning-is-not-only-about-generality.md,2,3,Source residue,"The table in ""Generality"" (lines 17-24) uses exclusively KB-domain examples: ""Fix a typo,"" ""Sharpen a description,"" ""Add a connection,"" ""Define structured sections for a type,"" ""Every related-system note gets consistent structure,"" ""The verifiability gradient changes how everything constrains."" The title and opening paragraph claim a general insight about learning (""People equate learning with generality...""), but the entire scope table is drawn from knowledge-base operations. A reader arriving from the learning-theory tag would expect domain-neutral or multi-domain illustration. The KB examples are legitimate, but without framing (""In a knowledge base, for instance..."") or at least one non-KB example row, the table reads as a KB-specific taxonomy rather than a general learning claim illustrated through a KB."
title-as-claim-enables-traversal-as-reasoning.md,2,3,"Source residue, Proportion mismatch","The opening example uses a domain-specific claim title — ""approvals guard against LLM mistakes not active attacks"" — that belongs to a security/approval-system domain entirely unrelated to the note's topic (knowledge management, note titling). The example is presented in a blockquote without any framing that identifies it as an illustrative example from a different domain. A reader encountering this note for the first time may wonder what approvals and security boundaries have to do with note-taking conventions."
agentic-systems-interpret-underspecified-instructions.md,2,2,"Source residue, Proportion mismatch","The note claims broad generality (""A theoretical framing for LLM-based agentic systems"") but several examples are narrowly from software engineering without being framed as illustrative: ""Refactor for Readability"" (a coding assistant task), ""sanitize_filename()"" (a file-renaming agent), ""is '2024-03' a date or a version?"" These read as the natural examples of the author's domain rather than chosen illustrations. The ""Refactor for Readability"" section heading and walkthrough (extract helper functions, rename variables, restructure control flow, add comments) are all code-specific. A reader outside software engineering could miss that the framework applies to their domain."
automated-tests-for-text.md,2,2,"Confidence miscalibration, Proportion mismatch","""The same test pyramid applies"" — this asserts an established equivalence between software test pyramids and text testing, but the note's own final line acknowledges ""We haven't built any of this yet."" The test pyramid for text is a proposed analogy, not a validated structure. The opening sentence presents it as settled (""applies""), and the three-level breakdown (""deterministic checks at the base, LLM-based rubric grading in the middle, cross-document corpus checks at the top"") reads as an established architecture rather than a hypothesis. The hedge only arrives in the last paragraph, after the reader has already absorbed the framework as fact."
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,2,2,Confidence miscalibration,"The epiplexity paragraph asserts ""High-epiplexity regularities are genuinely structural — codifying them is safer because they reflect real patterns, not artefacts of the observer's computational budget."" This is the note's own application of the Finzi framework to codification decisions — a novel interpretive bridge — but it is stated as established fact. The source provides the epiplexity/entropy distinction; the claim that this maps onto safe-to-codify vs. unsafe-to-codify is the note's construction and should be flagged as proposed."
constraining-during-deployment-is-continuous-learning.md,2,2,"Confidence miscalibration, Orphan references","""covers most of what deployed systems need"" in the final paragraph is an unhedged empirical claim with no supporting evidence. The note is careful elsewhere to scope constraining as a subset (""this note is therefore a subset claim""), but this sentence reasserts dominance over the broader space without grounding."
constraining.md,2,2,"Confidence miscalibration, Proportion mismatch","The note presents its own taxonomy — the constraining spectrum, the orthogonality claim, the constrain/relax cycle as a ""learning cycle"" — with fully assertive language throughout. ""Constraining is a gradient, not a single operation."" ""Constraining and distillation are orthogonal."" ""The cycle isn't maintenance — it's how the system adapts."" These are the note's own theoretical constructions, not cited results. The Prior work section surveys related ideas but explicitly disclaims systematic grounding (""This survey is from the agent's training data, not systematic""). The core framework is proposed, but the prose reads as established."
distillation.md,2,2,"Confidence miscalibration, Proportion mismatch","""Distillation creates something new from something larger"" and ""Most KB learning is distillation"" (section ""The dominant mechanism in knowledge work"") are asserted as fact, but these are the note's own framework claims, not established results. The note introduces a specific decomposition (distillation vs constraining as co-equal, orthogonal mechanisms) that is original to this KB, yet the language throughout treats it as settled — ""one of two co-equal learning mechanisms,"" ""constraining and distillation are orthogonal,"" ""creation matters more than hardening."" No hedging signals that this is a proposed model rather than a consensus position."
document-types-should-be-verifiable.md,2,2,"Confidence miscalibration, Proportion mismatch","The section ""What went wrong with flat types"" asserts ""half the notes were 'design'"" as a factual claim about the KB's historical state. This is presented as established fact but reads as an approximation or recollection — no data is cited. If this is a rough estimate, language like ""a large fraction"" or ""many of the notes"" would better match the epistemic status."
link-contracts-framework.md,2,2,"Confidence miscalibration, Orphan references","The note presents its entire framework — the five ""click decision"" questions, the link intent taxonomy, the annotated link pattern, the five rules — with full assertion: ""Every link needs to earn a 'click decision',"" ""Five rules that work."" None of this is cited from a source. The taxonomy (Definition, How-to, Reference, Example, Rationale, Evidence, Tool, Related, Index/Hub) and the enforcement rules (""Every new term must link to a Definition once,"" ""Every instruction must link to a How-to"") are the note's own construction presented as established best practice. The subtitle ""source material"" and the line ""Received 2026-02-21"" suggest this came from an external source, but the source is never identified — so the reader cannot assess whether the confident framing is earned."
memory-management-policy-is-learnable-but-oracle-dependent.md,2,2,"Confidence miscalibration, Proportion mismatch","The note presents its own analytical frameworks as established fact rather than proposed interpretation. ""Memory management decomposes into selection and distillation"" (takeaway 1) is the note's own mapping of AgeMem operations onto KB vocabulary, but it is stated as a discovery (""What AgeMem teaches us""). Similarly, ""Composition policy is the hard part"" (takeaway 2) asserts a general principle from one system's results. The reach-gradient analysis (""None of this produces knowledge with reach"") and the classification of LTM Add as ""accumulation at the low-reach end"" are the note's own theoretical framing applied to AgeMem, not claims AgeMem itself makes."
spec-mining-as-codification.md,2,2,"Proportion mismatch, Confidence miscalibration","The core claim is that spec mining is codification's operational mechanism — the ""how"" of converting blurry-zone components into calculators. The section that most directly serves this claim is ""The pattern"" (4 steps, ~100 words). Meanwhile ""Why this matters for the bitter lesson boundary"" (~150 words) and ""Concrete workflow"" (~150 words including the extended Lopopolo paragraph) each get comparable or greater treatment, and the Lopopolo production example alone is nearly as long as the core pattern section. The load-bearing section (""The pattern"") is thinner than its downstream applications."
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,2,2,"Source residue, Confidence miscalibration","The note claims to identify an intermediate regime applicable to specification-level separation in general, but the entire argument is built through a single concrete system — OpenProse — whose specific artifacts leak into the framing as structural elements rather than illustrative examples. References like ""`.prose` files,"" ""`prose compile`,"" ""`prose.md`,"" ""`compiler.md`,"" ""`**...**` conditions,"" and ""agent memory files"" are OpenProse-specific implementation details presented as the substance of the argument rather than as one instance of a general pattern. The note does not frame these as ""for instance, in OpenProse..."" — it uses them as the primary evidence throughout. A reader unfamiliar with OpenProse gets a case study rather than the general intermediate-regime claim the title promises."
text-testing-framework.md,2,2,"Confidence miscalibration, Proportion mismatch","The note presents a detailed seven-section framework — contracts, test pyramid, metamorphic tests, corpus compatibility, production workflow, failure modes, minimal checklist — entirely with assertive framing (""Software tests work because there's a spec,"" ""Once you have contracts, you can test them,"" the numbered production workflow as a definitive pipeline). The title calls this ""source material"" and the opening says ""Full framework for automated testing of text artifacts, received 2026-02-21,"" but there is no attribution of who produced it or what evidence backs the specific decompositions. The framework reads as authoritative yet its provenance is opaque."
unified-calling-conventions-enable-bidirectional-refactoring.md,2,2,"Source residue, Proportion mismatch","The note claims to be about a general architectural principle — ""unified calling conventions enable bidirectional refactoring between neural and symbolic"" — but the body is tightly coupled to one implementation. Phrases like ""`.agent` files,"" ""YAML frontmatter (type signature) plus system prompt (implementation),"" ""Python functions with type annotations,"" and the `ticket_classifier` example are all llm-do specifics. The title promises an architectural insight; the body reads closer to an llm-do design document. The ""mechanism"" section especially has no separation between the general principle and the llm-do instance."
what-cludebot-teaches-us.md,2,2,"Confidence miscalibration, Proportion mismatch","The ""Worth adopting now"" section uses assertive framing for proposals that have not been tested. ""Active contradiction surfacing"" is presented with ""A KB that only surfaces agreement becomes quietly overconfident"" — this states a consequence as fact without evidence. Similarly, ""Consolidation passes"" asserts ""As the KB grows past 300-400 notes, this becomes important to prevent fragmentation"" — a specific threshold presented as established when it is a guess. These are the note's own proposals, not findings from cludebot, but the language does not flag them as proposed."
