note,review_type,level,note_warn_count,check_warn_count,check,finding
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,3,34,Confidence miscalibration,"""Context is the scarce resource in agent systems — not compute, memory, or storage"" and ""context is the lowest-degree-of-freedom resource in agent systems"" are presented as established facts, but this is the note's own framing, not a cited finding. The Anthropic source calls context ""a critical but finite resource,"" which is weaker than ""the only fundamental scarce resource."" The note escalates a practitioner heuristic to a universal claim without flagging the gap. The closing sentence — ""If context is the only fundamental scarce resource"" — at least uses a conditional, but the opening paragraph and description assert it unconditionally."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,3,19,Proportion mismatch,"The core claim is that context efficiency is the *central design concern* — meaning it should dominate architectural decisions. The ""Architectural responses"" section is where that claim earns its weight, but it is a bullet list with one-line descriptions. Meanwhile, ""Prior work"" and ""Volume and complexity"" get full paragraph treatment for what are essentially setup sections. The most architecturally substantive content (frontloading, progressive disclosure, sub-agent isolation, navigation design) is compressed into link-heavy bullets that delegate almost all substance to other notes. The result is that the note reads more as an index of architectural responses than as an argument for why context efficiency is central."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,3,2,Unbridged cross-domain evidence,"The ""Prior work"" section cites Simon (1971) on human attention, Miller (1956) and Cowan (2001) on human working memory, and Toffler (1970) on human information overload. The bridging sentence — ""What's specific to agent systems is the unitary channel, the hard token limit, and the interaction between volume and complexity"" — identifies differences but does not explain the shared mechanism that makes the human findings relevant. Why does human attention economics transfer to token-based context windows? The analogy is plausible but the note treats it as self-evident."
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose-review,WARN,2,34,Confidence miscalibration,"""LLMs pay interpretation overhead proportional to context complexity"" — the word ""proportional"" asserts a specific functional relationship (linear scaling) that the note does not establish or cite. The ConvexBench reference supports complexity-driven collapse, but collapse is not proportionality. The claim is stronger than the evidence offered for it."
agent-statelessness-makes-routing-architectural-not-learned.md,prose-review,WARN,2,34,Confidence miscalibration,"The degradation cliff is presented as a binary fact — ""The agent system has a cliff: KB-augmented → generic"" — but this is the note's own model, not an established result. The claim that agents have no intermediate degradation (no ""something feels off"" signal, no continuum) is plausible but asserted with the same confidence as the relatively uncontroversial statelessness claim. The human side is also simplified: ""expert → competent → novice → uncertain"" is the note's own taxonomy, presented with the grammar of established fact. Both the cliff model and the human continuum model are proposed frameworks that would benefit from hedged framing."
automated-tests-for-text.md,prose-review,WARN,2,34,Confidence miscalibration,"""The same test pyramid applies"" — this asserts an established equivalence between software test pyramids and text testing, but the note's own final line acknowledges ""We haven't built any of this yet."" The test pyramid for text is a proposed analogy, not a validated structure. The opening sentence presents it as settled (""applies""), and the three-level breakdown (""deterministic checks at the base, LLM-based rubric grading in the middle, cross-document corpus checks at the top"") reads as an established architecture rather than a hypothesis. The hedge only arrives in the last paragraph, after the reader has already absorbed the framework as fact."
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,prose-review,WARN,2,34,Confidence miscalibration,"The note asserts ""The convergence isn't coincidence"" as established fact, but the convergence is the note's own interpretive construction — the three threads could have converged on similar shapes for different reasons, or the mapping to Toulmin could be a post-hoc pattern match. The opening paragraph's ""KB conventions independently converged on Toulmin's argumentation model without naming it"" also presents interpretation as discovery. The Reasoning section is appropriately direct for an argued claim, but the framing of convergence-as-proof (rather than convergence-as-suggestive) overstates the epistemic basis."
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,prose-review,WARN,2,34,Confidence miscalibration,"The epiplexity paragraph asserts ""High-epiplexity regularities are genuinely structural — codifying them is safer because they reflect real patterns, not artefacts of the observer's computational budget."" This is the note's own application of the Finzi framework to codification decisions — a novel interpretive bridge — but it is stated as established fact. The source provides the epiplexity/entropy distinction; the claim that this maps onto safe-to-codify vs. unsafe-to-codify is the note's construction and should be flagged as proposed."
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,prose-review,WARN,2,34,Confidence miscalibration,"The induction bias paragraph ends with a strong claim: ""the step-by-step structure that codification encodes is the kind of regularity that persists under scaling."" The source supports this for calculator-class state tracking specifically, but the sentence generalises beyond that domain to ""the kind of regularity that codification encodes"" in general. The qualifier ""calculator-class"" appears earlier in the paragraph but the concluding sentence drops it."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,prose-review,WARN,2,34,Confidence miscalibration,"The description says the two mechanisms ""differ in the operation and how much compound they yield,"" asserting that constraining yields more compound than distillation as a general fact. The body's comparison table makes the same assertion: ""Compound yield: Highest at codification (substrate change)"" vs ""Moderate — speed and cost gains from reduced context."" But this comparison holds only when constraining reaches codification. Constraining short of codification (e.g., a naming convention) may yield less compound gain than a well-targeted distillation (e.g., a methodology distilled into a single-load skill that eliminates multiple context-loading rounds). The note presents the codification ceiling as the typical case and the distillation ceiling as the typical case, then compares them — which biases toward constraining."
