id	batch	pass	literal_use	explanation_cf	operation_cf	prerequisite	neither	class	confidence	justification
F001	1	A	no — addressability is an affordance explaining selective revision, not a synchronization step	yes — rejecting reflective addressability would reopen why retained claims can be selectively revised	no — no concrete interface or control path is specified	no — the target supplies the causal account rather than a separate prior condition	no	EX	high	Reflection explains why a retained self-description is an addressable object that synchronization can revise selectively.
F001	1	B	no — it explains selective revisability rather than performing synchronization	yes — rejecting addressability would reopen why a retained claim can be selectively revised	no — no synchronization interface is specified by the target	no — concealment and nonselective repair can occur without this account	no	EX	medium	The target gives the causal affordance behind selective repair of a retained self-description, not the trigger, dependency record, or repair operation itself.
F001	1	C	no — synchronization uses a trigger, dependency relation, and revision operation; addressability explains their selectivity	yes — rejecting addressability would remove the account of why a retained claim can be revised selectively	no — the target specifies no concrete synchronization interface or control path	no — addressability serves as the causal account here, not as a separate prerequisite	no	EX	high	The target explains the distinctive affordance that makes selective revision of a retained self-description possible.
F002	2	A	yes — contextual competence is the success criterion	yes — rejecting that criterion reopens the derivation of the memory-quality triad	no — no target interface or control path is consumed	no — it is a criterion, not an enabling resource	no	EX	high	The target supplies the general account of why remembered material is judged by future action capacity.
F002	2	B	yes — contextual competence is the success criterion	yes — rejecting action capacity as the criterion reopens the triad's rationale	no — no target interface is consumed	no	no	EX	high	The target supplies the general success criterion from which discoverability, composability, and trust are derived.
F002	2	C	yes — body adopts contextual competence as the success criterion	yes — rejecting action capacity as the objective reopens the triad's rationale	no — no target interface or control path is used	no — it functions as explanatory grounding	no	EX	high	The target's action-capacity principle explains why merely stored or retrieved memory is insufficient.
F003	3	A	yes — "Constraining narrows interpretation space"	yes — rejecting the reliability trade would reopen the ingress account	no — no target interface or control path is used	no — neither specific operation is required in every ingress case	no	EX	medium	The target explains how narrowing and use-shaped extraction can turn accumulated material into more reliable memory artifacts.
F003	3	B	unclear — the body says constraining narrows interpretation and adaptation reshapes diffuse material, but it does not call the second move extraction	yes — rejecting the reliability and use-shaping account would reopen why these ingress moves improve memory	no — the target defines no concrete interface or execution path used by the source	no	no	EX	medium	The target is a general account of how narrowing and focused reshaping trade generality for more usable artifacts.
F003	3	C	yes — the body names constraining and adaptation as ingress operations	yes — rejecting their reliability and use-shaping trade would reopen how ingress turns stored material into usable memory	no — no concrete target interface is coupled	no — it is an account of transformation, not an independently required input	no	EX	medium	The target explains how narrowing and use-shaped extraction make accumulated material more reliable and usable.
F004	4	A	yes — source depends on an inverse view computed from outbound edges	no — conditional-link rationale does not depend on the target's broader reader-needs account	yes — changing inversion or delivery changes backlink behavior and authoring fit	yes — inbound visibility must be derivable for one-way authoring to serve inbound needs	no — a concrete delivery path is present	OP	high	Inverting authored outbound edges is the concrete path that supplies inbound visibility without manually maintained backlinks.
F004	4	B	yes — computed edge inversion is invoked for workable one-way authoring	no — the relevant role is a delivery path rather than a causal theory	yes — changing inverse-view delivery changes authoring and reader behavior	no — it is the path itself, not a separate enabling state	no	OP	medium	Inverting authored outbound edges literally supplies inbound visibility, allowing reciprocal links to remain optional reader aids.
F004	4	C	yes — the footer explicitly invokes the computed inverse view	no — the reader-need thesis survives revision of the asymmetric-link account	yes — replacing derived inversion with manual reciprocity changes one-way authoring behavior	no — inversion is the operative path rather than an external condition	no — a direct operational relation is present	OP	high	Computing the inbound view literally supplies reverse navigation without obligating reciprocal authoring.
F005	1	A	yes — recurrence detection, verification, and promotion perform a proposal-selection loop	no — the general search, evaluation, and retention decomposition survives other promotion architectures	yes — changing the promotion gate or coverage update changes the loop's operational fit	no — this is an operating pathway, not an external precondition	no	OP	high	The two-layer system supplies a concrete promotion path whose trigger, reject-capable gate, and retained update instantiate the source loop.
