id	batch	digest	origin	source	current_line	target	prior_disposition	prior_line
F001	1	005af160f17b5e912f2ff14d40320b912ad7e79f3917d8a32bef20f4ec14245c	mechanism	notes/stale-self-description-conceals-its-own-staleness.md	70	notes/reflection-buys-addressability.md	OP	70
F002	2	0372e39098a17cc31ef306106ecc2e757f865ca10ab30c5faa351a76803810a2	grounds-deferred	notes/agent-memory-needs-discoverable-composable-trusted-knowledge-under.md	36	notes/claw-learning-loops-must-improve-action-capacity-not-just-retrieval.md	P	36
F003	3	046263e325fb7f8f2dc7fefcfd8bdc3f805db4bed9512cce0900ba4123443ca9	mechanism	notes/raw-accumulation-does-not-create-usable-memory.md	31	notes/constraining-and-extraction-both-trade-generality-for-reliability.md	EX	31
F004	4	04a214f6f688f0e712ca62d12ca1f6ae092a6cf5b121088077b6c6b7287295e5	mechanism	notes/links-encode-conditional-possibilities-not-obligations.md	107	notes/inbound-and-outbound-links-serve-asymmetric-reader-needs.md	OP	107
F005	1	094ce8984052d1b78572b7e7282092a144be72c7f4075c3993715e05248f30f6	mechanism	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	102	notes/theory-and-methodology-form-a-two-layer-execution-system.md	OP	102
F006	2	09dd3d7f059d6091677b10923e3dfacefaf7d838f94b227a5c30a75e896a37c1	mechanism	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	51	notes/false-positive-generation-is-filtered-before-retention.md	EX	51
F007	3	0cfc5d0a2be6fd1341d974be55f9ef7dc6bdb60eab9a0316b7e95bf8751fe00b	grounds-deferred	notes/runtime-structure-determines-governance-control-surfaces.md	56	notes/inspectable-artifact-not-supervision-defeats-the-blackbox-problem.md	EX	56
F008	4	0d4c88f659d1bce24c33f1e7fed5b01d5cb0b7eaea57157214965d40f1122ddb	mechanism	notes/the-framework-is-often-larger-than-the-durable-contribution.md	63	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	X	63
F009	1	16553453227c3ce819097c25de19c352a04eac2a88ede050d044ff7b2356b8e4	mechanism	notes/pointer-design-tradeoffs-in-progressive-disclosure.md	80	notes/theory-and-methodology-form-a-two-layer-execution-system.md	OP	80
F010	2	16f0ffa3bc197fa29cf411900f09a2d66c70c5150be0ec0eb47e5f0e005ba938	mechanism	notes/commitment-not-derivation-creates-new-ground-truth.md	92	notes/progressive-constraining-commits-only-after-patterns-stabilize.md	OP	92
F011	3	1b05a76342cfa67e8d61f63201c52acd116e67abfd473983904b5a6dbfff7d8c	mechanism	notes/design-for-the-first-time-human-except-on-access-cost.md	28	notes/agents-navigate-by-deciding-what-to-read-next.md	OP	28
F012	4	1b3dab5cd68c7d37ec824ea0e5db6de324289893b5d661785ab5cf29323e4f6b	grounds-deferred	notes/scenario-decomposition-drives-architecture.md	86	notes/skills-derive-from-methodology.md	OP	86
F013	1	1c0c439c0f682422621445d1d0a0facf97406ce9001509131d02408fad1afa77	mechanism	notes/verification-needs-a-typed-target-before-it-needs-an-oracle.md	58	notes/axes-of-artifact-analysis.md	OP	58
F014	2	1f2715df0be4937b5318989d5490e99ca1dfedcd8784bb794b26f6e4beeeb2f5	mechanism	notes/definitions/context-engineering.md	64	notes/llm-context-is-composed-without-scoping.md	OP	64
F015	3	21697dddb31cc4eaf4ff1d834240f3463fb24b30eeeeadb4ffa94e77ad93ac6a	mechanism	notes/the-framework-is-often-larger-than-the-durable-contribution.md	62	notes/system-definition-artifacts-are-crystallized-reasoning-under-context.md	OP	62
F016	4	241abb3e85114573afa848ed100cbeb9a07c5bd614f96c2d65b0f3c2a27b3a7b	grounds-deferred	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	56	notes/llm-context-is-composed-without-scoping.md	OP	56
F017	1	245153872247c12543d7ec4b1e38c449ab25f737543223a1cfff5b3528971059	grounds-deferred	notes/llm-executed-methodologies-are-metacircular-interpreters.md	38	notes/definitions/system-definition-artifact.md	EX	38
F018	2	2673342c1e6bd20d1be28437a3b577c583f138ffc380a1c75304b22905e7e491	grounds-deferred	notes/formal-systems-assess-explanatory-reach-through-causal-and-proof.md	47	notes/definitions/representational-form.md	EX	47
F019	3	26d3d85b4f8aad3dd3441f4d57313d2c97ee8ac3978adc21823813d5df587cd1	mechanism	notes/verifiable-subroles-before-reviewer-identity.md	58	notes/the-augmentation-automation-boundary-is-discrimination-not-accuracy.md	EN	58
F020	4	28b98b29506606377e9d92428bbfc8fa630957949d3573e5a8dfdfa7226b0776	mechanism	notes/the-practical-scheduler-is-the-host-language.md	66	notes/agent-is-a-tool-loop.md	OP	66
F021	1	2a831b4354d9f71f97c1566e2979c3c983dd276db80b2e07d40c9092bb13c5e0	grounds-deferred	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	70	notes/text-testing-framework.md	OP	70
F022	2	2ca2e06bf5a2b1f8c90e92b0daf6f92cb9e0e4ce2b98fa7a97e08c7ec13e1337	mechanism	notes/verifiable-subroles-before-reviewer-identity.md	60	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	OP	60
F023	3	322d1c74ca11e035a07b2d07d526bd0b98365a476a709f254273b7d286e42efd	grounds-deferred	notes/increasing-computational-autonomy-relocates-human-effort.md	59	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	EX	59
F024	4	34aadd0a9f4a8064e6db47387b3b66cfe232e22b672b06140453d4e30b49a9f0	mechanism	notes/frontloading-spares-execution-context.md	56	notes/frontloading-is-partial-evaluation-not-divide-and-conquer.md	EX	56
F025	1	352a7dde5536200c5705290c1dbdde9c2f71274b454dd9bf1abb372385983722	mechanism	notes/llm-context-is-composed-without-scoping.md	75	notes/agent-statelessness-means-the-context-engine-should-inject-context.md	OP	75
F026	2	363f2431ea57db012c92d19c8a6340db21665131a693b181597686322d03551d	grounds-deferred	notes/context-contamination-operates-below-an-agents-compliance-reasoning.md	57	notes/agent-orchestration-needs-coordination-guarantees-not-just.md	OP	57
F027	3	36e16813a24513c71aa0293cd03bcd253982cb1db2fa85c86c5586c7e443d7c6	mechanism	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	53	notes/deploy-time-learning-is-the-missing-middle.md	OP	53
F028	4	3840c4b9f570177b16204e800130a3e6c05e8c1e79f6f37b2e37867559979d34	mechanism	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	60	notes/deploy-time-learning-is-the-missing-middle.md	OP	60
F029	1	3d64d1b3848cf1c1f22c9d891af019854fba081b8bdc3edb7fde1c5337b29bc5	mechanism	notes/session-history-should-not-be-the-default-next-context.md	82	notes/theory-and-methodology-form-a-two-layer-execution-system.md	OP	82
F030	2	4308d91e1fad9b46d7082f90407faea66c097877bb4fcc6a7dafad3f0185ecbc	grounds-deferred	notes/ephemerality-is-safe-where-embedded-operational-knowledge-has-low.md	64	notes/codification-and-relaxing-navigate-the-bitter-lesson-boundary.md	EX	64
F031	3	477d5244b95ec57d54afedf588f6c3aba9fbee76f6b5293e9b5b9d292f7acfa7	mechanism	notes/design-for-the-first-time-human-except-on-access-cost.md	26	notes/feasibility-is-the-heaviest-forks-net-load.md	OP	26
F032	4	4acca711e502d53b8f9f99f025ecf608e3ca4e4c3d013ec7a2c2ba0b58ed3054	mechanism	notes/reflection-buys-addressability.md	68	notes/localized-retention-pays-where-change-is-sparse-in-a-matching.md	NEW	NEW
F033	1	4e3a898172dae0ff14822766610304da411f6714f94f53d2627d7f39744bc9c7	mechanism	notes/feasibility-is-the-heaviest-forks-net-load.md	38	notes/session-history-should-not-be-the-default-next-context.md	OP	38
F034	2	4ee83099d968503161e40672fcb607875df0772cf836eafbdcff799514aa6cff	mechanism	notes/bounded-context-orchestration-model.md	92	notes/llm-context-is-composed-without-scoping.md	OP	92
F035	3	5392b259685d6b40187fc16850234c493c3d14a8dcf342e86532f28eb5e633e2	grounds-deferred	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	58	notes/bounded-context-orchestration-model.md	OP	58
F036	4	58b9f3309620ba59ac6beef89b5a86f84427cb97f4c4de3c4b147cbc5e48aa3e	mechanism	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	69	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	EX	69
F037	1	5ab71c752c4ffbe69b426d3303ff1d28a25a5ce4e672e4de37b85bdec31365ce	mechanism	notes/structure-inference-needs-capture-at-the-decision-surface.md	37	notes/spec-mining-as-codification.md	OP	37
F038	2	5afd9c03c980aa6cd7f25699f7450588d8bba0d2fd7c55f79fe4d44b14187228	grounds-deferred	notes/ad-hoc-prompts-extend-the-system-without-schema-changes.md	64	notes/llm-context-is-composed-without-scoping.md	OP	64
