note,warn_count,info_count,clean_count
distillation.md,1,0,3
document-types-should-be-verifiable.md,0,2,2
agentic-systems-interpret-underspecified-instructions.md,0,1,3
automated-tests-for-text.md,0,1,3
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,0,1,3
codification.md,0,1,3
constraining.md,0,1,3
files-not-database.md,0,1,3
learning-is-not-only-about-generality.md,0,1,3
link-following-and-search-impose-different-metadata-requirements.md,0,1,3
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,0,0,4
agent-statelessness-makes-routing-architectural-not-learned.md,0,0,4
agents-md-should-be-organized-as-a-control-plane.md,0,0,4
agents-navigate-by-deciding-what-to-read-next.md,0,0,4
bitter-lesson-boundary.md,0,0,4
capability-placement-should-follow-autonomy-readiness.md,0,0,4
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,0,0,4
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,0,0,4
constraining-during-deployment-is-continuous-learning.md,0,0,4
context-efficiency-is-the-central-design-concern-in-agent-systems.md,0,0,4
continuous-learning-requires-durability-not-weight-updates.md,0,0,4
document-classification.md,0,0,4
ephemeral-computation-prevents-accumulation.md,0,0,4
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,0,0,4
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,0,0,4
instruction-specificity-should-match-loading-frequency.md,0,0,4
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,0,0,4
memory-management-policy-is-learnable-but-oracle-dependent.md,0,0,4
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,0,0,4
spec-mining-as-codification.md,0,0,4
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,0,0,4
stale-indexes-are-worse-than-no-indexes.md,0,0,4
substrate-class-backend-and-artifact-form-are-separate-axes-that-get-conflated.md,0,0,4
title-as-claim-enables-traversal-as-reasoning.md,0,0,4
unified-calling-conventions-enable-bidirectional-refactoring.md,0,0,4
