note,warn_count,info_count,top_warning_checks,sample_warning
decomposition-heuristics-for-bounded-context-scheduling.md,4,12,"Completeness, Grounding","The rules do not address the irreducibly-dense-interaction case — tasks where most items interact with most others and the relevant set cannot be sparsified. The note's trade-off list identifies ""preservation of cross-item interactions needed by later synthesis"" as an objective term, but none of the eight rules provides guidance for the case where this term dominates. The closest rule (""do not compress away needed interfaces"") tells you what not to lose, but not how to proceed when preserving everything exceeds M."
text-testing-framework.md,4,5,Completeness,"The six contract types in Section 1 omit an **accessibility contract** (readability level, alt text for images, plain-language requirements). The note frames contracts as text ""specs"" that parallel software specs, and accessibility is a standard dimension of text specifications in professional writing and publishing. Its absence means the enumeration, while useful, is incomplete as a reference framework for the space it claims to cover."
trace-derived-learning-techniques-in-related-systems.md,4,5,"Completeness, Grounding","The four-category Axis 1 taxonomy (single-session extension, cross-agent session aggregator, service-owned trace backend, trajectory-run pattern) is framed as the exhaustive decomposition of ingestion patterns across all seventeen systems. Boundary case: a system that **passively indexes existing artifacts** rather than mining traces — e.g. a tool that watches a repo for new markdown files and builds a retrieval index without extracting or transforming content. Such a system would have no extraction or promotion stage yet would still ""learn from traces"" in a loose sense (the artifacts are trace-derived upstream). The taxonomy's implicit scope boundary is ""systems that perform extraction,"" but this is not stated, and the introduction's framing (""all learn from traces"") could be read as covering passive indexers too. The note handles Autocontext's straddling explicitly (line 267), but the outer boundary of what counts as trace-derived learning remains implicit."
claw-learning-is-broader-than-retrieval.md,4,4,"Completeness, Grounding — scope mismatch, Grounding — domain coverage","The four action modes (classification, communication, planning, pattern recognition) are presented as the concrete instances of ""what a Claw actually does,"" but **execution/implementation** — actually carrying out multi-step tasks (writing code, editing files, running scripts) — is arguably the most common agentic action and does not map cleanly to any of the four. Classification is routing, communication is drafting, planning is decomposition, pattern recognition is matching — but none covers ""do the thing."" The note's own framing (""A Claw acts on behalf of the user"") implies execution as the central activity, yet the enumeration lists only cognitive pre-stages of execution. This omission is significant because execution capacity is also learnable (tool selection strategies, error recovery patterns) and would need its own knowledge types."
claw-learning-loops-must-improve-action-capacity-not-just-retrieval.md,4,4,"Completeness — action modes, Grounding — domain coverage, Grounding — scope mismatch on mutations","The five action modes (execution, classification, communication, planning, pattern recognition) are presented as ""at least these modes"" that benefit from accumulated context, acknowledging non-exhaustiveness. However, the note later treats them as the operative set when it says ""the full range of agentic actions: classifications made, communications drafted, plans executed"" — dropping pattern recognition and execution from the summary list. This partial recapitulation could lead readers to treat the later three-item list as the definitive set. More importantly, **monitoring/alerting** — observing ongoing state and raising signals when thresholds or conditions are met — is a common agentic action mode that does not cleanly reduce to any of the five. The KB could hold alert criteria, escalation policies, and baseline expectations. This is not pattern recognition (which surfaces precedent) but sustained observation against accumulated criteria."
deploy-time-learning-the-missing-middle.md,4,4,"Completeness — Three Timescales, Completeness — Two Mechanisms, Grounding — SECI Mapping","The note claims exactly three timescales of adaptation. Boundary case: **retrieval-augmented generation (RAG) with a continuously updated knowledge store**. A system with a vector database that is updated between sessions but not by the agent itself (e.g., by an ETL pipeline) adapts durably — the behavior changes across sessions — but not through ""symbolic artifacts"" in the sense the note intends (inspectable, diffable, testable). The note's substrate description for deploy-time learning (""symbolic artifacts ... durable, inspectable, and verifiable"") does not clearly cover opaque embedding stores or continuously updated retrieval corpora where the adaptation is durable but not fully inspectable or diffable. The linked note [learning-substrates-backends-and-artifact-forms](kb/notes/learning-substrates-backends-and-artifact-forms.md) acknowledges vector stores as a backend, but the three-timescale table in this note ties deploy-time learning specifically to properties (inspectable, verifiable) that vector-store-backed adaptation may not fully satisfy. This boundary case sits uncomfortably between ""training"" (opaque, durable) and the note's ""deploy-time learning"" (inspectable, durable)."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,4,4,"Completeness, Grounding","The failure mode mapping table claims four ML failure modes map to codification equivalents ""with mitigations that weight-based systems can't match."" But the table omits at least two standard ML failure modes Chollet could plausibly predict: (1) **distribution shift** (the agentic coding environment changes in ways the spec/test harness doesn't capture — analogous to deploying a model on out-of-distribution data), which is adjacent to concept drift but distinct (drift is gradual; distribution shift can be sudden), and (2) **reward hacking / specification gaming** (the agent satisfies the formal spec in unintended ways, a superset of Clever Hans shortcuts). The note collapses specification gaming into ""Clever Hans shortcuts"" but specification gaming is broader — it includes cases where the generated code is technically correct by the spec but achieves correctness via unintended means that diff review would not catch (e.g., caching test inputs). The claim ""every mitigation relies on the same property: the artifact is inspectable"" becomes weaker if some ML failure modes have codification equivalents where inspectability alone is insufficient."
legal-drafting-solves-the-same-problem-as-context-engineering.md,4,4,"completeness, grounding-alignment","The techniques table enumerates 6 legal techniques and flags 2 absent ones (boilerplate, provisos), but omits **legislative history / travaux preparatoires** -- the practice of using drafting records to resolve ambiguity. This has a direct context engineering analogue (commit history, design rationale in ADRs, methodology notes that explain why a convention exists). It is a distinct mechanism from any of the six listed: it narrows interpretation by appeal to authorial intent rather than by constraining the text itself. The note's own second paragraph mentions judges' ""access to external context (legislative history, prior rulings)"" as a difference between the interpreters, yet this same mechanism appears in the spec-writing toolbox and is absent from the techniques table."
reliability-dimensions-map-to-oracle-hardening-stages.md,4,4,"Completeness — Consistency oracle classification, Completeness — Safety as ""already a hard oracle by design"", Grounding — MAKER and consistency","The table says consistency ""converts interactive oracle to hard oracle via repetition."" In the oracle-strength spectrum note, an interactive oracle is defined as one where ""you can ask for feedback"" (user edits, thumbs up/down, preference pairs). Repetition of the same task and checking same-input/same-output is not asking for feedback — it is closer to manufacturing a hard oracle from a stochastic process. The ""interactive"" label for the starting oracle is a stretch; the starting point is better described as ""no oracle"" or ""soft oracle"" (you don't know whether a single run's output is correct without running it again). The mapping elides what the pre-hardening state actually is."
soft-bound-traditions-as-sources-for-context-engineering-strategies.md,4,4,"Completeness, Grounding","The note claims ""twelve such traditions"" in the opening paragraph, but the table lists exactly twelve rows. However, the transfer assessment section accounts for only 5 + 3 + 4 = 12 items — but these are *strategies*, not traditions. Several traditions are merged into single transfer items (e.g., ""Front-load important information (from journalism, technical writing)"" collapses two traditions into one strategy, while ""Atomic composable units (from Zettelkasten, modular design)"" collapses two more). Meanwhile ""Modular design (Parnas)"" appears twice — once as ""Decompose into independent contexts"" and once folded into ""Atomic composable units."" The result: some traditions appear in multiple transfer items, some share a single item, and journalism appears as a source (""from journalism, technical writing"") despite not being listed as one of the twelve traditions in the table. The mapping from traditions to transfer items is not one-to-one and the note does not acknowledge this."
