neutral_id	artifact	source	target	transformations
case-fa13dc1364da68	A	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-fa13dc1364da68	B	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-15b46d34f5e07e	A	notes/directory-placement-is-total-frontmatter-classification-is-partial.md	notes/why-notes-have-types.md	removed YAML frontmatter | removed 5 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-15b46d34f5e07e	B	notes/directory-placement-is-total-frontmatter-classification-is-partial.md	notes/why-notes-have-types.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-93f1ff2073f163	A	notes/readable-artifact-loop-is-the-tractable-unit-for-continual-learning.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-93f1ff2073f163	B	notes/readable-artifact-loop-is-the-tractable-unit-for-continual-learning.md	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	removed YAML frontmatter | removed 9 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1b6d3c4df444c1	A	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/kb-goals-in-always-loaded-context-guide-inclusion-decisions.md	removed YAML frontmatter | removed 14 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1b6d3c4df444c1	B	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/kb-goals-in-always-loaded-context-guide-inclusion-decisions.md	removed YAML frontmatter | removed 6 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1a80e03a9cb978	A	notes/prose-has-no-dereference-reinforce-facts-at-point-of-use.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 7 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
case-1a80e03a9cb978	B	notes/prose-has-no-dereference-reinforce-facts-at-point-of-use.md	notes/agentic-systems-interpret-underspecified-instructions.md	removed YAML frontmatter | removed 8 labelled footer lines | neutralized Markdown link destinations | retained argumentative prose, headings, and titles
