system_name,review_file,review_sha256,result_file,result_sha256,analysis_run,source_identity,reviewed_revision,analysis_cutoff,source_tier,boundary_kind,comparison_scope,one_line,storage_substrate,storage_substrate_assessment,storage_substrate_basis,storage_substrate_records,representational_form,representational_form_assessment,representational_form_basis,representational_form_records,lineage,lineage_assessment,lineage_basis,lineage_records,behavioral_authority,behavioral_authority_assessment,behavioral_authority_basis,behavioral_authority_records,write_agency,write_agency_assessment,write_agency_basis,write_agency_records,curation_operations,curation_operations_assessment,curation_operations_basis,curation_operations_records,read_back_direction,read_back_direction_assessment,read_back_direction_basis,read_back_direction_records,read_back_signal,read_back_signal_assessment,read_back_signal_basis,read_back_signal_records,trace_learning,trace_learning_assessment,trace_learning_basis,trace_learning_records,trace_source,trace_source_assessment,trace_source_basis,trace_source_records,learning_scope,learning_scope_assessment,learning_scope_basis,learning_scope_records,learning_timing,learning_timing_assessment,learning_timing_basis,learning_timing_records,distilled_form,distilled_form_assessment,distilled_form_basis,distilled_form_records,faithfulness_tested,faithfulness_tested_assessment,faithfulness_tested_basis,faithfulness_tested_records
AIDE2,kb/agentic-systems/reviews/aide2.md,9fc73159645dc0cdebbcd56c1b9eec79ee2a02d4e45c0da59eb6b2e2a6a2e4bf,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-aide2-01/result.md,fa6898ba490739f176c00f5f515ce05ac179963ea0049c7b27ef800f0fbf2a8f,AAS-2026-09-25-aide2-01,https://arxiv.org/abs/2609.26457,sha256:86d1b094380280450bf2281b1e38945a4f0c2528f2b88aebdf9ea8b9a1e8da8e,2026-09-25,doc-grounded,"complete artifact, partial loop","Paper-described retained candidate code, execution outputs, extracted scores and feedback, bounded history/error context, outer candidate code/grade history and accepted harness versions from AIDE0 through AIDE85, including outer-reviewer evaluation artifacts. Static seed instructions, provider/model internals, task/scorer implementations and opaque AIDEhuman internals are excluded. Transient summary persistence is unresolved.","AIDE2's nested harness-rewrite search, private grading and evolved context mechanisms, with documentary limits.",[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-9,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-9,[],not-determinable,,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-6;OBJ-9,"[""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,claimed,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-6;OBJ-7;RTE-1;RTE-3;RTE-4;RTE-6;RTE-7;RTE-2,"[""automatic""]",known,claimed,RTE-1;RTE-2;RTE-3;RTE-4;RTE-5;RTE-6,[],not-determinable,,OBJ-3;OBJ-4;OBJ-6;RTE-3;RTE-4;RTE-6,[],not-determinable,,RTE-1;RTE-3;RTE-4;RTE-2,[],not-determinable,,RTE-1;RTE-3;RTE-4;RTE-2,"[""yes""]",known,claimed,RTE-2;RTE-4;RTE-5;RTE-6;OBJ-1;OBJ-6;OBJ-7,[],not-determinable,,RTE-2;RTE-4;RTE-5;RTE-6;OBJ-9,"[""cross-task"",""per-task""]",known,claimed,RTE-1;RTE-2;RTE-3;RTE-4;RTE-5;RTE-6,"[""online"",""staged""]",known,claimed,RTE-2;RTE-3;RTE-4;RTE-5;RTE-6,[],not-determinable,,OBJ-2;OBJ-3;OBJ-4;OBJ-6;RTE-2;RTE-3;RTE-4;RTE-6,"[""no""]",known,claimed,CLM-1;CLM-2;CLM-3;ABS-1
Apache Maka,kb/agentic-systems/reviews/apache-maka.md,19512eb05ec7741249fed04ca0ec88707fd953293556d4aec6bba9e6bc537d08,kb/reports/retained/agentic-system-analysis/AAS-2026-09-05-apache-maka-06/result.md,f19ebc73bb527919051b211f43a6ae584d78e2de7aaa1abe195ed9f1ed0ff1a8,AAS-2026-09-05-apache-maka-06,https://github.com/apache/maka,02f97c16d76e644d5b565889701958293ff7b5fb,2026-09-05,code-grounded,whole-system,"Retained runtime traces and their model projections; text and provider-native continuation checkpoints; manual MEMORY.md/PENDING.md entries; automatically extracted SQLite memory items and their access metadata; acquired or edited local skills, preferences and turn inventories; archived tool results and delegated-session reads. Static shipped prompt text and uninstalled bundled skills are contextual evidence only. Operator-only recap output is a checked boundary exclusion. External provider internals and deployment outcomes are unavailable.","Apache Maka's hosted execution, durable continuation, separate memory acquisition and evaluation authority at a pinned source boundary","[""files"",""in-memory"",""sqlite""]",known,wired,OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-9;OBJ-10;OBJ-11,[],not-determinable,,OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-9;OBJ-10;OBJ-11,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-9;OBJ-10;OBJ-11,"[""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,wired,RTE-8;RTE-9;RTE-10;RTE-11;RTE-13;RTE-14;RTE-15,"[""automatic"",""manual""]",known,wired,RTE-9;RTE-10;RTE-11;RTE-12;RTE-13;RTE-15,[],not-determinable,,RTE-9;RTE-10;RTE-11;RTE-13;RTE-15,"[""pull"",""push""]",known,wired,RTE-8;RTE-9;RTE-10;RTE-11;RTE-14;RTE-15;RTE-16,"[""coarse"",""identifier""]",known,wired,RTE-8;RTE-9;RTE-10;RTE-11;RTE-14,"[""yes""]",known,wired,RTE-9;RTE-10;ABS-1,"[""event-streams"",""tool-traces""]",known,wired,RTE-9;RTE-10,[],not-determinable,,RTE-9;RTE-10,"[""online""]",known,wired,RTE-9;RTE-10,[],not-determinable,,OBJ-6;OBJ-7;RTE-9;RTE-10,[],not-determinable,,OBJ-6;OBJ-7;RTE-9;RTE-10
AREX-Skill,kb/agentic-systems/reviews/arex-skill.md,b5c954b78399f85823288518246a2cc9a1084ba7e9815e9f89361493cf82ad28,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-arex-skill-01/result.md,973dc7c3679aaadff574cb9b4cc9d40602a8a9c120190430fa48bf8fdd356d47,AAS-2026-09-25-arex-skill-01,https://github.com/VectorSpaceLab/AREX-Skill,ac3fe1afa80fb9a09775ecfb2b6cc3ba850a2db6,2026-09-25,code-grounded,subsystem-only,"Repository operating skills accumulated or revised through Creator construction, verification, refresh and extension; private construction handoffs/reports with later consumers; router/access metadata and managed deployment state; Researcher and documented exported-agent reads. Static imported library content establishes an admission alternative, not learning through use. Host conversation memory, paper construction and unrelated workflows are excluded.","AREX-Skill's repository-skill construction and deployment subsystem: model-directed verification, transactional admission, selective reads and evidence limits","[""files""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6,"[""natural-language"",""symbolic""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,RTE-1;RTE-2;RTE-4;RTE-9;RTE-10;RTE-11,"[""enforcement"",""instruction"",""knowledge"",""routing"",""validation""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;RTE-2;RTE-3;RTE-10,"[""automatic"",""manual""]",known,afforded,RTE-1;RTE-2;RTE-4;RTE-5;RTE-9;RTE-10,"[""decay"",""evolve"",""promote""]",known,afforded,RTE-4;RTE-2;RTE-9,"[""pull"",""push""]",known,afforded,RTE-3;RTE-5;RTE-9;RTE-10;RTE-11,"[""coarse""]",known,afforded,RTE-10;RTE-3,"[""yes""]",known,afforded,RTE-9;RTE-10,"[""tool-traces"",""trajectories""]",known,afforded,RTE-9;RTE-10,"[""cross-task"",""per-task""]",known,afforded,RTE-9;RTE-10,"[""staged""]",known,afforded,RTE-9;RTE-10,"[""natural-language"",""symbolic""]",known,afforded,RTE-9;RTE-10,[],not-determinable,,RTE-9;CLM-3
arsumbris,kb/agentic-systems/reviews/arsumbris.md,15c4b499c5a5f95798ebd610f9f82a1576d69ad7e4077d79ab6e859272222595,kb/reports/retained/agentic-system-analysis/AAS-2026-09-23-arsumbris-02/result.md,2745f83c243adeaeb224e17a2b8733be833977274156d8b855acebc8b4aed54a,AAS-2026-09-23-arsumbris-02,https://github.com/arsumbris/arsumbris,arsumbris-0.0.1-alpha-release-bundle-2026-09-23,2026-09-23,code-grounded,whole-system,"Accumulated or revised workspace graph content and schemas, derived access structures and launch artifacts, correction-derived guidance, and retained session continuity facts in the 22 pinned release repositories. Ordinary current-run read/served hashes and freshness notices are auxiliary context controls outside this normalized memory scope. Shipped unchanged instructions are delivery machinery, not accumulated memory. External harness/model storage and compaction internals are excluded.","arsumbris release-wide review: typed-file memory, adapter-specific governance and instructed knowledge/improvement workflows","[""files"",""graph"",""in-memory"",""repo""]",known,wired,OBJ-3;OBJ-5;OBJ-7,"[""natural-language"",""symbolic""]",known,afforded,OBJ-3;OBJ-5;OBJ-6;OBJ-7,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,RTE-6;RTE-7;RTE-8;RTE-9;RTE-12;RTE-13,"[""instruction"",""knowledge"",""routing"",""validation""]",known,afforded,RTE-6;RTE-7;RTE-8;RTE-9;RTE-13,"[""automatic"",""manual""]",known,afforded,RTE-6;RTE-7;RTE-8;RTE-9;RTE-10;RTE-12;RTE-13,[],not-determinable,,RTE-7;RTE-8;RTE-10,"[""pull"",""push""]",known,wired,RTE-6;RTE-9,"[""coarse"",""identifier""]",known,wired,RTE-9,"[""yes""]",known,afforded,RTE-8,[],not-determinable,,RTE-8,"[""cross-task"",""per-project""]",known,afforded,RTE-8,[],not-determinable,,RTE-8,"[""natural-language"",""symbolic""]",known,afforded,RTE-8,[],not-determinable,,
ContextPilot,kb/agentic-systems/reviews/contextpilot.md,f30b879fd314655a95879674d3b9c5744de8a5c1af837c5bc9fd8ab5bc7ddb32,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-contextpilot-01/result.md,8cc0c60126af6b160e9e9496e5b3de7323e61bd6623f178e40d7a35d480ee2c3,AAS-2026-09-25-contextpilot-01,https://github.com/Tencent/ContextPilot,782cbb6611fb610c4cf6fafda6022b7e89cae191,2026-09-25,code-grounded,whole-system,"Use-accumulated inference and training notes, plans, histories, context replacements, relation/access caches, branch replay state, imported wrong-answer retry records and repository-trained actor parameters/checkpoints. Covers default FSM and base alternatives, conditional embeddings/compression and callable nondefault memory methods. Excludes ordinary incoming corpus/search indexes, static prompts, external SDK internals and externally pretrained weights.",ContextPilot combines task-local memory and context editing with outcome-trained parameters; its control paths and recovery choices bound claims about autonomous context management.,"[""files"",""graph"",""in-memory"",""model-weights"",""vector""]",known,wired,OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-3;OBJ-4;RTE-3,"[""natural-language"",""parametric"",""symbolic""]",known,wired,OBJ-5;OBJ-6;OBJ-7;OBJ-8;OBJ-3;OBJ-4,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,RTE-5;RTE-6;RTE-7;RTE-8;RTE-2;RTE-3,"[""enforcement"",""instruction"",""knowledge"",""learning"",""ranking"",""routing""]",known,wired,RTE-5;RTE-6;RTE-7;RTE-8;RTE-2;RTE-3,"[""automatic""]",known,wired,RTE-5;RTE-6;RTE-7;RTE-8;RTE-2,"[""consolidate"",""decay"",""evolve""]",known,afforded,RTE-5;RTE-7;RTE-9,"[""pull"",""push""]",known,wired,RTE-5;RTE-6;RTE-7;RTE-8;RTE-10;RTE-2;RTE-3,[],not-determinable,,RTE-5;RTE-6;RTE-7;RTE-8;RTE-10;RTE-3,"[""yes""]",known,wired,RTE-5;RTE-7;RTE-8;RTE-2;RTE-3,"[""tool-traces"",""trajectories""]",known,wired,RTE-5;RTE-7;RTE-8;RTE-2;RTE-3,"[""cross-task"",""per-task""]",known,wired,RTE-5;RTE-7;RTE-8;RTE-2;RTE-3,"[""online"",""staged""]",known,wired,RTE-5;RTE-7;RTE-8;RTE-2;RTE-3,"[""natural-language"",""parametric"",""symbolic""]",known,wired,RTE-5;RTE-7;RTE-8;RTE-2;RTE-3,[],not-determinable,,CLM-4
DualGraph,kb/agentic-systems/reviews/dualgraph.md,8265827f6d562ecf726dac39e7a6d0918aa61b06cfe13fe0b80ef583027003e4,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-dualgraph-01/result.md,4f399f7c21431928fb2cf79da0fef75339874937f0d82bac219b5eb0f1cdb412,AAS-2026-09-25-dualgraph-01,https://github.com/microsoft/DKI_LLM,c090b7d57e3996c8900e86fecd16085b27e07f29,2026-09-25,code-grounded,subsystem-only,"Named DualGraph subsystem: accumulated within-report outline, evidence, knowledge graph, embeddings/clusters/chains, query/URL history, report prefix/products, optional Neo4j projection and human demo/live display read-back. Excludes static prompts as memory, other DKI_LLM subsystems, external provider internals and benchmark/generated-output execution evidence. Wired denotes inspected code connections, not successful operation; RTE-9 records default-path defects.","DualGraph research workflow: graph-guided search and per-report context reuse, with default-path defects and bounded factual warrant.","[""files"",""graph"",""in-memory""]",known,wired,OBJ-10;OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-6;OBJ-20;OBJ-21;OBJ-22;OBJ-23;RTE-8,"[""natural-language"",""symbolic""]",known,wired,OBJ-10;OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-6;OBJ-20;OBJ-21,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,OBJ-10;OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-6;OBJ-20;OBJ-21,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,wired,RTE-2;RTE-3;RTE-5;RTE-6;RTE-7,"[""automatic""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-5;RTE-7;RTE-8,"[""consolidate"",""decay"",""dedup"",""evolve"",""promote"",""synthesize""]",known,wired,RTE-2;RTE-4;RTE-5;RTE-7,"[""pull"",""push""]",known,wired,RTE-2;RTE-5;RTE-6;RTE-7;RTE-8,[],not-determinable,,RTE-2;RTE-5;RTE-7;RTE-8,"[""yes""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-5;RTE-7,"[""tool-traces"",""trajectories""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-5;RTE-7,"[""per-task""]",known,wired,RTE-1;RTE-2;RTE-3;RTE-4;RTE-5;RTE-7,"[""online""]",known,wired,RTE-2;RTE-3;RTE-4;RTE-5;RTE-7,"[""natural-language"",""symbolic""]",known,wired,OBJ-10;OBJ-11;OBJ-12;OBJ-13;OBJ-14;OBJ-15;OBJ-16;OBJ-17;OBJ-18;OBJ-19;OBJ-20;OBJ-21,"[""no""]",known,claimed,ABS-1
EAL-bench,kb/agentic-systems/reviews/eal-bench.md,3ba65f54478b650422fe32664e912b94a667f9a125bbc301ec3618db7dbd2fcc,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-eal-bench-01/result.md,8dc0d5ebb29c47255e7a063dc66397a6baf94128595aed5c08657a5c95f22efe,AAS-2026-09-25-eal-bench-01,https://github.com/tommasocerruti/eal-bench,51648690bc52d7a9c7ac080a2c67a784fe9d56cb,2026-09-25,code-grounded,subsystem-only,"Core EAL-bench one-shot and incremental free-text/typed authorization profiles, accepted-state continuation and repair, frozen executor replay, and packaged writer-memory retrieval through the reusable evaluation interface. Includes retained payloads, pre-executor file checkpoints and their operative identity/provenance structures. Static policy, oracle-exact and deliberately altered diagnostic controls are comparison inputs, not acquired memory; extension studies and provider/LangMem internals are excluded. Domain-independent mechanics are covered; detailed semantic and rationale conclusions are limited to procurement.","EAL-bench's frozen authorization-memory writer/executor workflow, checkpoint controls and limits of its causal-attribution protocol","[""files"",""in-memory""]",known,wired,OBJ-2;OBJ-7;OBJ-6;OBJ-8;RTE-7;RTE-9;RTE-11;RTE-3,"[""natural-language"",""symbolic""]",known,wired,OBJ-2;OBJ-7;OBJ-6;OBJ-8,"[""imported"",""other-compiled"",""trace-extracted""]",known,wired,RTE-7;RTE-9;RTE-10;RTE-11;RTE-3,"[""enforcement"",""knowledge"",""routing"",""validation""]",known,wired,OBJ-2;OBJ-6;RTE-7;RTE-8;RTE-9;RTE-11;RTE-3,"[""automatic""]",known,wired,RTE-7;RTE-9;RTE-10,"[""evolve""]",known,wired,RTE-7;RTE-10,"[""pull"",""push""]",known,afforded,RTE-7;RTE-8;RTE-9;RTE-10;RTE-11;RTE-3,[],not-determinable,,RTE-7;RTE-8;RTE-9;RTE-10;RTE-11;RTE-3,"[""yes""]",known,wired,RTE-7;RTE-10,"[""session-logs"",""tool-traces""]",known,wired,OBJ-1;OBJ-6;RTE-7;RTE-10,[],not-determinable,,OBJ-1;RTE-7;RTE-10,"[""staged""]",known,wired,RTE-7;RTE-8;RTE-10,"[""natural-language"",""symbolic""]",known,wired,OBJ-7;RTE-7;RTE-10,[],uninspected,,CLM-3
Ecdysis,kb/agentic-systems/reviews/ecdysis.md,ba6e339101903d11177c230eb25b284f075b798928ad15af6788576b1caaf952,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-ecdysis-01/result.md,fc2ef3c6a009d4d93c1da5b9aa61d3bf112f95bf50a9c88736d4e336f8979533,AAS-2026-09-25-ecdysis-01,https://github.com/cuiyu-ai/Ecdysis,cf93866d545b0974dbb0bc83b39c31fbbdeeecb8,2026-09-25,code-grounded,"complete artifact, partial loop","Whole method-level retained-memory boundary: extracted failure evidence, FDCR transcript/specification/checkpoint and continuation, accepted generic HarnessT through training and later inference, decision records, and skill-artifact authoring/storage utilities. Includes opaque harness payloads; excludes internals of external adapters, providers, and task environments. Skill storage has no established task-consumer route.","Ecdysis failure diagnosis, strict-score harness selection, checkpoint reuse, and the external adapter contracts that bound them.",[],not-determinable,,OBJ-1;OBJ-3;OBJ-4;OBJ-6;OBJ-7,[],not-determinable,,OBJ-1;OBJ-3;OBJ-4;OBJ-6;OBJ-7,[],not-determinable,,OBJ-1;OBJ-3;OBJ-4;OBJ-6;RTE-1;RTE-9,[],not-determinable,,OBJ-3;OBJ-4;RTE-1;RTE-2;RTE-3;RTE-9,"[""automatic"",""manual""]",known,afforded,OBJ-6;RTE-1;RTE-2;RTE-4;RTE-9,[],not-determinable,,OBJ-4;OBJ-6;RTE-1;RTE-2;RTE-4,"[""push""]",known,wired,RTE-2;RTE-3;RTE-9,"[""coarse""]",known,wired,RTE-2;RTE-3;RTE-9,"[""yes""]",known,wired,RTE-1;RTE-2;RTE-9,"[""trajectories""]",known,wired,OBJ-1;RTE-1;RTE-2;RTE-9,"[""cross-task"",""per-task""]",known,afforded,RTE-1;RTE-2;RTE-3;RTE-9,"[""staged""]",known,wired,RTE-1;RTE-2;RTE-3;RTE-9,[],not-determinable,,OBJ-3;OBJ-4;OBJ-7;RTE-9,"[""no""]",known,wired,CLM-3;ABS-1
Enoch,kb/agentic-systems/reviews/enoch.md,4a832f0a47c050826e2f72f67c697af4276183cac6ecf5a2046179205ac2b1a5,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-enoch-01/result.md,00798b76561a0249d41b723e62d503d7d5464c8c92bf17b8dc6cd36d08807df3,AAS-2026-09-25-enoch-01,https://github.com/our-ark/enoch,81000d502e776a7fd2ff39904f71f14084c9b4a8,2026-09-25,code-grounded,whole-system,"Core-owned use-modified private memory/identity, journals, retained task and recurring-job briefs, evidence/candidates/curation, imported lineage assessments, learning receipts and governed body/skill revision artifacts at the frozen pin; includes core session-reference interfaces and process-local delivery metadata. Provider-owned opaque session payloads, model weights, installed dependency revisions and actual deployments are outside comparison assurance and remain explicit continuity uncertainties.","Enoch's persistent personal-agent core: task recovery, conditional memory read-back, rationale-bearing evolution, and bounded code-adoption gates","[""files"",""in-memory"",""repo""]",known,wired,OBJ-7;OBJ-8;OBJ-9;OBJ-10;OBJ-11;OBJ-12;OBJ-13;OBJ-3;OBJ-14,"[""natural-language"",""symbolic""]",known,wired,OBJ-7;OBJ-9;OBJ-10;OBJ-12;OBJ-3;OBJ-14,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,RTE-9;RTE-11;RTE-12;RTE-13;RTE-14;OBJ-8,[],not-determinable,,RTE-9;RTE-11;RTE-12;RTE-13;RTE-14;OBJ-3;OBJ-14,"[""automatic"",""manual""]",known,afforded,RTE-9;RTE-11;RTE-12;RTE-13;OBJ-8,"[""consolidate"",""decay"",""dedup"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,afforded,RTE-9;RTE-11;RTE-12;RTE-13,"[""pull"",""push""]",known,wired,RTE-9;RTE-10;RTE-11;RTE-12;RTE-13;RTE-14,"[""coarse"",""identifier"",""inferred-judgment"",""inferred-lexical""]",known,wired,RTE-9;RTE-10;RTE-11;RTE-12;RTE-13;RTE-14,"[""yes""]",known,wired,RTE-9;RTE-11;RTE-13;RTE-14,"[""event-streams"",""session-logs"",""tool-traces""]",known,wired,RTE-9;RTE-11;RTE-13;RTE-14,"[""cross-task"",""per-task""]",known,wired,RTE-9;RTE-11;RTE-13;RTE-14,"[""online"",""staged""]",known,wired,RTE-9;RTE-11;RTE-13;RTE-14,"[""natural-language"",""symbolic""]",known,wired,RTE-9;RTE-11;RTE-13;RTE-14;OBJ-3;OBJ-14,[],not-determinable,,CLM-3
EvoOntology,kb/agentic-systems/reviews/evoontology.md,4c08ec36d5e97f4c135b50967d02fe711a70f017676106a7d64247a404b174da,kb/reports/retained/agentic-system-analysis/AAS-2026-09-25-evoontology-01/result.md,aa9766294d0d76b819168cc4d430077f219929da7689d5b5effeedb374ce105d,AAS-2026-09-25-evoontology-01,https://github.com/ruc-datalab/EvoOntology,ddbb1c991de5a33e27eb32bc86a4212a7537e01e,2026-09-25,code-grounded,"complete artifact, partial loop","Accumulated or revised project ontology content, workload questions, observable trajectories, project/run/checkpoint/evaluation records, derived causal knowledge, and host-mediated Schema/Tool revisions; their shipped file/in-memory representations, retrieval and reminder routes. Static unrevised plugin instructions are method, not learned memory. External host/provider internals, benchmark task-agent runtimes and experimental reproduction are excluded.","EvoOntology's semantic memory and host-led evolution, with supplied-score admission, direct mutation alternatives and content-only version recovery","[""files"",""in-memory""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7;RTE-8,"[""natural-language"",""symbolic""]",known,afforded,OBJ-1;OBJ-2;OBJ-3;OBJ-4;OBJ-5;OBJ-6;OBJ-7;RTE-8,"[""authored"",""imported"",""other-compiled"",""trace-extracted""]",known,afforded,RTE-1;RTE-3;RTE-4;RTE-8;RTE-9,"[""enforcement"",""instruction"",""knowledge"",""ranking"",""routing"",""validation""]",known,afforded,RTE-2;RTE-3;RTE-4;RTE-5;RTE-8,"[""automatic"",""manual""]",known,afforded,RTE-1;RTE-3;RTE-4;RTE-7;RTE-8;RTE-9,"[""dedup"",""evolve"",""invalidate"",""promote"",""synthesize""]",known,afforded,RTE-1;RTE-2;RTE-4;RTE-5;RTE-7;RTE-8,"[""pull"",""push""]",known,afforded,RTE-2;RTE-3;RTE-4,"[""coarse""]",known,wired,RTE-3,"[""yes""]",known,afforded,RTE-4;RTE-8;OBJ-7,"[""tool-traces"",""trajectories""]",known,afforded,OBJ-4;RTE-3;RTE-4;RTE-9,"[""cross-task"",""per-project""]",known,afforded,RTE-4;RTE-8;OBJ-7,"[""offline"",""staged""]",known,afforded,RTE-4;RTE-5;RTE-8,"[""natural-language"",""symbolic""]",known,afforded,OBJ-1;OBJ-7;RTE-4;RTE-8,[],not-determinable,,RTE-5;OBJ-6
