id	tuple_digest	line_digest	current_label	source_collection	destination_collection	source	current_line	target	bucket	disposition	action	decision_basis	authorization_status
L001	b3530962539a5e4f34b1fdc1e2f1b89837d80f0f691a11744a228d9c55a5876d	619096c17895708dc905f5946dd38442d7f915bf68178a35385bcd35d1ba1bf4	mechanism	notes	notes	notes/a-consumption-channel-delivers-force-without-the-history-that.md	57	notes/llm-context-is-a-homoiconic-medium.md	active-mutable	explained-by	relabel	mechanism-core:F091	candidate-new
L002	ca2a46a903efd715bb1d5d5b88dfa64933d84279a1f004c4f6bd9328d3f3ad0c	beb9719c0164bba63d68fd704d4f0337acb3ca518763a7a7f44abda50e871b96	grounds	notes	notes	notes/a-consumption-channel-delivers-force-without-the-history-that.md	59	notes/the-four-field-record-exposes-an-efficiency-security-and-sovereignty.md	active-mutable	extends	relabel	mechanism-boundary:F102	authorized
L003	b8cd32c387d70fb9aa30729d1e1e33b3b58270b0a1c7182aa865900f5acc9235	fc1215073e796b3a09b3fa25fd3988652cb7ed651cec74799cd4353733835df3	grounds	notes	notes	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	63	notes/stale-indexes-are-worse-than-no-indexes.md	active-mutable	explained-by	relabel	mechanism-core:F099	candidate-new
L004	5fca95e5046a10cba8edba07bb04538aa1f9eebc97000d4b232e98a2c7b6e752	1e485e1eb3743a0ed271284896c788c7aaf1d192a6feaec51ca25a5de8ef7f85	grounds	notes	notes	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	64	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	active-mutable	exemplifies	relabel	mechanism-boundary:F092	authorized
L005	c420c505bc798ef1009b0f5d32cee7d25c8a09a15ba296ac26f8e5379b9b77fd	264eba5d4a2fe532662e231ff3dc7fa5455eac7f8de8c0e73487465c301787fa	grounds	notes	notes	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	70	notes/text-testing-framework.md	active-mutable	explained-by	relabel	mechanism-core:F021	candidate-new
L006	bb79c38f3ad353c54ddd31330f76c7606a69d25f71b8c54b6cba9ce075079e20	ac9d89316633aa22812fc40342b4a185aab4e319fe5e13a69cd2686a8c1e1061	grounds	notes	notes	notes/a-derived-copy-of-recomputable-truth-must-be-checked-or-absent.md	72	notes/llm-recompute-cost-inverts-the-store-vs-recompute-default.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L007	0e4827f1383219eb0b5b319efd63bf566acdbec301c818bc7168c8039e720dce	159ab563eb7a91801d27663972ff46bdb26cbf9c9ddbafa1fa9add03ce436000	grounds	notes	notes	notes/a-goal-holding-interpreter-fails-soft-workarounds-tax-a-bounded-budget.md	44	notes/agentic-systems-interpret-underspecified-instructions.md	active-mutable	explained-by	relabel	grounds-drift:G008	candidate-new
L008	7564d4475721563001d21f1bc46ea457e19e6f35b9c15a1399a77990b97a41a5	85fd3d8ecbb1fec0b14f512da6c68578583958030e90658706944b2430c47ec5	grounds	notes	notes	notes/a-goal-holding-interpreter-fails-soft-workarounds-tax-a-bounded-budget.md	46	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	active-mutable	explained-by	relabel	grounds-drift:G006	candidate-new
L009	7c9f708fecb47818d6e7e720d86f8022ce279160c52a827bdcf31036964ecefe	f3f85b94895782cbc7a956ddf6e5916fb74bff11adc16f09b23ce79ba55813e6	grounds	notes	notes	notes/a-knowledge-base-should-support-fluid-resolution-switching.md	47	notes/link-following-and-search-impose-different-metadata-requirements.md	active-mutable	extends	relabel	grounds-boundary	authorized
L010	3d90535febfc2632492f8ff4b5a876cb59b4bacf9d6a89d3cf7499cf39402d7a	7eb8d05803ebf73503a7975f731ea6caf239205c651d60ca6cad944f7c5392ca	grounds	notes	notes	notes/a-knowledge-base-should-support-fluid-resolution-switching.md	51	notes/conjecture-is-seeing-the-particular-as-an-instance-of-the-general.md	active-mutable	extends	relabel	grounds-boundary	authorized
L011	bccfd61242cb8d1f369cca6f99c46aeb548b00e1798006f9932bb4c6b4baa9f2	031bec088ed702d6c1d5519b619ceb23f825e11d00b0e70b691516f9cde869ed	grounds	notes	notes	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	66	notes/definitions/actionable-methodology.md	active-mutable	defined-in	relabel	grounds-boundary	authorized
L012	b18363285b3813b2fda3ba4e8b3f24a41c2f0bced7b9fa302a7530ea05dee35f	29ef0e6dd411e528e8018c181aade1cd2ffa46594b2baaf1345264b32f7c2575	mechanism	notes	notes	notes/a-methodology-governs-its-own-extension-only-as-far-as-it-settles.md	70	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	active-mutable	explained-by	relabel	mechanism-core:F069	candidate-new
L013	5290340a967e838e989aa6f235b305847f4b6251b988055728ebe36d7e732520	ae2f96af64187841c4444f37a936023dd49dfa49633affba08aeb65c4c80bc7e	grounds	notes	notes	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	92	notes/definitions/actionable-methodology.md	active-mutable	defined-in	relabel	grounds-boundary	authorized
L014	3672d62499f48e3657889e492e71b83a79a8a5a49539181b5ff13727d4cf17f5	feb1df2e2bca19dc38bcc0755cef5317b0e9784a24710324b4e9c4e081a63fcc	grounds	notes	notes	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	97	notes/definitions/self-improving-system.md	active-mutable	exemplifies	relabel	grounds-boundary	authorized
L015	66d2731bf5cc936050bd526cc25f0b76b8741b66d4e5bcdcec044bd450e841c5	67ce73fc22f6c0f7aa1fe920b74773d4a02d36187bcd2a509e5bfcd5087bcc4a	grounds	notes	notes	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	100	notes/definitions/behavioral-authority.md	active-mutable	defined-in	relabel	grounds-boundary	authorized
L016	06df959b7ef1d2099cac29d6d332eae58947e12a2103a683c6704f423edb0a6b	43e1ec8548629f329db0081f1346381cbe424ac2124cf4ee99598309371209fd	mechanism	notes	notes	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	102	notes/theory-and-methodology-form-a-two-layer-execution-system.md	active-mutable	operates-through	relabel	mechanism-core:F005	candidate-new
L017	2b1745355fecac8b0ce7790ec115b4cb92d35e26a1faff35d65628a082b573fe	1526a14eafa157194595b5f192cdea3a5c379139e9355b4cde3200cd5b68bdfc	grounds	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	67	notes/self-improvement-is-relative-to-a-declared-objective.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L018	6cb7e78db711f2509ca6ccadf87146f2fa9b7a367c87054d4ba50f09bd370ee1	512935841e95621c5ff0f02952ab3271606dc84faf1bc1b13a65555c700b9e37	grounds	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	68	notes/exact-implementation-does-not-validate-a-requirement.md	active-mutable	extends	relabel	grounds-drift:G011	authorized
L019	e59803897d93371f85fed9f6e3c6849ad174a3f1a389e0f38a8a2e1a0f7fb7cd	688dd6f9ab3283bcf4b04150a24ecfa62e5e1291b41b703162879acdaf5ff79d	mechanism	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	69	notes/weakly-discriminated-qualities-tend-to-be-underselected.md	active-mutable	explained-by	relabel	mechanism-core:F036	candidate-new
L020	b6b2c537103dd90f82f5ce168491c730e74437c30eaa1937260429019a190e90	cd51646471359504030540b3fb7f2233cceedee4037886e2b4ca166ccc865c6a	grounds	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	71	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L021	b656507f39cd5037efe4c117182f74a26eb3d36f6725a4d27cce7952a5a5e732	00fe97e39c93d9af00948996fd2e57b5e3ae01a57561653081ea206f213271e8	grounds	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	73	notes/reflection-buys-addressability.md	active-mutable	evidenced-by	relabel	grounds-boundary	authorized
L022	d07ba4dcd089bc924a7dc47f46793c995081b5230f445898d43a303c839df56c	b7536df6058f98d4625f95fd3f4c72e8897765a849de000f9d5564467a8ebf9d	grounds	notes	notes	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	76	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L023	ff1666974080d1cc0250567ea5e396f6c7d288314f2d71da575acbc373bced31	8defeb1ac9b63e22ff98577510b342c7ce689cd6817b51511f9778e0e66bd9e2	grounds	notes	notes	notes/a-universal-knowledge-framework-demotes-content-taxonomies-to-defaults.md	58	notes/context-efficiency-is-the-central-design-concern-in-agent-systems.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L024	a510de678d966a0510d62dc268a1b5a65b81d44ea9f4218031fd7c6eda668340	e8518698a84ebf4f4e15d618b8b3b254f69d220b61fd4a8a05a9d41a72b99e02	grounds	notes	notes	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	56	notes/first-principles-reasoning-selects-for-explanatory-reach-over.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L025	4102409f6256ab85ec8ecbdacf519b0e007620ae0ca090965109262437804d88	fd900651ccf16418db6d058c6481d8129e5b026a63f110def8c4c70d0bb4d88f	grounds	notes	notes	notes/abstract-an-experience-only-when-you-can-state-the-boundary.md	61	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md	active-mutable	explained-by	relabel	mechanism-boundary:F063	candidate-new
L026	21c5135481448d0c936fd82466805178dab34d41b0f4203bbf83df5c836a534f	96f5c40280316e80c5d93a1ba122f5343243a7b7c14e7b74849c6d8b05208c06	grounds	notes	notes	notes/access-burden-and-transformation-burden-are-independent-query.md	52	notes/bounded-context-orchestration-model.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L027	4616b0fd9b1bb1d68a4e91c0d0c984224c582b55b2e7292f5a1a5080b7628f16	87ef98e7603936b5833f9fe456882bc07c1353c8574ab805bdf4b4e49a89772a	grounds	notes	notes	notes/access-burden-and-transformation-burden-are-independent-query.md	53	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L028	b0691a7cd523bc3397bc628921e2572a49de17f552b0492037293708359d0cdc	a7d6237ff2060bb12c996450b93e9fd6b56725cac902346ea21310cf81c2f4d6	grounds	notes	notes	notes/accumulation-counts-dependence-through-the-retained-result.md	56	notes/self-improvement-is-relative-to-a-declared-objective.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L029	64e3243ed7bc3ad09625c071e58048e0c03e79704d5b49c22c419122bd35c55d	cb631ac1a53af191e12c3830ed08311904ee7e4f1656faaac819f76686b0fec8	grounds	notes	notes	notes/ad-hoc-prompts-extend-the-system-without-schema-changes.md	62	notes/wikiwiki-principle-lowest-friction-capture-then-progressive-refinement.md	active-mutable	exemplifies	relabel	grounds-boundary	authorized
L030	ed2813fd3a89dacb63894abbb007600fdeeaa6cb6ca2277e7d1038abee83c54a	2a94386b8eb496c82bb11068d56fa819ca072c15ad883932d2bd29133ca54d26	grounds	notes	notes	notes/ad-hoc-prompts-extend-the-system-without-schema-changes.md	64	notes/llm-context-is-composed-without-scoping.md	active-mutable	operates-through	relabel	mechanism-core:F038	candidate-new
L031	dd4d8debdee47f5afc09d2951eb2581a33bcf39391a4d5d570ef2007f9ada50a	a5cf79dc3d45c6e3b5fe670b58063582305d8bac5c99f9170ba9a9a2f7812be0	grounds	notes	notes	notes/adversarial-loop-can-reconstruct-the-writing-is-thinking-filter.md	28	notes/llm-generation-relaxes-goals-where-human-writing-stalls.md	active-mutable	explained-by	relabel	mechanism-core:F058	candidate-new
L032	1ef44a657d9255543b86da746b35f220ff8b7292ec672c3c8750dc20cab1e84a	20e839c48eb3249d6ff3b67ab222cc6c32f18a9a75fa199953d2745b7d765eda	grounds	notes	notes	notes/adversarial-loop-can-reconstruct-the-writing-is-thinking-filter.md	29	notes/error-correction-works-above-chance-oracles-with-decorrelated-checks.md	active-mutable	premised-on	relabel	grounds-baseline:P	candidate-new
L033	be500da698ca1d314f38c44c01383db1afa01e89dbf5aeac0c055200debb9fd7	6b3674a5e8fb5d456e7b670703bff361f393904d9a939fa83f60ad97a2316c29	grounds	notes	notes	notes/adversarial-loop-can-reconstruct-the-writing-is-thinking-filter.md	30	notes/the-boundary-of-automation-is-the-boundary-of-verification.md	active-mutable	explained-by	relabel	mechanism-core:F110	candidate-new
L034	f41ee0a3f64f3241f3edfddb9671dc260b484ed470c28b7e1798bf860e6f17d3	a08160659e70031dcc787c66d84a89ed4af588dfdc7bfe0fbec50a9a2d1d7270	mechanism	notes	notes	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md	62	notes/indirection-is-costly-in-llm-instructions.md	active-mutable	explained-by	relabel	mechanism-core:F123	candidate-new
