check,warn_count,info_count,clean_count,sample_note,sample_finding
Completeness,59,61,9,agent-statelessness-makes-routing-architectural-not-learned.md,"The five-level loading hierarchy (CLAUDE.md -> skill descriptions -> skill bodies -> type templates -> methodology notes) omits conversation history / chat context as a loading layer. In practice, the agent's context includes prior turns, tool outputs, and user-provided instructions within the session. These are not routed through the hierarchy but occupy context and influence behavior. The hierarchy claims to be ""our concrete progressive disclosure system"" but describes only pre-authored layers, not runtime-accumulated context. This is a boundary case that sits between the enumerated items."
Confidence miscalibration,34,6,1,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"""LLMs pay interpretation overhead proportional to context complexity"" — the word ""proportional"" asserts a specific functional relationship (linear scaling) that the note does not establish or cite. The ConvexBench reference supports complexity-driven collapse, but collapse is not proportionality. The claim is stronger than the evidence offered for it."
Proportion mismatch,19,16,5,agent-statelessness-makes-routing-architectural-not-learned.md,"The core claim is in the title: routing is architectural, not learned. The section that carries the most weight for this claim is the opening (untitled) section plus ""Progressive disclosure replaces navigation intuition"" — together roughly 250 words. ""The degradation cliff"" and ""Source vs. compiled"" each get comparable or greater development (~200 and ~200 words respectively), but they are consequences of the core claim rather than the claim itself. The ""Source vs. compiled"" section in particular develops a source-code/compiled-artifact metaphor at length that, while valuable, is arguably a separate note's worth of content (the compilation pattern, quality criteria for source vs. compiled, the relationship to instruction specificity). The core insight — that the agent never develops navigation intuition — is established quickly and then the note moves on to downstream implications that receive more development than the motivating argument."
Grounding,16,16,61,agent-statelessness-makes-routing-architectural-not-learned.md,"The note claims ""The [methodology enforcement] gradient describes practices hardening from instruction -> skill -> hook -> script. The *practices* mature. The *agent* stays exactly as raw as it was on day one. This asymmetry is the core of the note: the system learns, the agent doesn't."" The methodology-enforcement note actually describes a constraining gradient for enforcement reliability, not a learning process of the system. The source note explicitly frames it as ""constraining"" — reducing semantic underspecification and execution indeterminism. Calling this ""the system learns"" is a vocabulary mismatch: the source never uses ""learns"" or ""learning"" in this sense. The inference (constraining = a form of system learning) is plausible but is the note's own move, not something grounded in the source."
Source residue,8,19,21,agentic-systems-interpret-underspecified-instructions.md,"The note claims broad generality (""A theoretical framing for LLM-based agentic systems"") but several examples are narrowly from software engineering without being framed as illustrative: ""Refactor for Readability"" (a coding assistant task), ""sanitize_filename()"" (a file-renaming agent), ""is '2024-03' a date or a version?"" These read as the natural examples of the author's domain rather than chosen illustrations. The ""Refactor for Readability"" section heading and walkthrough (extract helper functions, rename variables, restructure control flow, add comments) are all code-specific. A reader outside software engineering could miss that the framework applies to their domain."
Grounding alignment,4,9,19,agentic-systems-interpret-underspecified-instructions.md,"Ma et al. cited as ""strongest empirical evidence for the two-phenomena separation"" but the paper does not frame itself in terms of separating underspecification from indeterminism. Ma et al. study *prompt stability* — whether semantically equivalent but differently phrased prompts produce different outputs. The note maps this onto its own framework (""isolating underspecification (which interpretation?) from indeterminism (which run?)""), but the paper's actual finding is that emotion/personality variations cause performance changes, which could equally be read as interpreter failure (the sibling note interpretation-errors-are-failures-of-the-interpreter.md already cites the same paper as evidence for *interpretation errors*, not underspecification). The note's two-phenomena framing treats prompt sensitivity as evidence for underspecification, but a competing reading is that the spec is fully specified (same functional requirements) and the LLM is simply responding incorrectly to irrelevant stylistic cues — a failure of the interpreter, not ambiguity in the spec. The paper itself does not adjudicate between these readings."
completeness,4,7,0,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"The note claims the soft bound operates across exactly ""two dimensions"" — volume and complexity — framing this as a complete decomposition. But a boundary case exists that fits neither cleanly: **information arrangement** (position effects). The ""lost in the middle"" finding is cited under volume, but position effects are not about how many tokens there are — they occur at fixed token counts by rearranging content. The note's own Benchmarker subsection acknowledges ""information arrangement"" as a factor that shifts the soft bound, but the two-dimensions framework has no slot for it. Position effects could be forced into ""complexity"" (arrangement changes how hard the tokens are to use), but the note defines complexity as ""compositional depth"" and ""interpretation overhead,"" not spatial layout. This is a gap in the enumeration: a factor the note itself names as relevant but that the framework doesn't cleanly accommodate."
grounding,3,3,7,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"The note claims ""ConvexBench shows complexity-driven collapse at low token counts — compositional depth, not volume, was the bottleneck."" The source (Liu et al., 2026) studies whether LLMs can recognize convexity in deeply composed symbolic functions — a formal mathematical verification task with mechanically verifiable answers. The note uses this to ground a general claim about LLM context complexity, but ConvexBench measures compositional reasoning over symbolic expressions (parenthesized function compositions), not the kind of complexity practitioners encounter in agent contexts (competing instructions, scope leakage, underspecified natural-language tasks). The domain of the source (symbolic mathematical verification) is narrower than the domain of the claim (general agent context complexity). The transfer is plausible but not established by the source itself."
Orphan references,3,2,35,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"""Context windows have grown roughly 30x per year since mid-2023"" — this is a specific empirical claim with no source citation. It appears mid-paragraph as if it were common knowledge, but the growth rate is precise enough to need attribution. If the number is approximate, the precision of ""30x per year"" overstates the confidence; if it's sourced, the source should be cited."
Grounding — domain coverage,3,0,0,document-types-should-be-verifiable.md,"The note claims ""Type assignment is itself a case of storing an LLM output as constraining"" and links to `storing-llm-outputs-is-constraining.md`. That source is about storing generated artifacts (code, documents, configuration) — the output of an LLM generation task. Type assignment is a classification decision, not a generation task; the ""output"" being stored is a label, not a document. The source's framework (resolving semantic underspecification + freezing against indeterminism) does apply, but the source develops its argument entirely around generated artifacts, not metadata labels. The note is extending the source's domain from ""storing generated content"" to ""storing classification decisions,"" which is a reasonable inference but not directly grounded by the source."
