note,warn_count,info_count,top_warning_checks,sample_warning
distillation.md,1,0,Title composability,"Title is a bare noun (""Distillation"") — ""since distillation..."" does not read as a complete clause. The note is definitional/term-pinning, which exempts it from the claim-strength check, but bare-noun titles still compose poorly as link targets. Other notes currently link to it with inline context (e.g., ""[constraining](./constraining.md) — co-equal mechanism""), which works but means every linker must supply its own gloss."
document-types-should-be-verifiable.md,0,2,,
agentic-systems-interpret-underspecified-instructions.md,0,1,,
automated-tests-for-text.md,0,1,,
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,0,1,,
codification.md,0,1,,
constraining.md,0,1,,
files-not-database.md,0,1,,
learning-is-not-only-about-generality.md,0,1,,
link-following-and-search-impose-different-metadata-requirements.md,0,1,,
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,0,0,,
agent-statelessness-makes-routing-architectural-not-learned.md,0,0,,
agents-md-should-be-organized-as-a-control-plane.md,0,0,,
agents-navigate-by-deciding-what-to-read-next.md,0,0,,
bitter-lesson-boundary.md,0,0,,
capability-placement-should-follow-autonomy-readiness.md,0,0,,
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,0,0,,
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,0,0,,
constraining-during-deployment-is-continuous-learning.md,0,0,,
context-efficiency-is-the-central-design-concern-in-agent-systems.md,0,0,,
continuous-learning-requires-durability-not-weight-updates.md,0,0,,
document-classification.md,0,0,,
ephemeral-computation-prevents-accumulation.md,0,0,,
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,0,0,,
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,0,0,,
instruction-specificity-should-match-loading-frequency.md,0,0,,
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,0,0,,
memory-management-policy-is-learnable-but-oracle-dependent.md,0,0,,
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,0,0,,
spec-mining-as-codification.md,0,0,,
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,0,0,,
stale-indexes-are-worse-than-no-indexes.md,0,0,,
substrate-class-backend-and-artifact-form-are-separate-axes-that-get-conflated.md,0,0,,
title-as-claim-enables-traversal-as-reasoning.md,0,0,,
unified-calling-conventions-enable-bidirectional-refactoring.md,0,0,,
