check,warn_count,info_count,clean_count,sample_note,sample_finding
Completeness,215,199,26,a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,"The library/workshop binary may not be exhaustive. A plausible boundary case is a **living checklist or runbook** -- a document that is used repeatedly during work (consumed like a workshop document) but also refined in place over time (accumulated like a library document). The note's table forces a choice: value trajectory is either ""accumulates"" or ""consumed."" A checklist that gets better each time it is used occupies both columns simultaneously. The note's own example of ""task templates that pull in relevant library content"" hints at this hybrid but classifies it as a composition bridge rather than acknowledging it as a document that is genuinely both library and workshop."
Grounding,43,74,230,a-knowledge-base-should-support-fluid-resolution-switching.md,"The note says ""Link semantics encode zoom direction"" and attributes directional meaning: ""'Since [X]' zooms into a foundation -- following it takes you deeper"" and ""'This extends [Y]' zooms out toward a generalization."" The linked source (link-strength-is-encoded-in-position-and-prose.md) does discuss ""since"" and ""extends"" as relationship words, but it frames them as *strength signals* and *role indicators* (premise vs structural vs tension), not as zoom directions. The source says ""since [X]"" indicates a premise link with strongest weight; it does not say anything about zooming in or out. The directional/spatial interpretation (zoom in, zoom out, shift laterally) is the note's own inference layered on top of the source's vocabulary. This is reasonable but could mislead a reader into thinking the zoom-direction framing comes from the link-strength note."
Grounding alignment,20,47,87,a-functioning-kb-needs-a-workshop-layer-not-just-a-library.md,"The note claims the type system is ""text, note, structured-claim, spec, adr"" and calls it a ""maturity ladder."" The linked document-classification.md lists seven base types (text, note, spec, review, index, adr, structured-claim), not five. The note omits `review` and `index`. This matters because `review` -- a type that ""examines specific existing code; has Findings; dated"" -- has temporal, lifecycle-like properties (it is dated, its findings may become stale). Omitting it from the library types weakens the claim that the existing type system is purely a permanence ladder; `review` is a counter-example that sits closer to workshop territory even within the current library hierarchy."
Grounding — domain coverage,20,1,0,a-good-agentic-kb-maximizes-contextual-competence-through-discoverable-composable-trustworthy-knowledge.md,"The note cites [constraining-and-distillation-both-trade-generality-for-compound] to ground the claim that constraining and distillation ""trade generality for the reliability+speed+cost compound."" The source note explicitly covers constraining and distillation as the two mechanisms that make this trade-off. However, the reviewed note adds **pruning** and **discovery** as third and fourth operations — neither appears in the source. The source's two-mechanism framework is silently promoted to a four-operation (plus accumulation) framework. Readers following the link may expect the source to ground the full operation set, but it only grounds two of the four transformation operations."
Grounding — scope mismatch,12,1,0,automated-synthesis-is-missing-good-oracles.md,"The note claims: ""Discriminating the valuable from the noise requires judgment that is not substantially cheaper than producing the synthesis in the first place — and that's the oracle gap."" The linked source (the-boundary-of-automation-is-the-boundary-of-verification.md) makes the broader structural claim that ""generation without verification produces output, not automation"" and ""where automation stalls, the bottleneck is typically oracle construction, not generation."" The broader source says the bottleneck is oracle *construction*, meaning the difficulty of building a verifier at all. The note's ""not substantially cheaper"" claim is a stronger, more specific assertion — that even if an oracle exists, its cost rivals generation cost. This is a distinct claim not grounded in the linked source, which is about oracle *availability*, not oracle *cost relative to generation*. The note presents this as following from the general principle, but it's an additional inference."
completeness,11,14,0,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"The note claims the soft bound operates across exactly ""two dimensions"" — volume and complexity — framing this as a complete decomposition. But a boundary case exists that fits neither cleanly: **information arrangement** (position effects). The ""lost in the middle"" finding is cited under volume, but position effects are not about how many tokens there are — they occur at fixed token counts by rearranging content. The note's own Benchmarker subsection acknowledges ""information arrangement"" as a factor that shifts the soft bound, but the two-dimensions framework has no slot for it. Position effects could be forced into ""complexity"" (arrangement changes how hard the tokens are to use), but the note defines complexity as ""compositional depth"" and ""interpretation overhead,"" not spatial layout. This is a gap in the enumeration: a factor the note itself names as relevant but that the framework doesn't cleanly accommodate."
grounding,7,6,16,agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,"The note claims ""ConvexBench shows complexity-driven collapse at low token counts — compositional depth, not volume, was the bottleneck."" The source (Liu et al., 2026) studies whether LLMs can recognize convexity in deeply composed symbolic functions — a formal mathematical verification task with mechanically verifiable answers. The note uses this to ground a general claim about LLM context complexity, but ConvexBench measures compositional reasoning over symbolic expressions (parenthesized function compositions), not the kind of complexity practitioners encounter in agent contexts (competing instructions, scope leakage, underspecified natural-language tasks). The domain of the source (symbolic mathematical verification) is narrower than the domain of the claim (general agent context complexity). The transfer is plausible but not established by the source itself."
Grounding alignment — domain coverage,5,2,0,frontloading-spares-execution-context.md,"The note claims ""frontloading addresses the complexity dimension of that scarcity"" (claim 2), citing the context-efficiency note, which does classify ""Frontloading and partial evaluation"" as ""(primarily complexity)"" in its architectural-responses table. However, the frontloading note's own body describes savings that are clearly also volume savings: ""A pre-computed listing costs only the bytes of the listing itself; the same listing produced at runtime costs the instruction, the tool call, the full output, and the LLM's interpretation of it."" The tool-call output and full listing are volume costs, not complexity costs. The discovery-avoidance paragraph reinforces this — ""the agent never spends tokens determining them at runtime"" is a volume argument. The note's evidence straddles both dimensions, but its framing claims only complexity. This is an overstatement of specificity — frontloading addresses both dimensions, with complexity as the primary but not exclusive target."
Grounding alignment / domain coverage,5,0,0,context-engineering.md,"The note claims its treatment is ""consistent with [Anthropic's] operational view but broader in architectural scope, because context efficiency is the central design concern."" The linked note (context-efficiency-is-the-central-design-concern-in-agent-systems.md) does argue that context scarcity makes the discipline architectural. But the justification chain has a gap: the Anthropic definition (""strategies for curating and maintaining the optimal set of tokens during LLM inference"") is about **token curation during inference**, while the architectural extensions in this note include storage format, knowledge lifecycle, and session boundaries -- concerns that operate *between* inferences, not during them. The note presents the Anthropic definition as the narrow view it extends, but does not explicitly acknowledge that the extension moves from an inference-time discipline to a system-lifetime discipline. This is the note's own move, not something the cited Anthropic source or the context-efficiency note claims. Readers could mistake the Anthropic citation as endorsing the full architectural scope."
Completeness — boundary case,4,21,0,human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,"The note proposes the methodology: ""evaluate the specific arguments for why a structure helps humans, and check whether each argument applies to LLMs."" The simplest boundary case is a structure that helps humans for reasons that have no LLM analog — e.g., methods sections in scientific papers enable reproducibility (the note mentions this). But a harder boundary case sits between the enumerated items: structures that help humans via social/institutional mechanisms (peer review conventions, legal brief format enforced by courts, academic citation norms). These exist because of institutional accountability, not cognitive failure prevention. The note frames all human writing structures as evolving to prevent reasoning failures, but many evolved to satisfy institutional requirements. This category is not covered, and the per-convention evaluation methodology would need to account for it."
