review_file,direction,tier,source_checked,notes
kb/agent-memory-systems/reviews/Agent-S.md,push,B,no,embedding matcher injects retrieved summaries into prompts
kb/agent-memory-systems/reviews/AgentFly.md,push,B,no,similarity or learned case selector injects retrieved cases into planner prompt
kb/agent-memory-systems/reviews/AriGraph.md,push,B,no,current observation and plan cues inject graph and episodic memory before planning/action
kb/agent-memory-systems/reviews/Auto-claude-code-research-in-sleep.md,push,B,no,slash-command workflows and recovery protocols load skills/project state/query packs
kb/agent-memory-systems/reviews/Awesome-Agent-Memory.md,pull,A,no,manual browsing or search of README catalogue only
kb/agent-memory-systems/reviews/CORAL.md,both,B,no,CLI/file inspection plus startup and heartbeat prompt injection
kb/agent-memory-systems/reviews/Closure-SDK.md,both,B,no,query/resonance APIs afford pull; restored brain/genome state shapes runtime behavior
kb/agent-memory-systems/reviews/HippoRAG.md,pull,A,no,query-time retrieval API; push integration left to host
kb/agent-memory-systems/reviews/KBLaM.md,push,B,no,KB tensors enter model attention with optional top-k sparsification
kb/agent-memory-systems/reviews/MehmetGoekce--llm-wiki.md,both,B,no,L1 always-loaded memory plus L2 /wiki query pull
kb/agent-memory-systems/reviews/Memori.md,push,B,no,registered wrappers/hooks retrieve and inject facts before LLM calls
kb/agent-memory-systems/reviews/MemoryOS.md,both,B,no,generation injects retrieved memory; MCP tools expose explicit retrieval
kb/agent-memory-systems/reviews/MiroShark.md,both,B,no,simulation injects belief/round memory; tools query graph and trace state
kb/agent-memory-systems/reviews/OS-Copilot.md,push,B,no,FRIDAY retrieves and injects tool descriptions/code during planning/generation
kb/agent-memory-systems/reviews/OpenSage.md,both,B,no,prompt-injected Skills/file memory plus graph/history search tools
kb/agent-memory-systems/reviews/Pratiyush--llm-wiki.md,pull,A,no,agents query/read wiki pages through search MCP CLI exports commands or skills
kb/agent-memory-systems/reviews/REM.md,both,B,no,direct retrieval API plus framework prompt injection before generation
kb/agent-memory-systems/reviews/Self-Training-LLM.md,push,B,no,learned checkpoint state affects generation without agent-facing retrieval
kb/agent-memory-systems/reviews/SkillWeaver.md,push,B,no,relevant generated functions selected and injected before action generation
