note,warn_count,info_count,clean_count
text-testing-framework.md,6,7,9
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,6,5,9
stale-indexes-are-worse-than-no-indexes.md,6,4,10
learning-is-not-only-about-generality.md,5,7,10
memory-management-policy-is-learnable-but-oracle-dependent.md,5,7,10
what-cludebot-teaches-us.md,5,7,9
agent-statelessness-makes-routing-architectural-not-learned.md,5,6,9
agentic-systems-interpret-underspecified-instructions.md,5,6,9
automated-tests-for-text.md,5,6,9
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,5,6,11
constraining-during-deployment-is-continuous-learning.md,5,6,9
constraining.md,5,6,10
context-efficiency-is-the-central-design-concern-in-agent-systems.md,5,6,11
document-types-should-be-verifiable.md,5,6,10
link-contracts-framework.md,5,6,9
unified-calling-conventions-enable-bidirectional-refactoring.md,5,6,10
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,5,5,11
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,5,5,10
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,5,5,12
ephemeral-computation-prevents-accumulation.md,5,5,10
files-not-database.md,5,5,11
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,5,5,10
spec-mining-as-codification.md,5,5,12
bitter-lesson-boundary.md,4,7,13
title-as-claim-enables-traversal-as-reasoning.md,4,7,10
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,4,6,9
agents-md-should-be-organized-as-a-control-plane.md,4,5,11
capability-placement-should-follow-autonomy-readiness.md,4,5,10
learning-substrates-backends-and-artifact-forms.md,4,5,11
scenarios.md,4,5,9
continuous-learning-requires-durability-not-weight-updates.md,4,4,12
two-kinds-of-navigation.md,4,4,9
document-classification.md,3,6,12
needs-testing.md,3,6,7
codification.md,3,5,12
instruction-specificity-should-match-loading-frequency.md,3,4,12
distillation.md,2,7,12
agents-navigate-by-deciding-what-to-read-next.md,2,6,10
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,2,4,12
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,2,4,11
