id	batch	digest	source	current_line	target
G001	1	0a271380d9b5bfaef4378e0519a647c70edaa0f7a5e3dddd59e41f1f8b569384	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	49	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md
G002	2	10d66132862624f37034ac9bddb0dd5bf09a8f29269b9302376fd85bd7269b26	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	50	notes/self-improvement-is-relative-to-a-declared-objective.md
G003	1	12e70807c52bc6416f06b9829472a557e85293d047155a54f85161a1fc8e7d84	notes/the-bitter-lesson-selects-production-methods-not-representational.md	72	notes/oracle-accumulation-improves-the-selection-environment.md
G004	2	232a4000fc7106dae936bb7cfae35db447dae76c0f0676c511da7d2b517f9a8b	notes/the-meta-harness-ablation-bounds-summarization-not-theory-formation.md	44	notes/diagnostic-richness-constrains-outer-loop-learning-quality.md
G005	1	2e738959d5694ca3c8e1735dc6836d18cfa29542c3dc046ebf36d14019ea7352	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	48	notes/oracle-accumulation-improves-the-selection-environment.md
G006	2	2e826f1dbcf05ed318643d248d462ef972303ce66ec7e2ff13ce39d0d9e6c76b	notes/a-goal-holding-interpreter-fails-soft-workarounds-tax-a-bounded-budget.md	46	notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md
G007	1	304eb39a6153d3e077ac2c0d244b55691835757469c65267a6476d177373e270	notes/the-bitter-lesson-selects-production-methods-not-representational.md	68	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md
G008	2	5660746a08ea18f650c6294f18e8af27c02ac121f732a093b4bb2673c16dc2b1	notes/a-goal-holding-interpreter-fails-soft-workarounds-tax-a-bounded-budget.md	44	notes/agentic-systems-interpret-underspecified-instructions.md
G009	1	56fb1d7052cc60db57c4a6dd812a20872bb610a98cb5f43f27c44958150df969	notes/constraining-and-extraction-both-trade-generality-for-reliability.md	40	notes/exact-implementation-does-not-validate-a-requirement.md
G010	2	5ef09e88c2929b966293f96e782536eccc6a1d5b62c245100c605596c3c702e8	notes/only-derivation-and-inheritance-warrant-a-scope-claim-use-earns-it.md	69	notes/definitions/representational-form.md
G011	1	66ced38dadcc0689daa292d6fadecc76bf74186ae8e9bb0d1d24b2b46664538d	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	68	notes/exact-implementation-does-not-validate-a-requirement.md
G012	2	7822f46b5b7ec7ad9b3b0e0cddc715fb000005fc141b7e62fd4f3c10fd2a7973	notes/only-derivation-and-inheritance-warrant-a-scope-claim-use-earns-it.md	66	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md
G013	1	792700ed2e53021c24c4be41bda4e54dad98ffebc7cb9f5751c7e9ec3c77f987	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	46	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md
G014	2	79e460f73776190557bccefbdde7cbf0bda4f565147b37d98388959f1188a65d	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	51	notes/warranted-autonomy-is-bounded-by-oracle-domain.md
G015	1	7f318307cbb337518dab410f195baa9aaa1168d651981b6f164640bd988ef5af	notes/the-bitter-lesson-selects-production-methods-not-representational.md	74	notes/readable-artifact-loop-is-the-tractable-unit-for-continual-learning.md
G016	2	8856882a38c9a89a484e9f984d633129840411ea04f1f06c6f88ce44b991b92e	notes/scheduler-llm-separation-exploits-an-error-correction-asymmetry.md	82	notes/exact-implementation-does-not-validate-a-requirement.md
G017	1	914c37ecbd6639e84d4e2ac8cecddfd7046d423af2e7dbb8e5312a37522132f7	notes/the-bitter-lesson-selects-production-methods-not-representational.md	71	notes/scaling-absorbs-scaffolding-at-fixed-difficulty-not-at-the-frontier.md
G018	2	ad4c7fa76d62ffe40be459679e000f39c8c7e4427439c1c2bddcc60302826894	notes/scaling-absorbs-scaffolding-at-fixed-difficulty-not-at-the-frontier.md	50	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md
G019	1	c7b7ed645f70cc13c78b8029d8190c03bc962de8cbb418645520a25e9911b603	notes/only-derivation-and-inheritance-warrant-a-scope-claim-use-earns-it.md	70	notes/definitions/reflective-system.md
G020	2	d08bccefcb65cb416329651266e6d9d0843525f2dc462379ef4e074388b8b202	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	53	notes/exact-implementation-does-not-validate-a-requirement.md
G021	1	df0e1051eeb4782aca73dafb8773eb2d6f72b35f0297c44150a92faf0549e4c4	notes/the-bitter-lesson-selects-production-methods-not-representational.md	75	notes/the-meta-harness-ablation-bounds-summarization-not-theory-formation.md
