id	batch	digest	source	current_line	target
F006	1	09dd3d7f059d6091677b10923e3dfacefaf7d838f94b227a5c30a75e896a37c1	notes/selective-revision-needs-a-faithful-rationale-not-just-a-legible-one.md	51	notes/false-positive-generation-is-filtered-before-retention.md
F013	2	1c0c439c0f682422621445d1d0a0facf97406ce9001509131d02408fad1afa77	notes/verification-needs-a-typed-target-before-it-needs-an-oracle.md	58	notes/axes-of-artifact-analysis.md
F015	3	21697dddb31cc4eaf4ff1d834240f3463fb24b30eeeeadb4ffa94e77ad93ac6a	notes/the-framework-is-often-larger-than-the-durable-contribution.md	62	notes/system-definition-artifacts-are-crystallized-reasoning-under-context.md
F026	4	363f2431ea57db012c92d19c8a6340db21665131a693b181597686322d03551d	notes/context-contamination-operates-below-an-agents-compliance-reasoning.md	57	notes/agent-orchestration-needs-coordination-guarantees-not-just.md
F027	1	36e16813a24513c71aa0293cd03bcd253982cb1db2fa85c86c5586c7e443d7c6	notes/rlm-tendril-and-llm-do-place-symbolic-work-at-different-persistence.md	53	notes/deploy-time-learning-is-the-missing-middle.md
F028	2	3840c4b9f570177b16204e800130a3e6c05e8c1e79f6f37b2e37867559979d34	notes/mechanistic-constraints-make-popperian-kb-recommendations-actionable.md	60	notes/deploy-time-learning-is-the-missing-middle.md
F030	3	4308d91e1fad9b46d7082f90407faea66c097877bb4fcc6a7dafad3f0185ecbc	notes/ephemerality-is-safe-where-embedded-operational-knowledge-has-low.md	64	notes/codification-and-relaxing-navigate-the-bitter-lesson-boundary.md
F031	4	477d5244b95ec57d54afedf588f6c3aba9fbee76f6b5293e9b5b9d292f7acfa7	notes/design-for-the-first-time-human-except-on-access-cost.md	26	notes/feasibility-is-the-heaviest-forks-net-load.md
F032	1	4acca711e502d53b8f9f99f025ecf608e3ca4e4c3d013ec7a2c2ba0b58ed3054	notes/reflection-buys-addressability.md	68	notes/localized-retention-pays-where-change-is-sparse-in-a-matching.md
F035	2	5392b259685d6b40187fc16850234c493c3d14a8dcf342e86532f28eb5e633e2	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	58	notes/bounded-context-orchestration-model.md
F040	3	64805a603862c0a5598ebf1e1d3cb78ba935f048071155e3e1f67cdc0ff66d87	notes/retrieval-failure-is-reflection-failure.md	40	notes/stale-indexes-are-worse-than-no-indexes.md
