note,review_type,level,note_warn_count,check_warn_count,check,finding
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,6,59,Completeness,"The failure mode mapping table claims four ML failure modes map to codification equivalents ""with mitigations that weight-based systems can't match."" But the table omits at least two standard ML failure modes Chollet could plausibly predict: (1) **distribution shift** (the agentic coding environment changes in ways the spec/test harness doesn't capture — analogous to deploying a model on out-of-distribution data), which is adjacent to concept drift but distinct (drift is gradual; distribution shift can be sudden), and (2) **reward hacking / specification gaming** (the agent satisfies the formal spec in unintended ways, a superset of Clever Hans shortcuts). The note collapses specification gaming into ""Clever Hans shortcuts"" but specification gaming is broader — it includes cases where the generated code is technically correct by the spec but achieves correctness via unintended means that diff review would not catch (e.g., caching test inputs). The claim ""every mitigation relies on the same property: the artifact is inspectable"" becomes weaker if some ML failure modes have codification equivalents where inspectability alone is insufficient."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,semantic-review,WARN,6,59,Completeness,"The note claims ""None of this is possible with weight updates — not because LLMs lack judgment, but because weights lack structure."" This is stated as an absolute. Boundary case: **mechanistic interpretability** is an active research program that extracts structure from weights — identifying circuits, features, and causal pathways. While current interpretability tools are far less mature than diff review, the claim that inspection is categorically impossible for weights overstates the binary. A more precise claim would be that weights resist the kind of routine, scalable inspection that repo artifacts afford. The note's rhetorical force depends on this binary (""You can write a test for a function. You can't write a test for a weight""), but the boundary is softer than presented."
stale-indexes-are-worse-than-no-indexes.md,semantic-review,WARN,6,59,Completeness,"The note claims the mechanism ""generalises beyond indexes to any authoritative artifact — specs, documentation, plans, curated lists."" The grounding definition is implicit: any artifact an agent treats as exhaustive will suppress fallback discovery when stale. Boundary case: **a non-exhaustive but authoritative artifact** — e.g., a style guide that is clearly partial (""here are some conventions"") rather than exhaustive. Does a stale style guide suppress search in the same way? The note's mechanism depends on the agent treating the artifact as exhaustive, but ""authoritative"" and ""exhaustive"" are conflated. A spec can be authoritative without being treated as a complete enumeration. The note says ""any artifact that an agent treats as exhaustive"" but then lists ""specs, documentation, plans, curated lists"" — not all of which are typically treated as exhaustive enumerations. A plan that goes stale might mislead about direction without suppressing search for additional tasks. The suppression mechanism is strongest for navigational artifacts (indexes, curated lists) and weakest for directional artifacts (plans, specs). The generalization may overextend."
text-testing-framework.md,semantic-review,WARN,6,59,Completeness,"The six contract types in Section 1 omit an **accessibility contract** (readability level, alt text for images, plain-language requirements). The note frames contracts as text ""specs"" that parallel software specs, and accessibility is a standard dimension of text specifications in professional writing and publishing. Its absence means the enumeration, while useful, is incomplete as a reference framework for the space it claims to cover."
text-testing-framework.md,semantic-review,WARN,6,59,Completeness,"The test pyramid (Section 2) places ""cross-model / adversarial checks"" at Level C but describes them as ""slower, higher confidence."" Adversarial prompting does not inherently yield higher confidence than LLM rubric grading — it probes for failure modes rather than measuring quality. Adversarial tests are better understood as complementary to rubric grading (finding failure cases the rubric misses) rather than as a strictly higher tier in a pyramid. The pyramid metaphor suggests each level subsumes or extends the one below, but adversarial checks serve a different function (stress-testing vs. scoring). This strains the pyramid analogy at Level C."
text-testing-framework.md,semantic-review,WARN,6,59,Completeness,"The failure modes in Section 6 list four items but omit **false positives / over-flagging** — where deterministic or LLM checks reject good text. The note mentions ""over-testing early"" as a failure mode, but that concerns test suite scope, not individual check accuracy. In a production workflow where checks gate publication (Section 5), false positive rates matter as much as false negatives. The enumeration of failure modes is incomplete for its stated purpose."
text-testing-framework.md,semantic-review,WARN,6,59,Completeness,"Section 4 (""Compatibility with a collection of texts"") lists six corpus-level checks but omits **versioning / temporal consistency** — whether a new note is consistent with the current version of referenced notes rather than outdated versions. The note's own Section 5 mentions ""regression suite with golden notes,"" implying temporal awareness, but the corpus compatibility checks in Section 4 don't account for temporal drift explicitly."
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,prose-review,WARN,6,34,Confidence miscalibration,"The note presents its own analytical framework — the failure mode mapping table, the claim that substrate inspectability is the decisive property — with the same assertoric force as Chollet's original observation. ""The blackbox analogy holds only if the output substrate is opaque"" is stated as fact, but it is the note's own thesis, not an established finding. Similarly, ""Every mitigation relies on the same property: the artifact is inspectable. You can write a test for a function. You can't write a test for a weight"" presents a contested claim (that inspectability fully defeats the blackbox problem) as a settled conclusion. The title itself — ""defeats the blackbox problem"" — asserts complete resolution where the note only demonstrates that mitigations exist."
stale-indexes-are-worse-than-no-indexes.md,prose-review,WARN,6,34,Confidence miscalibration,"The Defenses section presents a specific four-part defense architecture (""At creation time,"" ""At connection time,"" ""Deterministic check,"" ""What remains unjudgeable"") as if it is established and operational. Three of these four defenses reference nonexistent infrastructure (`docs/indexes.md`, the `areas:` field). The note asserts these as active defenses — ""The `areas:` frontmatter field *is* the first defense,"" ""`docs/indexes.md` *serves* this purpose"" — using present tense for mechanisms that either never existed or have been superseded. This reads as an established system description when it is closer to a historical snapshot or a design proposal."
text-testing-framework.md,prose-review,WARN,6,34,Confidence miscalibration,"The note presents a detailed seven-section framework — contracts, test pyramid, metamorphic tests, corpus compatibility, production workflow, failure modes, minimal checklist — entirely with assertive framing (""Software tests work because there's a spec,"" ""Once you have contracts, you can test them,"" the numbered production workflow as a definitive pipeline). The title calls this ""source material"" and the opening says ""Full framework for automated testing of text artifacts, received 2026-02-21,"" but there is no attribution of who produced it or what evidence backs the specific decompositions. The framework reads as authoritative yet its provenance is opaque."
