note,warn_count,info_count,clean_count
context-efficiency-is-the-central-design-concern-in-agent-systems.md,3,2,3
learning-is-not-only-about-generality.md,2,3,4
title-as-claim-enables-traversal-as-reasoning.md,2,3,4
agentic-systems-interpret-underspecified-instructions.md,2,2,4
automated-tests-for-text.md,2,2,4
codification-and-relaxing-navigate-the-bitter-lesson-boundary.md,2,2,5
constraining-during-deployment-is-continuous-learning.md,2,2,4
constraining.md,2,2,4
distillation.md,2,2,5
document-types-should-be-verifiable.md,2,2,5
link-contracts-framework.md,2,2,4
memory-management-policy-is-learnable-but-oracle-dependent.md,2,2,4
spec-mining-as-codification.md,2,2,4
specification-level-separation-recovers-scoping-before-it-recovers-error-correction.md,2,2,4
text-testing-framework.md,2,2,4
unified-calling-conventions-enable-bidirectional-refactoring.md,2,2,5
what-cludebot-teaches-us.md,2,2,4
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,2,1,5
agent-statelessness-makes-routing-architectural-not-learned.md,2,1,5
claim-notes-should-use-toulmin-derived-sections-for-structured-argument.md,2,1,5
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,2,1,5
ephemeral-computation-prevents-accumulation.md,2,1,5
files-not-database.md,2,1,5
human-writing-structures-transfer-to-llms-because-failure-modes-overlap.md,2,1,5
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,2,1,5
scenarios.md,2,1,5
stale-indexes-are-worse-than-no-indexes.md,2,1,6
needs-testing.md,1,3,4
agents-navigate-by-deciding-what-to-read-next.md,1,2,5
bitter-lesson-boundary.md,1,2,6
document-classification.md,1,2,5
agents-md-should-be-organized-as-a-control-plane.md,1,1,6
capability-placement-should-follow-autonomy-readiness.md,1,1,6
codification.md,1,1,6
continuous-learning-requires-durability-not-weight-updates.md,1,1,6
instruction-specificity-should-match-loading-frequency.md,1,1,7
learning-substrates-backends-and-artifact-forms.md,1,1,6
periodic-kb-hygiene-should-be-externally-triggered-not-embedded-in-routing.md,1,1,6
two-kinds-of-navigation.md,1,1,6
maintenance-operations-catalogue-should-stage-distillation-into-instructions.md,0,1,7
