note,warn_count,info_count,top_warning_checks,sample_warning
inspectable-substrate-not-supervision-defeats-the-blackbox-problem.md,4,4,"Completeness, Grounding","The failure mode mapping table claims four ML failure modes map to codification equivalents ""with mitigations that weight-based systems can't match."" But the table omits at least two standard ML failure modes Chollet could plausibly predict: (1) **distribution shift** (the agentic coding environment changes in ways the spec/test harness doesn't capture — analogous to deploying a model on out-of-distribution data), which is adjacent to concept drift but distinct (drift is gradual; distribution shift can be sudden), and (2) **reward hacking / specification gaming** (the agent satisfies the formal spec in unintended ways, a superset of Clever Hans shortcuts). The note collapses specification gaming into ""Clever Hans shortcuts"" but specification gaming is broader — it includes cases where the generated code is technically correct by the spec but achieves correctness via unintended means that diff review would not catch (e.g., caching test inputs). The claim ""every mitigation relies on the same property: the artifact is inspectable"" becomes weaker if some ML failure modes have codification equivalents where inspectability alone is insufficient."
stale-indexes-are-worse-than-no-indexes.md,4,3,"Grounding, Completeness","The note claims the mechanism ""generalises beyond indexes to any authoritative artifact — specs, documentation, plans, curated lists."" The grounding definition is implicit: any artifact an agent treats as exhaustive will suppress fallback discovery when stale. Boundary case: **a non-exhaustive but authoritative artifact** — e.g., a style guide that is clearly partial (""here are some conventions"") rather than exhaustive. Does a stale style guide suppress search in the same way? The note's mechanism depends on the agent treating the artifact as exhaustive, but ""authoritative"" and ""exhaustive"" are conflated. A spec can be authoritative without being treated as a complete enumeration. The note says ""any artifact that an agent treats as exhaustive"" but then lists ""specs, documentation, plans, curated lists"" — not all of which are typically treated as exhaustive enumerations. A plan that goes stale might mislead about direction without suppressing search for additional tasks. The suppression mechanism is strongest for navigational artifacts (indexes, curated lists) and weakest for directional artifacts (plans, specs). The generalization may overextend."
agent-statelessness-makes-routing-architectural-not-learned.md,3,5,"Completeness, Grounding","The five-level loading hierarchy (CLAUDE.md -> skill descriptions -> skill bodies -> type templates -> methodology notes) omits conversation history / chat context as a loading layer. In practice, the agent's context includes prior turns, tool outputs, and user-provided instructions within the session. These are not routed through the hierarchy but occupy context and influence behavior. The hierarchy claims to be ""our concrete progressive disclosure system"" but describes only pre-authored layers, not runtime-accumulated context. This is a boundary case that sits between the enumerated items."
bitter-lesson-boundary.md,3,5,"Completeness, Grounding","The confidence signals table enumerates three signals (specifiability, definition-vs-proxy, local-vs-compositional failures), but the note itself deploys a fourth signal — the **chess hybrid analysis** — that does not map cleanly to any single row. The chess example distinguishes ""rules"" from ""strategy"" within one system by asking whether a component is *algorithmically determined* (move generation from rules) vs. *judgment-dependent* (evaluation of positions). This ""algorithmically determined vs. judgment-dependent"" distinction is related to but not identical with the three table rows. A reader trying to apply the table to classify a new system would lack guidance on how to handle components that are fully specifiable (row 1 says arithmetic) yet computationally intractable (like NP-hard optimization, which the note itself acknowledges has fully specified objectives but learned solution methods). The table's three signals are presented as the confidence framework, but the note's own examples exceed it."
files-not-database.md,3,5,"completeness, grounding-alignment","The ""What actually breaks at scale"" section claims three items: finding things, too many files per directory, and structured queries with scoring. This enumeration omits **concurrent multi-agent write access** — when multiple agents write to overlapping files simultaneously, git merge conflicts become a real coordination problem that databases handle natively with transactions. The note's scope is ""agent-operated knowledge bases"" without restricting to single-agent use, so concurrent writes sit squarely within the claimed domain but are not covered by any of the three listed items."
memory-management-policy-is-learnable-but-oracle-dependent.md,3,5,"Completeness, Grounding, Grounding -- domain coverage","The six-operation decomposition (""Add, Update, Delete (LTM) and Retrieve, Summary, Filter (STM)"") is presented as the complete set of memory operations AgeMem uses, and the note treats them as collectively exhaustive of memory management. But the note's own framing -- ""knowing when to use them is hard"" -- implies the hard part is composition policy, not operations. The ingest file's limitations section flags that the fixed tool set may miss needed operations (""linking two memories, tagging with metadata, or creating hierarchical summaries""). The note itself never raises this limitation from within its own analysis -- a boundary case like ""link this fact to that fact"" (a relational memory operation) falls outside all six items but is central to what the KB does. The note treats the six as given without questioning whether the policy it praises could be learning a suboptimal strategy because the operation set is incomplete."
what-cludebot-teaches-us.md,3,5,"Completeness, Grounding alignment","The ""What we already have"" section enumerates 4 patterns (typed link semantics, progressive disclosure, hybrid retrieval, evidence linkage) as the set of cludebot ideas ""we've already adopted."" But cludebot also implements explicit memory typing/categorization (episodic, semantic, self-model) which maps closely to the KB's own type system (`note`, `structured-claim`, `adr`, etc.) and to the three-space model the note itself cites later. This is arguably a fifth pattern the KB already has that the note doesn't list. The omission is notable because the note references the three-space model in a later section but doesn't connect it back to the ""already have"" enumeration."
agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,3,4,"grounding, completeness","The note claims the soft bound operates across exactly ""two dimensions"" — volume and complexity — framing this as a complete decomposition. But a boundary case exists that fits neither cleanly: **information arrangement** (position effects). The ""lost in the middle"" finding is cited under volume, but position effects are not about how many tokens there are — they occur at fixed token counts by rearranging content. The note's own Benchmarker subsection acknowledges ""information arrangement"" as a factor that shifts the soft bound, but the two-dimensions framework has no slot for it. Position effects could be forced into ""complexity"" (arrangement changes how hard the tokens are to use), but the note defines complexity as ""compositional depth"" and ""interpretation overhead,"" not spatial layout. This is a gap in the enumeration: a factor the note itself names as relevant but that the framework doesn't cleanly accommodate."
agentic-systems-interpret-underspecified-instructions.md,3,4,"Grounding alignment, Completeness","Ma et al. cited as ""strongest empirical evidence for the two-phenomena separation"" but the paper does not frame itself in terms of separating underspecification from indeterminism. Ma et al. study *prompt stability* — whether semantically equivalent but differently phrased prompts produce different outputs. The note maps this onto its own framework (""isolating underspecification (which interpretation?) from indeterminism (which run?)""), but the paper's actual finding is that emotion/personality variations cause performance changes, which could equally be read as interpreter failure (the sibling note interpretation-errors-are-failures-of-the-interpreter.md already cites the same paper as evidence for *interpretation errors*, not underspecification). The note's two-phenomena framing treats prompt sensitivity as evidence for underspecification, but a competing reading is that the spec is fully specified (same functional requirements) and the LLM is simply responding incorrectly to irrelevant stylistic cues — a failure of the interpreter, not ambiguity in the spec. The paper itself does not adjudicate between these readings."
agents-md-should-be-organized-as-a-control-plane.md,3,4,"completeness, grounding","The core model claims ""two variables determine placement: loading frequency and failure cost,"" but the three-way placement rule also smuggles in a third variable — specificity (task-specific vs. universal). A high-failure-cost instruction that is task-specific does not clearly map: the 2x2 of frequency x cost would place it in AGENTS.md (high cost), but the three-way rule routes it to ""skill/instruction body or task doc"" (task-specific). The note resolves this by implicitly treating ""always loaded"" as a proxy for ""universal,"" but this conflation is not stated. Boundary case: a pre-commit safety check that only applies to one directory — high failure cost, low loading frequency. The placement rule gives contradictory guidance depending on which variable you weight."
