neutral_id	cohort	source	target	prior_disposition	decision_basis	mapper_1	mapper_2	mapper_3	mapping_status	mapped_class	mapper_confidences	observer_edge_1	observer_edge_2	observer_edge_3	observer_edge_status	observer_edge_majority	observer_confidences
case-013bbf561b7940	primary	notes/methodological-and-computational-closure-track-different-changes.md	notes/only-explicit-retention-is-durable-writable-and-addressable.md	premised-on	grounds-baseline:P	C4	C2	C10	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-04324ff043d41a	primary	notes/methodological-and-computational-closure-track-different-changes.md	notes/a-proposal-selection-loop-requires-search-evaluation-and-retention.md	premised-on	grounds-baseline:P	C4	C4	C10	stable-majority	C4	medium/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-082d18281753b9	negative-control	notes/the-bitter-lesson-selects-production-methods-not-representational.md	notes/bitter-lesson-selects-against-unearned-reach-not-against-structure.md	explained-by	grounds-drift:G007	C2	C8	C13	UNSTABLE		high/medium/high	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/high/high
case-0f41b0d385292b	prior-drift	notes/machinery-persists-by-warrant-not-position-in-a-reflective-loop.md	notes/warranted-autonomy-is-bounded-by-oracle-domain.md	premised-on	grounds-drift:G014	C13	C1	C1	stable-majority	C1	high/medium/high	connective-prose-only	mechanically-discoverable	mechanically-discoverable	stable-majority	mechanically-discoverable	high/high/high
case-10d4bb9800d9e7	primary	notes/a-proximate-target-is-checked-for-achievement-not-for-warrant.md	notes/self-improvement-is-relative-to-a-declared-objective.md	premised-on	grounds-baseline:P	C5	C1	C1	stable-majority	C1	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	medium/high/high
case-10fea94cddfcc6	negative-control	notes/self-improvement-is-relative-to-a-declared-objective.md	notes/real-self-improving-systems-occupy-combinations-no-rung-captures.md	evidenced-by	grounds-boundary	C6	C6	C13	stable-majority	C6	high/high/high	mechanically-discoverable	mechanically-discoverable	connective-prose-only	stable-majority	mechanically-discoverable	high/high/high
case-1220e2f6e7f005	boundary-correction	notes/pointer-design-tradeoffs-in-progressive-disclosure.md	notes/agents-navigate-by-deciding-what-to-read-next.md	premised-on	grounds-boundary	C4	C2	C13	UNSTABLE		medium/high/high	connective-prose-only	connective-prose-only	connective-prose-only	unanimous	connective-prose-only	high/high/high
case-15b46d34f5e07e	primary	notes/directory-placement-is-total-frontmatter-classification-is-partial.md	notes/why-notes-have-types.md	premised-on	grounds-baseline:P	C11	C2	C1	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-1989c918c7946c	primary	notes/compiling-coordination-preserves-primitive-not-aggregate-authority.md	notes/any-symbolic-program-with-llm-calls-is-a-select-call-program.md	premised-on	grounds-baseline:P	C3	C12	C9	UNSTABLE		high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-1a80e03a9cb978	primary	notes/prose-has-no-dereference-reinforce-facts-at-point-of-use.md	notes/agentic-systems-interpret-underspecified-instructions.md	premised-on	grounds-baseline:P	C2	C2	C2	unanimous	C2	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
case-1b6d3c4df444c1	primary	notes/technical-constraints-make-kb-objective-choice-engineering.md	notes/kb-goals-in-always-loaded-context-guide-inclusion-decisions.md	premised-on	grounds-baseline:P	C3	C13	C4	UNSTABLE		high/medium/high	connective-prose-only	connective-prose-only	mechanically-discoverable	stable-majority	connective-prose-only	high/medium/high
case-1d940291ad46a8	primary	notes/skills-are-instructions-plus-routing-and-execution-policy.md	notes/instruction-specificity-should-match-loading-frequency.md	premised-on	grounds-baseline:P	C4	C4	C3	stable-majority	C4	high/high/high	mechanically-discoverable	mechanically-discoverable	mechanically-discoverable	unanimous	mechanically-discoverable	high/high/high
